index,rank,id,name,tel,isCallLink,virtualTel,ppc,category/0,category/1,categoryPath/0/0,categoryPath/0/1,categoryPath/0/2,categoryPath/0/3,address,roadAddress,abbrAddress,shortAddress,display,telDisplay,context/0,context/1,context/2,context/3,context/4,reviewCount,ktCallMd,coupon,thumUrl,type,isSite,posExact,x,y,itemLevel,isAdultBusiness,streetPanorama,skyPanorama,insidePanorama,interiorPanorama,indoorPanorama,theme,poiInfo/relation/poiShapeType,poiInfo/relation/shapeKey/typeName,poiInfo/relation/shapeKey/wsid,poiInfo/relation/shapeKey/shapeID,poiInfo/relation/boundary/minX,poiInfo/relation/boundary/minY,poiInfo/relation/boundary/maxX,poiInfo/relation/boundary/maxY,poiInfo/relation/detail/0/type,poiInfo/relation/detail/0/sid,poiInfo/relation/detail/0/fullName,poiInfo/relation/detail/0/name,poiInfo/relation/detail/0/category,poiInfo/relation/detail/0/xPos,poiInfo/relation/detail/0/yPos,poiInfo/relation/detail/1/type,poiInfo/relation/detail/1/sid,poiInfo/relation/detail/1/fullName,poiInfo/relation/detail/1/name,poiInfo/relation/detail/1/category,poiInfo/relation/detail/1/xPos,poiInfo/relation/detail/1/yPos,poiInfo/hasRelation,poiInfo/road/poiShapeType,poiInfo/road/shapeKey,poiInfo/road/boundary,poiInfo/road/detail,poiInfo/hasRoad,poiInfo/land,poiInfo/hasLand,poiInfo/polygon,poiInfo/hasPolygon,homePage,description,entranceCoords/car/0/rep,entranceCoords/car/0/x,entranceCoords/car/0/y,entranceCoords/walk/0/rep,entranceCoords/walk/0/x,entranceCoords/walk/0/y,isPollingPlace,bizhourInfo,menuInfo,petrolInfo,couponUrl,couponUrlMobile,hasCardBenefit,menuExist,hasNaverBooking,naverBookingUrl,naverEasyOrderUrl,hasNaverSmartOrder,reservationLabel/standard,reservationLabel/preOrder,reservationLabel/table,reservationLabel/takeout,reservation/benefit,hasBroadcastInfo,broadcastInfo,shopWindowInfo,hasNPay,carWash,parkingPrice,card,distance,marker,markerSelected,michelinGuide,indoor,markerLabel,subway,poiInfo/relation,entranceCoords,categoryPath/1/0,categoryPath/1/1,categoryPath/1/2,categoryPath/1/3,streetPanorama/id,streetPanorama/pan,streetPanorama/tilt,streetPanorama/lng,streetPanorama/lat,streetPanorama/fov,skyPanorama/id,skyPanorama/pan,skyPanorama/tilt,skyPanorama/lng,skyPanorama/lat,skyPanorama/fov,poiInfo/relation/detail/2/type,poiInfo/relation/detail/2/sid,poiInfo/relation/detail/2/fullName,poiInfo/relation/detail/2/name,poiInfo/relation/detail/2/category,poiInfo/relation/detail/2/xPos,poiInfo/relation/detail/2/yPos,poiInfo/relation/detail/3/type,poiInfo/relation/detail/3/sid,poiInfo/relation/detail/3/fullName,poiInfo/relation/detail/3/name,poiInfo/relation/detail/3/category,poiInfo/relation/detail/3/xPos,poiInfo/relation/detail/3/yPos,poiInfo/relation/detail/4/type,poiInfo/relation/detail/4/sid,poiInfo/relation/detail/4/fullName,poiInfo/relation/detail/4/name,poiInfo/relation/detail/4/category,poiInfo/relation/detail/4/xPos,poiInfo/relation/detail/4/yPos,poiInfo/relation/detail/5/type,poiInfo/relation/detail/5/sid,poiInfo/relation/detail/5/fullName,poiInfo/relation/detail/5/name,poiInfo/relation/detail/5/category,poiInfo/relation/detail/5/xPos,poiInfo/relation/detail/5/yPos,poiInfo/relation/detail/6/type,poiInfo/relation/detail/6/sid,poiInfo/relation/detail/6/fullName,poiInfo/relation/detail/6/name,poiInfo/relation/detail/6/category,poiInfo/relation/detail/6/xPos,poiInfo/relation/detail/6/yPos,poiInfo/relation/detail/7/type,poiInfo/relation/detail/7/sid,poiInfo/relation/detail/7/fullName,poiInfo/relation/detail/7/name,poiInfo/relation/detail/7/category,poiInfo/relation/detail/7/xPos,poiInfo/relation/detail/7/yPos,poiInfo/relation/detail/8/type,poiInfo/relation/detail/8/sid,poiInfo/relation/detail/8/fullName,poiInfo/relation/detail/8/name,poiInfo/relation/detail/8/category,poiInfo/relation/detail/8/xPos,poiInfo/relation/detail/8/yPos,poiInfo/relation/detail/9/type,poiInfo/relation/detail/9/sid,poiInfo/relation/detail/9/fullName,poiInfo/relation/detail/9/name,poiInfo/relation/detail/9/category,poiInfo/relation/detail/9/xPos,poiInfo/relation/detail/9/yPos,entranceCoords/car/1/rep,entranceCoords/car/1/x,entranceCoords/car/1/y,entranceCoords/walk,shortAddress/0,shortAddress/1,entranceCoords/car/2/rep,entranceCoords/car/2/x,entranceCoords/car/2/y,entranceCoords/walk/1/rep,entranceCoords/walk/1/x,entranceCoords/walk/1/y,entranceCoords/walk/2/rep,entranceCoords/walk/2/x,entranceCoords/walk/2/y,shortAddress/2,poiInfo/relation/detail
0,1,20027727,광주호호수생태원,062-613-7891,false,,1,"여행,명소","자연,생태공원",222117,222118,222136,222186,광주광역시 북구 충효동 442-6,,,,광주호호수생태원,062-613-7891,생태공원,호수,수변공원,고즈넉한,등산,629,5d4ea23cb6a64bd900ad368d891aef3b,0,http://ldb.phinf.naver.net/20150206_222/1423211783225bQTWi_JPEG/%B1%A4%C1%D6_%B1%A4%C1%D6%C8%A3%C8%A3%BC%F6%BB%FD%C5%C2%BF%F8_1.JPG?type=m500_500,s,1,1,126.9990979,35.1844930,12,false,,,,,,,1,RELA,1.0,20027727,117.9926027,19.6944771,117.9926027,19.6944771,5,32407735,광주호호수생태원입구,입구,"자연,생태공원",127.0007897,35.1850620,1,84412089,광주호호수생태원주차장입구,주차장입구,"자연,생태공원",127.0013034,35.1845700,true,1,,,,false,,false,,false,,,true,127.0013034,35.18457,true,127.0007897,35.185062,false,매일 09:00~18:00,이용요금 0,,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,37939.43,nres://marker/00063-00110,nres://marker/00063-00264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,37769031,황룡친수공원,,false,,0,"여행,명소",자연공원,222117,222118,222136,222183,광주광역시 광산구 선암동 241-31,,,,황룡친수<b>공원</b>,,유채꽃밭,공원,나들이,코스모스밭,철쭉,290,34d8803ab0e0595b3312389040b7cc2d,0,http://blogfiles.naver.net/20160418_57/haelee0321_1460956005749xJLCk_PNG/DSC07845.png#1000x666,s,1,1,126.7742764,35.1438170,12,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,,,,,,false,,,,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,17492.93,nres://marker/00063-00110,nres://marker/00063-00264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,19828339,쌍암공원,062-960-8705,false,,1,"여행,명소","도시,테마공원",222117,222122,222170,222194,광주광역시 광산구 쌍암동,,,,쌍암<b>공원</b>,062-960-8705,공원,산책로,호수,나들이,도시락,260,87a42d2da0083d3ed8bd97341d35c6c3,0,http://blogfiles.naver.net/20151116_195/gwangju_city_1447635470013wuyDR_JPEG/2.jpg#740x555,s,1,1,126.8443370,35.2235430,12,false,,,,,,,1,RELA,1.0,19828339,117.9926027,19.6944771,117.9926027,19.6944771,5,1278564915,쌍암공원입구,입구,입구(사람),126.8403800,35.2240738,5,19630946,쌍암공원입구,입구,입구(사람),126.8437527,35.2252748,true,1,,,,false,,false,,false,,,true,126.8408909,35.222877,,,,false,,,,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,24778.94,nres://marker/00060-00110,nres://marker/00060-00265,,,,,,,222117,222118,222136,222183,umDHJ4yRRPmT36eV487vgA==,149.66,3.07,126.8437350,35.2253708,80,L2jCo+q542hNoHRP1IpJ9A==,97.25,-30.00,126.8427811,35.2237396,124,5,32417100,쌍암공원입구,입구,입구(사람),126.8439710,35.2220180,5,791729235,쌍암공원입구,입구,입구(사람),126.8454197,35.2240142,5,325576207,쌍암공원입구,입구,입구(사람),126.8458647,35.2226504,5,876314301,쌍암공원입구,입구,입구(사람),126.8409700,35.2244234,1,37603599,쌍암공원주차장입구,주차장입구,입구(사람+차량),126.8408909,35.2228770,2,958161952,쌍암공원주차장입구,주차장입구,입구(차량),126.8450301,35.2220181,3,368010745,쌍암공원주차장출구,주차장출구,출구(차량),126.8443980,35.2220053,3,462717512,쌍암공원주차장출구,주차장출구,출구(차량),126.8406972,35.2232843,false,126.8450301,35.2220181,,,,,,,,,,,,,,
3,4,11622392,광주사직공원,,false,,0,"여행,명소",근린공원,222117,222122,222170,222195,광주광역시 남구 사동 177,광주광역시 남구 사직길 49-1,사동 177,,광주사직<b>공원</b>,,전망대,야경,공원,화려한,드라이브,180,20af67a1f4a760fe78af99fa047d10d9,0,http://blogfiles.naver.net/MjAxNzEwMDlfMTE2/MDAxNTA3NTE3NzIwODUz.VPgfz7KSEm_-aUX5Fh08d5BVH7NnGNyql6Vv4QawoLIg.VbgH7sos3w1oEjUyZyBzDNPyRDPMPVbww8RuEgW0_BYg.JPEG.thsdlatjd2/IMG_9303.JPG#900x1350,s,1,1,126.9115500,35.1418987,12,false,,,,,,,1,RELA,1.0,11622392,117.9926027,19.6944771,117.9926027,19.6944771,1,37595141,광주사직공원입구,입구,입구(사람+차량),126.9122929,35.1418048,1,689322487,광주사직공원입구,입구,입구(사람+차량),126.9116241,35.1409936,true,1,,,,false,,false,,false,,,false,126.9122929,35.1418048,false,126.9122929,35.1418048,false,매일 09:00~22:00,입장료 0,,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,29957.88,nres://marker/00061-00110,nres://marker/00061-00265,,,,,,,222117,222118,222136,222183,dvfG0vCtCHdSYZQ13YrASQ==,-53.79,8.65,126.9118269,35.1412672,80,wSnGk8b+TQh53ZK2qzqZhA==,-94.23,-30.00,126.9150009,35.1421509,124,1,666933168,광주사직공원입구,입구,입구(사람+차량),126.9105343,35.1432843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,126.9116241,35.1409936,,광주 남구,사직길 49-1,false,126.9105343,35.1432843,false,126.9116241,35.1409936,false,126.9105343,35.1432843,,
4,5,11622443,중외공원,062-613-7100,false,,1,"여행,명소",근린공원,222117,222122,222170,222195,광주광역시 북구 운암동 164,광주광역시 북구 하서로 52,운암동 164,,중외<b>공원</b>,062-613-7100,공원,미술관,비엔날레,피크닉,홍매화,229,ef761be130c2846330381f3f88fc8abe,0,http://ldb.phinf.naver.net/20150831_227/1441007220512yq0bG_JPEG/116360404372284_0.jpg,s,1,1,126.8833592,35.1798454,12,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,true,126.8819672,35.1809578,,,,false,,,,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,27402.07,nres://marker/00063-00110,nres://marker/00063-00264,,,,,,,222117,222118,222136,222183,4D0PuLMIvfHY+KC+JMI4Jw==,49.31,-0.89,126.8830660,35.1815332,80,I/fFTx8J4gUVN1lY7J3X2g==,83.88,-30.00,126.8788910,35.1793633,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,광주 북구,하서로 52,,,,,,,,,,,
5,6,19713203,광주공원,062-672-0660,false,,1,"여행,명소","도시,테마공원",222117,222122,222170,222194,광주광역시 남구 구동 21-1,광주광역시 남구 중앙로107번길 15,구동 21-1,,광주<b>공원</b>,062-672-0660,포장마차,공원,닭발,아늑한,데이트,227,d0156b659a94ad5a0987addf9d277b67,0,http://blogfiles.naver.net/20150414_35/smilewhj_1429007426580x4p9U_JPEG/IMG_4509.JPG#5472x3648,s,1,1,126.9088250,35.1469571,12,false,,,,,,,1,RELA,1.0,19713203,117.9926027,19.6944771,117.9926027,19.6944771,1,16284055,광주시민회관입구,광주시민회관입구,입구(사람+차량),126.9100896,35.1467870,5,965735684,광주공원입구,입구,입구(사람),126.9081670,35.1474508,true,1,,,,false,,false,,false,,,true,126.9100896,35.146787,,,,false,매일 00:00~24:00,입장료 0,,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,29676.02,nres://marker/00063-00110,nres://marker/00063-00264,,,,,,,222117,222118,222136,222183,ecVRUUB+HPdnguKKEGkkBQ==,176.63,-0.07,126.9098704,35.1477663,80,DvHlgYM17oAIl5yODdbYEg==,96.39,-30.00,126.9063873,35.1472282,124,5,137828599,광주공원입구,입구,입구(사람),126.9099202,35.1476905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,광주 남구,중앙로107번길 15,,,,,,,,,,,
6,7,11817137,우치공원,062-613-5860,false,,1,"여행,명소",자연공원,222117,222118,222136,222183,광주광역시 북구 생용동 산139,광주광역시 북구 우치로 677 우치공원 금호패밀리랜드,생용동 산139,,우치<b>공원</b>,062-613-5860,동물원,공원,놀이동산,화려한,나들이,103,a63b8694aa2b53bc845264d07c3470f9,0,http://ldb.phinf.naver.net/20150901_234/14410457415232AS8G_JPEG/116554486554722_0.jpg,s,1,1,126.8932200,35.2216860,10,false,,,,,,,1,RELA,1.0,11817137,117.9926027,19.6944771,117.9926027,19.6944771,5,21041165,우치공원 동물원정문,동물원정문,입구(사람),126.8916946,35.2240316,1,16316626,우치공원정문,정문,입구(사람+차량),126.9003335,35.2253256,true,1,,,,false,,false,,false,http://uchipark.gwangju.go.kr/,,true,126.9003335,35.2253256,,,,false,"매일 09:00~18:00 17시까지 입장가능, 연중무휴",입장료 0,,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,29020.33,nres://marker/00060-00110,nres://marker/00060-00265,,,,,,,222117,222121,1000209,1000210,,,,,,,99UchmRC56y5bs9cBnca+Q==,-158.45,-30.00,126.8937378,35.2229913,80,4,32407741,우치공원주차장입구,주차장입구,입구(사람+차량),126.9003085,35.2252490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,126.9003085,35.225249,,광주 북구,우치로 677,,,,,,,,,,우치공원 금호패밀리랜드,
7,8,13491705,무등산,062-227-1187,false,,1,"여행,명소","산,고개",222117,222118,222132,,광주광역시 북구 금곡동,,,,무등산,062-227-1187,국립공원,등산,산행,편안한,계곡,970,372ad9c5981d0875709cdf72b3f15a16,0,http://ldb.phinf.naver.net/20150206_59/1423209982670IjX0L_JPEG/%B1%A4%C1%D6_%B9%AB%B5%EE%BB%EA_1.JPG?type=m500_500,s,1,1,127.0085500,35.1241404,8,false,,,,,,,1,RELA,1.0,13491705,117.9926027,19.6944771,117.9926027,19.6944771,,,,,,,,,,,,,,,true,1,,,,false,,false,,false,,,true,126.956678,35.133811,true,126.956678,35.133811,false,,,,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,38927.29,nres://marker/00058-00100,nres://marker/00058-00255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,19699817,5.18자유공원,062-376-5183,false,,1,"여행,명소","도시,테마공원",222117,222122,222170,222194,광주광역시 서구 치평동 1161-6,광주광역시 서구 상무평화로 13,치평동 1161-6,,5.18자유<b>공원</b>,062-376-5183,시민공원,체험학습,잔디밭,평화로운,체험관,174,48ba5f5f33805cd85b85f199729ece18,0,http://ldb.phinf.naver.net/20150831_91/1441010475163pRCCp_JPEG/126172525026627_0.jpg,s,1,1,126.8404980,35.1489763,12,false,,,,,,,1,RELA,1.0,19699817,117.9926027,19.6944771,117.9926027,19.6944771,5,37595168,5.18자유공원입구,입구,입구(사람),126.8412141,35.1481516,5,377286719,5.18자유공원입구,입구,입구(사람),126.8416225,35.1492493,true,1,,,,false,,false,,false,,,true,126.8395898,35.1481716,true,126.8412141,35.1481516,false,매일 09:00~18:00 봄~가을 | 매일 09:00~17:00 겨울,,,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,23455.20,nres://marker/00063-00110,nres://marker/00063-00264,,,,,,,222117,222118,222136,222183,VsnMAvd1eKzvuCcm0w2F1A==,16.28,6.15,126.8412785,35.1480770,80,7U0GY9MgBANwGJML2qYCjw==,-99.22,-30.00,126.8438492,35.1495171,124,1,16278677,5.18자유공원주차장입구,주차장입구,입구(사람+차량),126.8395898,35.1481716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,광주 서구,상무평화로 13,,,,false,126.8416225,35.1492493,,,,,
9,10,19589193,송정공원,062-940-8514,false,,1,"여행,명소","도시,테마공원",222117,222122,222170,222194,광주광역시 광산구 신촌동 산4,,,,송정<b>공원</b>,062-940-8514,공원,산책로,도서관,,,38,04d42fefba9d943f5715b5a8858bddf9,0,http://blogfiles.naver.net/20151220_209/gongju7000_14506062309628ar6n_JPEG/DSC01566.JPG#776x1203,s,1,1,126.8010091,35.1480715,12,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,true,126.798862,35.1479424,true,126.798862,35.1479424,false,,,,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,19874.99,nres://marker/00055-00097,nres://marker/00055-00239,,,,,,,222117,222118,222136,222183,idxfhEvbWQr+G6rQ57oDog==,-149.71,0.14,126.8028032,35.1490698,80,GhkwJJixgVyBetucDAFZfg==,98.20,-30.00,126.7986145,35.1484146,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
