index,rank,id,name,tel,isCallLink,virtualTel,ppc,category/0,category/1,categoryPath/0/0,categoryPath/0/1,categoryPath/0/2,categoryPath/0/3,categoryPath/1/0,categoryPath/1/1,categoryPath/1/2,address,roadAddress,abbrAddress,shortAddress,display,telDisplay,context/0,context/1,context/2,context/3,context/4,reviewCount,ktCallMd,coupon,thumUrl,type,isSite,posExact,x,y,itemLevel,isAdultBusiness,streetPanorama/id,streetPanorama/pan,streetPanorama/tilt,streetPanorama/lng,streetPanorama/lat,streetPanorama/fov,skyPanorama/id,skyPanorama/pan,skyPanorama/tilt,skyPanorama/lng,skyPanorama/lat,skyPanorama/fov,insidePanorama,interiorPanorama,indoorPanorama,theme,poiInfo/relation/poiShapeType,poiInfo/relation/shapeKey/typeName,poiInfo/relation/shapeKey/wsid,poiInfo/relation/shapeKey/shapeID,poiInfo/relation/boundary/minX,poiInfo/relation/boundary/minY,poiInfo/relation/boundary/maxX,poiInfo/relation/boundary/maxY,poiInfo/relation/detail/0/type,poiInfo/relation/detail/0/sid,poiInfo/relation/detail/0/fullName,poiInfo/relation/detail/0/name,poiInfo/relation/detail/0/category,poiInfo/relation/detail/0/xPos,poiInfo/relation/detail/0/yPos,poiInfo/relation/detail/1/type,poiInfo/relation/detail/1/sid,poiInfo/relation/detail/1/fullName,poiInfo/relation/detail/1/name,poiInfo/relation/detail/1/category,poiInfo/relation/detail/1/xPos,poiInfo/relation/detail/1/yPos,poiInfo/hasRelation,poiInfo/road/poiShapeType,poiInfo/road/shapeKey,poiInfo/road/boundary,poiInfo/road/detail,poiInfo/hasRoad,poiInfo/land,poiInfo/hasLand,poiInfo/polygon,poiInfo/hasPolygon,homePage,description,entranceCoords/car/0/rep,entranceCoords/car/0/x,entranceCoords/car/0/y,entranceCoords/walk,isPollingPlace,bizhourInfo,menuInfo,petrolInfo,couponUrl,couponUrlMobile,hasCardBenefit,menuExist,hasNaverBooking,naverBookingUrl,naverEasyOrderUrl,hasNaverSmartOrder,reservationLabel/standard,reservationLabel/preOrder,reservationLabel/table,reservationLabel/takeout,reservation/benefit,hasBroadcastInfo,broadcastInfo,shopWindowInfo,hasNPay,carWash,parkingPrice,card,distance,marker,markerSelected,michelinGuide,indoor,markerLabel,subway,shortAddress/0,shortAddress/1,poiInfo/relation,shortAddress/2,skyPanorama,entranceCoords,entranceCoords/walk/0/rep,entranceCoords/walk/0/x,entranceCoords/walk/0/y
0,1,31372076,맥도날드 광주쌍촌DT점,070-7017-6781,false,,1,양식,햄버거,220036,220044,220138,222362,222606,222607,1004452,광주광역시 서구 쌍촌동 964-20,,,,맥도날드 광주쌍촌DT점,070-7017-6781,햄버거,드라이브,츄러스,아이스크림,치킨,57,bf93f6ebe22c5a8729b7e7c96a75d69f,0,http://ldb.phinf.naver.net/20190131_251/15488784575412wNFp_JPEG/-ONIbOqNXoVpOGplOvUGXQ3v.jpg,s,1,1,126.8627160,35.1515120,12,false,2Ngg28o6ba81qn0ax1oFMg==,-16.10,10.00,126.8627857,35.1512704,120,4btkNi6UlMm6gkmyEkM2Pw==,81.21,-30.00,126.8605576,35.1511765,124,,,,,1,RELA,1.0,31372076,117.9926027,19.6944771,117.9926027,19.6944771,2,1945518907,맥도날드광주쌍촌DT점입구,입구,입구(사람+차량),126.8627528,35.1513710,3,1500065506,맥도날드광주쌍촌DT점출구,출구,출구(차량),126.8626294,35.1513546,true,1,,,,false,,false,,false,http://www.mcdonalds.co.kr/,,true,126.8627528,35.151371,,false,매일 00:00~24:00 연중무휴,빅맥® 세트 변동가격(업주문의) | 맥스파이시® 상하이 버거 세트 변동가격(업주문의) | 1955 버거™ 세트 변동가격(업주문의) | 불고기 버거 세트 변동가격(업주문의) | 슈슈 버거 세트 변동가격(업주문의) | 베이컨 토마토 디럭스 세트 변동가격(업주문의),,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,13228.73,nres://marker/00063-00076,nres://marker/00063-00230,,,,,,,,,,,,,
1,2,30811953,맥도날드 광주동림DT점,070-7017-2451,false,,1,양식,햄버거,220036,220044,220138,222362,222606,222607,1004452,광주광역시 북구 동림동 900-41,광주광역시 북구 하남대로 635,동림동 900-41,,맥도날드 광주동림DT점,070-7017-2451,햄버거,불고기,,,,73,df971fae6643c987c3c35ff6c7ee1b6b,0,http://blogfiles.naver.net/20141204_139/sh85park_1417663391339742Af_JPEG/image_%285%29.jpg#900x1200,s,1,1,126.8621049,35.1724545,10,false,JMdHrF0kMypJflWouyhyMg==,-9.48,10.00,126.8622057,35.1721941,120,++qAX6VbuuE2PCTik1Exzg==,101.61,-30.00,126.8608322,35.1726990,124,,,,,1,RELA,1.0,30811953,117.9926027,19.6944771,117.9926027,19.6944771,2,1009098745,맥도날드 광주동림DT점입구,입구,입구(사람+차량),126.8623396,35.1723391,3,1080492355,맥도날드 광주동림DT점출구,출구,출구(차량),126.8620442,35.1722951,true,1,,,,false,,false,,false,http://www.mcdonalds.co.kr/,,true,126.8623396,35.1723391,,false,매일 00:00~24:00,빅맥® 세트 변동가격(업주문의) | 맥스파이시® 상하이 버거 세트 변동가격(업주문의) | 1955 버거™ 세트 변동가격(업주문의) | 불고기 버거 세트 변동가격(업주문의) | 슈슈 버거 세트 변동가격(업주문의) | 베이컨 토마토 디럭스 세트 변동가격(업주문의),,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,13214.98,nres://marker/00063-00076,nres://marker/00063-00230,,,,,광주 북구,하남대로 635,,,,,,,
2,3,31372077,맥도날드 광주운암DT점,070-7017-6790,false,,1,양식,햄버거,220036,220044,220138,222362,222606,222607,1004452,광주광역시 북구 운암동 1078-2,광주광역시 북구 북문대로187번길 2,운암동 1078-2,,맥도날드 광주운암DT점,070-7017-6790,,,,,,37,65b150c526f691bc84db5a5c389dc62c,0,http://ldb.phinf.naver.net/20190402_135/1554164628801BbKsc_JPEG/4Pxh2-hGTWuAP1znMO2gXQXe.jpg,s,1,1,126.8701381,35.1849773,12,false,Tw52FtY0raSwe9BYjUHLXw==,-36.54,10.00,126.8702278,35.1848290,120,FtT6nZCvTUxF0CtR+Cub4w==,-72.24,-30.00,126.8713913,35.1845970,124,,,,,1,RELA,1.0,31372077,117.9926027,19.6944771,117.9926027,19.6944771,2,1634913142,맥도날드 광주운암DT점입구,입구,입구(사람+차량),126.8702533,35.1848960,3,1446657497,맥도날드 광주운암DT점출구,출구,출구(차량),126.8701097,35.1848120,true,1,,,,false,,false,,false,http://www.mcdonalds.co.kr/,,true,126.8702533,35.184896,,false,매일 07:00~02:00 연중무휴,빅맥® 세트 변동가격(업주문의) | 맥스파이시® 상하이 버거 세트 변동가격(업주문의) | 1955 버거™ 세트 변동가격(업주문의) | 불고기 버거 세트 변동가격(업주문의) | 슈슈 버거 세트 변동가격(업주문의) | 베이컨 토마토 디럭스 세트 변동가격(업주문의),,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,14149.97,nres://marker/00063-00076,nres://marker/00063-00230,,,,,광주 북구,북문대로187번길 2,,,,,,,
3,4,16183216,맥도날드 용봉DT점,070-7017-0420,false,,1,양식,햄버거,220036,220044,220138,222362,222606,222607,1004452,광주광역시 북구 용봉동 1130-8,광주광역시 북구 설죽로 283,용봉동 1130-8,,맥도날드 용봉DT점,070-7017-0420,햄버거,드라이브,불고기,,,36,d119b295a67588e98e037d7520cc8d5e,0,http://blogfiles.naver.net/20140906_265/eunji0362_1409984209076qoalP_JPEG/0131addd1bfc4ec42dc5d2a3f56e5a71c8cae4b076.jpg#900x675,s,1,1,126.8982307,35.1851078,12,false,o2Vcuc32c3K3hYMf/hg7XA==,-99.77,10.00,126.8985075,35.1852149,120,ozoC3PW9k4DpoGITeote1Q==,97.04,-30.00,126.8969421,35.1853333,124,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,http://www.mcdonalds.co.kr/,,true,126.8983145,35.1854044,,false,매일 00:00~24:00 연중무휴,빅맥® 세트 변동가격(업주문의) | 맥스파이시® 상하이 버거 세트 변동가격(업주문의) | 1955 버거™ 세트 변동가격(업주문의) | 불고기 버거 세트 변동가격(업주문의) | 슈슈 버거 세트 변동가격(업주문의) | 베이컨 토마토 디럭스 세트 변동가격(업주문의),,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,16665.03,nres://marker/00063-00076,nres://marker/00063-00230,,,,,광주 북구,설죽로 283,,,,,,,
4,5,31526303,맥도날드 광주첨단DT점,070-7017-6465,false,,1,양식,햄버거,220036,220044,220138,222362,222606,222607,1004452,광주광역시 북구 용두동 311-15,광주광역시 북구 임방울대로 1048 광주첨단 맥도날드 D/T,용두동 311-15,,맥도날드 광주첨단DT점,070-7017-6465,햄버거,드라이브,치킨,불고기,,36,bb0fca313de57e7988e3f978f281b749,0,http://ldb.phinf.naver.net/20191021_156/1571597573453Lq1vr_JPEG/55id9vosuuTwvlzYnXVadv3D.jpeg.jpg,s,1,1,126.8718313,35.2116707,12,false,kNVkq0gpCMJTUQGYIN2CUQ==,-145.17,10.00,126.8720382,35.2119671,120,DRC1kvG0yNTynLdxeCa0bw==,56.14,-30.00,126.8711090,35.2111855,124,,,,,1,RELA,1.0,31526303,117.9926027,19.6944771,117.9926027,19.6944771,2,1421642670,맥도날드 광주첨단DT점입구,입구,입구(사람+차량),126.8717037,35.2118678,3,1169521716,맥도날드 광주첨단DT점출구,출구,출구(차량),126.8719409,35.2117898,true,1,,,,false,,false,,false,http://www.mcdonalds.co.kr/,,true,126.8717037,35.2118678,,false,매일 07:00~02:00 연중무휴,빅맥® 세트 변동가격(업주문의) | 맥스파이시® 상하이 버거 세트 변동가격(업주문의) | 1955 버거™ 세트 변동가격(업주문의) | 불고기 버거 세트 변동가격(업주문의) | 슈슈 버거 세트 변동가격(업주문의) | 베이컨 토마토 디럭스 세트 변동가격(업주문의),,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,15163.87,nres://marker/00063-00076,nres://marker/00063-00230,,,,,광주 북구,임방울대로 1048,,광주첨단 맥도날드 D/T,,,,,
5,6,1055287477,스타벅스 광주선운DT점,1522-3232,false,,1,"카페,디저트",카페,220036,220052,220576,221275,220036,1003557,,광주광역시 광산구 선암동 572,광주광역시 광산구 선운로20번길 63,선암동 572,,스타벅스 광주선운DT점,1522-3232,,,,,,15,206f9a015521c60fda9a861d314de04b,0,http://ldb.phinf.naver.net/20190828_93/1566953601239OT9MQ_PNG/xX7Wv642gXMoTI0DAv0hRymS.png,s,1,1,126.7777200,35.1467680,12,false,0yG4YWtcfY4JJBZAO+YH3g==,-88.10,10.00,126.7778970,35.1467620,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,http://www.starbucks.co.kr/,,,,,,false,목요일 07:00~22:00 | 금요일 07:00~22:00 | 토요일 08:00~22:00 | 일요일 08:00~22:00 | 월요일 07:00~22:00 | 화요일 07:00~22:00 | 수요일 07:00~22:00,"블랙 글레이즈드 라떼 6,100 | 헤이즐넛 오트 쇼콜라 5,900 | 애플 쿠키 라떼 5,900 | 애플 쿠키 크림 프라푸치노 6,100 | 카페 아메리카노 4,100 | 카페 라떼 4,600 | 디카페인 카페 라뗴 4,900 | 오늘의 커피 3,800 | 스타벅스 돌체 라떼 5,600 | 카라멜 마키아또 5,600 | 카푸치노 4,600 | 카페 모카 5,100 | 화이트 초콜릿 모카 5,600 | 콜드 브루 4,500 | 자몽 허니 블랙 티 5,300 | 아이스 자몽 허니 블랙 티 5,300 | 망고 바나나 블렌디드 6,300 | 에스프레소 프라푸치노 5,100 | 자바 칩 프라푸치노 6,100",,,,false,1,false,https://booking.naver.com/booking/6/bizes/391754,,true,false,true,false,true,,false,,,true,,-1,,5651.60,nres://marker/00063-00038,nres://marker/00063-00191,,,,,광주 광산구,선운로20번길 63,,,,,,,
6,7,35623448,맥도날드 광주산정DT점,070-7204-4995,false,,1,양식,햄버거,220036,220044,220138,222362,222606,222607,1004452,광주광역시 광산구 산정동 143-16,광주광역시 광산구 용아로 251,산정동 143-16,,맥도날드 광주산정DT점,070-7204-4995,햄버거,불고기,,,,38,8231487a838b147df4ca773b94b835f9,0,,s,1,1,126.8012677,35.1658967,12,false,+tMSQBy3Ygycf6Zx5N60bQ==,-86.46,10.00,126.8017342,35.1658638,120,BcIwqaO9vdv29GYE88LWtQ==,120.48,-30.00,126.7988892,35.1673012,124,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,true,126.8015981,35.1659541,,false,,빅맥® 세트 변동가격(업주문의) | 맥스파이시® 상하이 버거 세트 변동가격(업주문의) | 1955 버거™ 세트 변동가격(업주문의) | 불고기 버거 세트 변동가격(업주문의) | 슈슈 버거 세트 변동가격(업주문의) | 베이컨 토마토 디럭스 세트 변동가격(업주문의),,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,7635.30,nres://marker/00063-00076,nres://marker/00063-00230,,,,,광주 광산구,용아로 251,,,,,,,
7,8,1858541324,스타벅스 광주산정DT점,1522-3232,false,,1,"카페,디저트",카페,220036,220052,220576,221275,220036,1003557,,광주광역시 광산구 산정동 917-11,광주광역시 광산구 용아로 342,산정동 917-11,,스타벅스 광주산정DT점,1522-3232,,,,,,16,68326e6574d9ea4dffb420f869e63cfd,0,http://ldb.phinf.naver.net/20190828_93/1566953601239OT9MQ_PNG/xX7Wv642gXMoTI0DAv0hRymS.png,s,1,1,126.8041910,35.1735240,12,false,D5z/eh9s7DKuM3pmW1VHdQ==,92.95,10.00,126.8039426,35.1735366,120,1t2F55nmWtRqeG7rcdKvDw==,-75.98,-30.00,126.8066635,35.1729050,124,,,,,1,RELA,1.0,1858541324,117.9926027,19.6944771,117.9926027,19.6944771,2,1511497465,스타벅스광주산정DT점입구,입구,입구(사람+차량),126.8040744,35.1734547,3,1282606099,스타벅스광주산정DT점출구,출구,출구(차량),126.8041318,35.1737321,true,1,,,,false,,false,,false,http://www.starbucks.co.kr/,,true,126.8040744,35.1734547,,false,수요일 07:00~21:00 | 목요일 07:00~21:00 | 금요일 07:00~21:00 | 토요일 08:00~21:00 | 일요일 08:00~21:00 | 월요일 07:00~21:00 | 화요일 07:00~21:00,"블랙 글레이즈드 라떼 6,100 | 헤이즐넛 오트 쇼콜라 5,900 | 애플 쿠키 라떼 5,900 | 애플 쿠키 크림 프라푸치노 6,100 | 카페 아메리카노 4,100 | 카페 라떼 4,600 | 디카페인 카페 라뗴 4,900 | 오늘의 커피 3,800 | 스타벅스 돌체 라떼 5,600 | 카라멜 마키아또 5,600 | 카푸치노 4,600 | 카페 모카 5,100 | 화이트 초콜릿 모카 5,600 | 콜드 브루 4,500 | 자몽 허니 블랙 티 5,300 | 아이스 자몽 허니 블랙 티 5,300 | 망고 바나나 블렌디드 6,300 | 에스프레소 프라푸치노 5,100 | 자바 칩 프라푸치노 6,100",,,,false,1,false,https://booking.naver.com/booking/6/bizes/391603,,true,false,true,false,true,,false,,,true,,-1,,8017.80,nres://marker/00063-00038,nres://marker/00063-00191,,,,,광주 광산구,용아로 342,,,,,,,
8,9,1715464607,스타벅스 광주신세계DT점,1522-3232,false,,1,"카페,디저트",카페,220036,220052,220576,221275,220036,1003557,,광주광역시 서구 화정동 177-2,광주광역시 서구 죽봉대로 33,화정동 177-2,,스타벅스 광주신세계DT점,1522-3232,,,,,,27,b9c33508769360e827a2f5f063ae7d45,0,http://ldb.phinf.naver.net/20190828_93/1566953601239OT9MQ_PNG/xX7Wv642gXMoTI0DAv0hRymS.png,s,1,1,126.8831000,35.1563000,12,false,dOPyOzn5vcQ8ix3lJEagOw==,-115.83,7.69,126.8830746,35.1564056,80,ncaQ6/PQ6oxoN9sxWcCIWg==,88.15,-30.00,126.8791656,35.1561699,124,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,http://www.starbucks.co.kr/,,true,126.8829023,35.1564249,,false,목요일 07:00~22:00 | 금요일 07:00~22:00 | 토요일 08:00~22:00 | 일요일 08:00~22:00 | 월요일 07:00~22:00 | 화요일 07:00~22:00 | 수요일 08:00~21:00,"블랙 글레이즈드 라떼 6,100 | 헤이즐넛 오트 쇼콜라 5,900 | 애플 쿠키 라떼 5,900 | 애플 쿠키 크림 프라푸치노 6,100 | 카페 아메리카노 4,100 | 카페 라떼 4,600 | 디카페인 카페 라뗴 4,900 | 오늘의 커피 3,800 | 스타벅스 돌체 라떼 5,600 | 카라멜 마키아또 5,600 | 카푸치노 4,600 | 카페 모카 5,100 | 화이트 초콜릿 모카 5,600 | 콜드 브루 4,500 | 자몽 허니 블랙 티 5,300 | 아이스 자몽 허니 블랙 티 5,300 | 망고 바나나 블렌디드 6,300 | 에스프레소 프라푸치노 5,100 | 자바 칩 프라푸치노 6,100",,,,false,1,false,https://booking.naver.com/booking/6/bizes/391689,,true,false,true,false,true,,false,,,true,,-1,,15056.00,nres://marker/00063-00038,nres://marker/00063-00191,,,,,광주 서구,죽봉대로 33,,,,,true,126.8829023,35.1564249
9,10,258621265,스타벅스 광주흑석DT점,1522-3232,false,,1,"카페,디저트",카페,220036,220052,220576,221275,220036,1003557,,광주광역시 광산구 산정동 909-3,광주광역시 광산구 사암로 367,산정동 909-3,,스타벅스 광주흑석DT점,1522-3232,왕새우,케이크,카페,튀김,,57,a66965f9dd87b38d8d984c27bae7e405,0,http://ldb.phinf.naver.net/20190828_93/1566953601239OT9MQ_PNG/xX7Wv642gXMoTI0DAv0hRymS.png,s,1,1,126.8078870,35.1769360,12,false,FFTH4FZICxIqJRTs138S5w==,-102.13,10.00,126.8081706,35.1769967,120,2h7aC2VcFusltlF+GIWiRw==,74.08,-30.00,126.8066635,35.1765862,124,,,,,1,RELA,1.0,258621265,117.9926027,19.6944771,117.9926027,19.6944771,2,1002895318,스타벅스광주흑석DT점입구,입구,입구(사람+차량),126.8079551,35.1770816,3,1406219848,스타벅스광주흑석DT점출구,출구,출구(차량),126.8079944,35.1769057,true,1,,,,false,,false,,false,http://www.starbucks.co.kr/,,true,126.8079551,35.1770816,,false,토요일 08:00~22:00 | 일요일 08:00~22:00 | 월요일 07:00~22:00 | 화요일 07:00~22:00 | 수요일 07:00~22:00 | 목요일 07:00~22:00 | 금요일 07:00~22:00,"블랙 글레이즈드 라떼 6,100 | 헤이즐넛 오트 쇼콜라 5,900 | 애플 쿠키 라떼 5,900 | 애플 쿠키 크림 프라푸치노 6,100 | 카페 아메리카노 4,100 | 카페 라떼 4,600 | 디카페인 카페 라뗴 4,900 | 오늘의 커피 3,800 | 스타벅스 돌체 라떼 5,600 | 카라멜 마키아또 5,600 | 카푸치노 4,600 | 카페 모카 5,100 | 화이트 초콜릿 모카 5,600 | 콜드 브루 4,500 | 자몽 허니 블랙 티 5,300 | 아이스 자몽 허니 블랙 티 5,300 | 망고 바나나 블렌디드 6,300 | 에스프레소 프라푸치노 5,100 | 자바 칩 프라푸치노 6,100",,,,false,1,false,https://booking.naver.com/booking/6/bizes/391459,,true,false,true,false,true,,false,,,true,,-1,,8425.83,nres://marker/00063-00038,nres://marker/00063-00191,,,,,광주 광산구,사암로 367,,,,,,,
