index,rank,id,name,tel,isCallLink,virtualTel,ppc,category/0,category/1,categoryPath/0/0,categoryPath/0/1,categoryPath/0/2,categoryPath/0/3,categoryPath/1/0,categoryPath/1/1,categoryPath/1/2,categoryPath/1/3,address,roadAddress,abbrAddress,shortAddress,display,telDisplay,context/0,context/1,context/2,context/3,context/4,reviewCount,ktCallMd,coupon,thumUrl,type,isSite,posExact,x,y,itemLevel,isAdultBusiness,streetPanorama/id,streetPanorama/pan,streetPanorama/tilt,streetPanorama/lng,streetPanorama/lat,streetPanorama/fov,skyPanorama/id,skyPanorama/pan,skyPanorama/tilt,skyPanorama/lng,skyPanorama/lat,skyPanorama/fov,insidePanorama,interiorPanorama,indoorPanorama,theme,poiInfo/relation/poiShapeType,poiInfo/relation/shapeKey/typeName,poiInfo/relation/shapeKey/wsid,poiInfo/relation/shapeKey/shapeID,poiInfo/relation/boundary/minX,poiInfo/relation/boundary/minY,poiInfo/relation/boundary/maxX,poiInfo/relation/boundary/maxY,poiInfo/relation/detail/0/type,poiInfo/relation/detail/0/sid,poiInfo/relation/detail/0/fullName,poiInfo/relation/detail/0/name,poiInfo/relation/detail/0/category,poiInfo/relation/detail/0/xPos,poiInfo/relation/detail/0/yPos,poiInfo/relation/detail/1/type,poiInfo/relation/detail/1/sid,poiInfo/relation/detail/1/fullName,poiInfo/relation/detail/1/name,poiInfo/relation/detail/1/category,poiInfo/relation/detail/1/xPos,poiInfo/relation/detail/1/yPos,poiInfo/relation/detail/2/type,poiInfo/relation/detail/2/sid,poiInfo/relation/detail/2/fullName,poiInfo/relation/detail/2/name,poiInfo/relation/detail/2/category,poiInfo/relation/detail/2/xPos,poiInfo/relation/detail/2/yPos,poiInfo/relation/detail/3/type,poiInfo/relation/detail/3/sid,poiInfo/relation/detail/3/fullName,poiInfo/relation/detail/3/name,poiInfo/relation/detail/3/category,poiInfo/relation/detail/3/xPos,poiInfo/relation/detail/3/yPos,poiInfo/relation/detail/4/type,poiInfo/relation/detail/4/sid,poiInfo/relation/detail/4/fullName,poiInfo/relation/detail/4/name,poiInfo/relation/detail/4/category,poiInfo/relation/detail/4/xPos,poiInfo/relation/detail/4/yPos,poiInfo/relation/detail/5/type,poiInfo/relation/detail/5/sid,poiInfo/relation/detail/5/fullName,poiInfo/relation/detail/5/name,poiInfo/relation/detail/5/category,poiInfo/relation/detail/5/xPos,poiInfo/relation/detail/5/yPos,poiInfo/relation/detail/6/type,poiInfo/relation/detail/6/sid,poiInfo/relation/detail/6/fullName,poiInfo/relation/detail/6/name,poiInfo/relation/detail/6/category,poiInfo/relation/detail/6/xPos,poiInfo/relation/detail/6/yPos,poiInfo/relation/detail/7/type,poiInfo/relation/detail/7/sid,poiInfo/relation/detail/7/fullName,poiInfo/relation/detail/7/name,poiInfo/relation/detail/7/category,poiInfo/relation/detail/7/xPos,poiInfo/relation/detail/7/yPos,poiInfo/relation/detail/8/type,poiInfo/relation/detail/8/sid,poiInfo/relation/detail/8/fullName,poiInfo/relation/detail/8/name,poiInfo/relation/detail/8/category,poiInfo/relation/detail/8/xPos,poiInfo/relation/detail/8/yPos,poiInfo/relation/detail/9/type,poiInfo/relation/detail/9/sid,poiInfo/relation/detail/9/fullName,poiInfo/relation/detail/9/name,poiInfo/relation/detail/9/category,poiInfo/relation/detail/9/xPos,poiInfo/relation/detail/9/yPos,poiInfo/hasRelation,poiInfo/road/poiShapeType,poiInfo/road/shapeKey,poiInfo/road/boundary,poiInfo/road/detail,poiInfo/hasRoad,poiInfo/land,poiInfo/hasLand,poiInfo/polygon,poiInfo/hasPolygon,homePage,description,entranceCoords/car/0/rep,entranceCoords/car/0/x,entranceCoords/car/0/y,entranceCoords/car/1/rep,entranceCoords/car/1/x,entranceCoords/car/1/y,entranceCoords/walk,isPollingPlace,bizhourInfo,menuInfo,petrolInfo,couponUrl,couponUrlMobile,hasCardBenefit,menuExist,hasNaverBooking,naverBookingUrl,naverEasyOrderUrl,hasNaverSmartOrder,reservationLabel/standard,reservationLabel/preOrder,reservationLabel/table,reservationLabel/takeout,reservation/benefit,hasBroadcastInfo,broadcastInfo,shopWindowInfo,hasNPay,carWash,parkingPrice,card,distance,marker,markerSelected,michelinGuide,indoor,markerLabel,subway,poiInfo/relation,entranceCoords,shortAddress/0,shortAddress/1,skyPanorama,entranceCoords/walk/0/rep,entranceCoords/walk/0/x,entranceCoords/walk/0/y,entranceCoords/walk/1/rep,entranceCoords/walk/1/x,entranceCoords/walk/1/y,entranceCoords/walk/2/rep,entranceCoords/walk/2/x,entranceCoords/walk/2/y,shortAddress/2,entranceCoords/walk/3/rep,entranceCoords/walk/3/x,entranceCoords/walk/3/y,entranceCoords/walk/4/rep,entranceCoords/walk/4/x,entranceCoords/walk/4/y,entranceCoords/walk/5/rep,entranceCoords/walk/5/x,entranceCoords/walk/5/y,entranceCoords/walk/6/rep,entranceCoords/walk/6/x,entranceCoords/walk/6/y,categoryPath/1/4,entranceCoords/car/2/rep,entranceCoords/car/2/x,entranceCoords/car/2/y,streetPanorama,categoryPath/0/4,entranceCoords/car,poiInfo/relation/detail
0,11,19828339,쌍암공원,062-960-8705,false,,1,"여행,명소","도시,테마공원",222117,222122,222170,222194,222117,222118,222136,222183,광주광역시 광산구 쌍암동,,,,쌍암<b>공원</b>,062-960-8705,공원,산책로,호수,나들이,도시락,260,87a42d2da0083d3ed8bd97341d35c6c3,0,http://blogfiles.naver.net/20151116_195/gwangju_city_1447635470013wuyDR_JPEG/2.jpg#740x555,s,1,1,126.8443370,35.2235430,12,false,umDHJ4yRRPmT36eV487vgA==,149.66,3.07,126.8437350,35.2253708,80,L2jCo+q542hNoHRP1IpJ9A==,97.25,-30.00,126.8427811,35.2237396,124,,,,,1,RELA,1.0,19828339,117.9926027,19.6944771,117.9926027,19.6944771,5,1278564915,쌍암공원입구,입구,입구(사람),126.8403800,35.2240738,5,19630946,쌍암공원입구,입구,입구(사람),126.8437527,35.2252748,5,32417100,쌍암공원입구,입구,입구(사람),126.8439710,35.2220180,5,791729235,쌍암공원입구,입구,입구(사람),126.8454197,35.2240142,5,325576207,쌍암공원입구,입구,입구(사람),126.8458647,35.2226504,5,876314301,쌍암공원입구,입구,입구(사람),126.8409700,35.2244234,1,37603599,쌍암공원주차장입구,주차장입구,입구(사람+차량),126.8408909,35.2228770,2,958161952,쌍암공원주차장입구,주차장입구,입구(차량),126.8450301,35.2220181,3,368010745,쌍암공원주차장출구,주차장출구,출구(차량),126.8443980,35.2220053,3,462717512,쌍암공원주차장출구,주차장출구,출구(차량),126.8406972,35.2232843,true,1,,,,false,,false,,false,,,true,126.8408909,35.222877,false,126.8450301,35.2220181,,false,,,,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,6070.76,nres://marker/00060-00110,nres://marker/00060-00265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,38218331,광주공원앞 공영 주차장,,false,,0,"교통,운수",공영주차장,226187,226189,226201,226257,,,,,광주광역시 남구 구동 2-2,,,,<b>광주공원</b>앞 공영 주차장,,포장마차,어묵,공원,데이트,꼼장어,0,1d274134a66ce9d933100d71b14774e6,0,,s,1,1,126.9101264,35.1479713,12,false,yQQwFPBbo/2I5egSScwmNg==,-42.02,10.00,126.9102312,35.1478549,120,Zn6LGUhj4wxxFdRDsv4KWA==,93.62,-30.00,126.9063873,35.1482048,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,0,4414.83,nres://marker/00063-00111,nres://marker/00063-00265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,13,11622443,중외공원,062-613-7100,false,,1,"여행,명소",근린공원,222117,222122,222170,222195,222117,222118,222136,222183,광주광역시 북구 운암동 164,광주광역시 북구 하서로 52,운암동 164,,중외<b>공원</b>,062-613-7100,공원,미술관,비엔날레,피크닉,홍매화,229,ef761be130c2846330381f3f88fc8abe,0,http://ldb.phinf.naver.net/20150831_227/1441007220512yq0bG_JPEG/116360404372284_0.jpg,s,1,1,126.8833592,35.1798454,12,false,4D0PuLMIvfHY+KC+JMI4Jw==,49.31,-0.89,126.8830660,35.1815332,80,I/fFTx8J4gUVN1lY7J3X2g==,83.88,-30.00,126.8788910,35.1793633,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,true,126.8819672,35.1809578,,,,,false,,,,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,982.00,nres://marker/00063-00110,nres://marker/00063-00264,,,,,,,광주 북구,하서로 52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14,18266043,청석공원,031-762-1039,false,,1,"여행,명소",근린공원,222117,222122,222170,222195,,,,,경기도 광주시 쌍령동 242,,,,청석<b>공원</b>,031-762-1039,산책로,시민공원,라이딩,편안한,휴식,222,5773471aed6688a5cefe80c88956cbcf,0,http://blogfiles.naver.net/MjAxODA2MTVfMyAg/MDAxNTI5MDI1NjUwMjc2.eoHj0-T3vDgqa4TQg0xwhJf8ft8bXYMGxLXPeuNYv7Qg.ShuKHJPqYNkP9M77Tmz6QEXpt83RgHeOuzaUlFnuSPkg.PNG.gjcityi/06152.png#386x386,s,1,1,127.2625115,37.4105391,12,false,Ko/hBVPo3PkapsdbJ8z3Tg==,17.34,6.77,127.2622847,37.4101776,80,,,,,,,,,,,1,RELA,1.0,18266043,117.9926027,19.6944771,117.9926027,19.6944771,5,18271488,청석공원입구,입구,입구(사람),127.2623875,37.4068071,5,1721485578,청석공원입구,입구,입구(사람),127.2623696,37.4078126,5,1814383045,청석공원입구,입구,입구(사람),127.2620272,37.4097868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,,,false,,false,,false,,,true,127.2623875,37.4068071,,,,,false,,,,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,251233.07,nres://marker/00063-00110,nres://marker/00063-00264,,,,,,,,,,true,127.2623875,37.4068071,false,127.2623696,37.4078126,false,127.2620272,37.4097868,,,,,,,,,,,,,,,,,,,,,
4,15,16055211,상무시민공원,062-360-7513,false,,1,"여행,명소","도시,테마공원",222117,222122,222170,222194,,,,,광주광역시 서구 치평동 1162,광주광역시 서구 상무공원로 101 5.18시민공원,치평동 1162,,상무시민<b>공원</b>,062-360-7513,시민공원,물놀이장,자전거대여,피크닉,콘서트,249,1daed700b970efec30b321e9b06f911e,0,http://blogfiles.naver.net/MjAxNzExMDNfMjIg/MDAxNTA5Njk1MjQ0NjE1.piIunyZXM8O10c6Y_7HjU-GmqpCMJ1CdQeT4Ds5nGr4g.OCEVp24nu6U2wrwmYkFN0x7Gh0PrfsqlN9irVTrG4LUg.JPEG.kimyd4100/DSC_4508.jpg#900x599,s,1,1,126.8412821,35.1531549,12,false,fNWJUy5JvPSFEWL0hQZtKA==,-86.46,0.65,126.8429254,35.1533928,80,Vz8fcll5gtM9VBuk304AgQ==,-101.26,-30.00,126.8438873,35.1536713,124,,,,,1,RELA,1.0,0,117.9926027,19.6944771,117.9926027,19.6944771,1,16277730,상무시민공원입구,입구,입구(사람+차량),126.8427880,35.1546240,5,19656034,상무시민공원입구,입구,입구(사람),126.8416613,35.1518163,5,19650411,상무시민공원입구,입구,입구(사람),126.8390639,35.1518167,5,19652549,상무시민공원입구,입구,입구(사람),126.8390381,35.1538986,5,168992908,상무시민공원입구,입구,입구(사람),126.8427935,35.1534385,5,287431686,상무시민공원입구,입구,입구(사람),126.8427668,35.1550339,5,19652545,상무시민공원입구,입구,입구(사람),126.8395279,35.1550934,,,,,,,,,,,,,,,,,,,,,,true,1,,,,false,,false,,false,,,true,126.842788,35.154624,,,,,false,,,,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,3865.55,nres://marker/00049-00090,nres://marker/00049-00225,,,,,,,광주 서구,상무공원로 101,,true,126.842788,35.154624,false,126.8416613,35.1518163,false,126.8390639,35.1518167,5.18시민공원,false,126.8390381,35.1538986,false,126.8427935,35.1534385,false,126.8427668,35.1550339,false,126.8395279,35.1550934,,,,,,,,
5,16,16303432,산동교친수공원,,false,,0,"여행,명소",근린공원,222117,222122,222170,222195,,,,,광주광역시 북구 동림동,,,,산동교친수<b>공원</b>,,,,,,,117,5f9199e35dbbabd87fc73316ebe2d969,0,,s,1,1,126.8620500,35.1895596,12,false,6JYQNe2NYnB0L2D6Ghw5XA==,-86.33,-0.33,126.8625677,35.1893527,80,Vuz54ROCX+gJvbnFlpdv8A==,103.46,-30.00,126.8608322,35.1898499,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,1987.10,nres://marker/00037-00079,nres://marker/00037-00203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,17,771477330,광주공원노인복지관,062-671-3370,false,,1,"사회,복지",노인복지,222935,222944,223021,230102,,,,,광주광역시 남구 구동 16-48,광주광역시 남구 서오층석탑2길 17,구동 16-48,,<b>광주공원</b>노인복지관,062-671-3370,,,,,,0,f262d28eaff987f5f68fff47eda394f7,0,,s,1,1,126.9078750,35.1475240,12,false,weWTMIwnqcmVWleLUflN+A==,157.85,10.00,126.9078370,35.1476170,120,DvHlgYM17oAIl5yODdbYEg==,78.79,-30.00,126.9063873,35.1472282,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,true,126.908004,35.147411,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,4301.56,nres://marker/00063-00106,nres://marker/00063-00260,,,,,,,광주 남구,서오층석탑2길 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,18,18062474,산마루공원,031-768-3031,false,,1,한식,"육류,고기요리",220036,220037,220075,220733,222606,222607,1004380,1004381,경기도 광주시 퇴촌면 관음리 242,경기도 광주시 퇴촌면 천진암로 724,관음리 242,,산마루<b>공원</b>,031-768-3031,고추장삼겹살,공원,,,,22,928673a34ed6da09fbb9fd543e08dd01,0,,s,1,1,127.3421623,37.4526276,12,false,ieU1SBKgt7zffgtBH6gOVQ==,6.46,10.00,127.3421482,37.4525028,120,tDRz/YM+VOv1nnLRh/OfIA==,-57.28,-30.00,127.3460033,37.4501567,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,http://cityfood.co.kr/h9/sanmalugongwon,,true,127.342272,37.452713,,,,,false,매일 11:00~22:00 연중무휴,"삼겹살고추장구이 13,000 | 수입산삼겹살고추장구이 12,000 | 한우1등급400g 44,000 | 돼지댓잎왕갈비 14,000 | 흑돼지생고기구이 16,000",,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,256940.05,nres://marker/00063-00122,nres://marker/00063-00276,,,,,,,경기 광주시 퇴촌면,천진암로 724,,true,127.342119,37.452731,,,,,,,,,,,,,,,,,,,,1004390,,,,,,,
8,19,1473068938,광주 어린이대공원,,false,,0,"여행,명소",테마파크,222117,222121,1000209,1000210,,,,,광주광역시 북구 운암동 164,광주광역시 북구 하서로 50 광주어린이대공원,운암동 164,,<b>광주</b> 어린이대<b>공원</b>,,,,,,,25,6a31e012923ab7877eb0f64cb3894f81,0,,s,1,1,126.8847020,35.1809444,9,false,JkR1Fl5Zj9LO3ZQrj45j+g==,96.47,9.68,126.8818966,35.1809406,80,RRVJbsJ5evNI0N/NU4FHQg==,-96.80,-30.00,126.8891678,35.1814728,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,true,126.8819672,35.1809578,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,1152.33,nres://marker/00060-00005,nres://marker/00060-00159,,,,,,,광주 북구,하서로 50,,,,,,,,,,,광주어린이대공원,,,,,,,,,,,,,,,,,,,,
9,20,1569601545,투썸플레이스 광주운천호수공원점,062-382-2200,false,0507-1476-2201,1,"카페,디저트",카페,220036,220052,220576,221238,,,,,광주광역시 서구 치평동 241-15 1층,광주광역시 서구 마륵복개로 149 1층,치평동 241-15 1층,,투썸플레이스 <b>광주</b>운천호수<b>공원</b>점,062-382-2200,,,,,,13,9a5843608b647cb408170a7415c2b0dd,0,http://ldb.phinf.naver.net/20200615_107/1592153918687uqhW7_JPEG/Z-QwBKrxrZe_i-vH2VJSSRCl.jpg,s,1,1,126.8534141,35.1473325,12,false,FpVNYT0Cjx9IgZwwaD42Nw==,37.27,10.00,126.8532691,35.1471418,120,DRlQebnHKVlO2h3Ym37tlg==,107.31,-30.00,126.8519440,35.1477890,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,,,,,,,false,매일 09:00~23:00,"아메리카노 4,100",,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,3612.41,nres://marker/00063-00038,nres://marker/00063-00191,,,,,,,광주 서구,마륵복개로 149,,,,,,,,,,,1층,,,,,,,,,,,,,,,,,,,,
