index,rank,id,name,tel,isCallLink,virtualTel,ppc,category/0,category/1,categoryPath/0/0,categoryPath/0/1,categoryPath/0/2,categoryPath/0/3,address,roadAddress,abbrAddress,shortAddress,display,telDisplay,reviewCount,ktCallMd,coupon,thumUrl,type,isSite,posExact,x,y,itemLevel,isAdultBusiness,streetPanorama/id,streetPanorama/pan,streetPanorama/tilt,streetPanorama/lng,streetPanorama/lat,streetPanorama/fov,skyPanorama/id,skyPanorama/pan,skyPanorama/tilt,skyPanorama/lng,skyPanorama/lat,skyPanorama/fov,insidePanorama,interiorPanorama,indoorPanorama,theme,poiInfo/relation/poiShapeType,poiInfo/relation/shapeKey/typeName,poiInfo/relation/shapeKey/wsid,poiInfo/relation/shapeKey/shapeID,poiInfo/relation/boundary/minX,poiInfo/relation/boundary/minY,poiInfo/relation/boundary/maxX,poiInfo/relation/boundary/maxY,poiInfo/relation/detail/0/type,poiInfo/relation/detail/0/sid,poiInfo/relation/detail/0/fullName,poiInfo/relation/detail/0/name,poiInfo/relation/detail/0/category,poiInfo/relation/detail/0/xPos,poiInfo/relation/detail/0/yPos,poiInfo/relation/detail/1/type,poiInfo/relation/detail/1/sid,poiInfo/relation/detail/1/fullName,poiInfo/relation/detail/1/name,poiInfo/relation/detail/1/category,poiInfo/relation/detail/1/xPos,poiInfo/relation/detail/1/yPos,poiInfo/relation/detail/2/type,poiInfo/relation/detail/2/sid,poiInfo/relation/detail/2/fullName,poiInfo/relation/detail/2/name,poiInfo/relation/detail/2/category,poiInfo/relation/detail/2/xPos,poiInfo/relation/detail/2/yPos,poiInfo/relation/detail/3/type,poiInfo/relation/detail/3/sid,poiInfo/relation/detail/3/fullName,poiInfo/relation/detail/3/name,poiInfo/relation/detail/3/category,poiInfo/relation/detail/3/xPos,poiInfo/relation/detail/3/yPos,poiInfo/hasRelation,poiInfo/road/poiShapeType,poiInfo/road/shapeKey,poiInfo/road/boundary,poiInfo/road/detail,poiInfo/hasRoad,poiInfo/land,poiInfo/hasLand,poiInfo/polygon,poiInfo/hasPolygon,homePage,description,entranceCoords/car/0/rep,entranceCoords/car/0/x,entranceCoords/car/0/y,entranceCoords/walk/0/rep,entranceCoords/walk/0/x,entranceCoords/walk/0/y,entranceCoords/walk/1/rep,entranceCoords/walk/1/x,entranceCoords/walk/1/y,entranceCoords/walk/2/rep,entranceCoords/walk/2/x,entranceCoords/walk/2/y,isPollingPlace,bizhourInfo,menuInfo,petrolInfo,couponUrl,couponUrlMobile,hasCardBenefit,menuExist,hasNaverBooking,naverBookingUrl,naverEasyOrderUrl,hasNaverSmartOrder,reservationLabel/standard,reservationLabel/preOrder,reservationLabel/table,reservationLabel/takeout,reservation/benefit,hasBroadcastInfo,broadcastInfo,shopWindowInfo,hasNPay,carWash,parkingPrice,card,distance,marker,markerSelected,michelinGuide,indoor,markerLabel,subway,shortAddress/0,shortAddress/1,shortAddress/2,poiInfo/relation/detail/4/type,poiInfo/relation/detail/4/sid,poiInfo/relation/detail/4/fullName,poiInfo/relation/detail/4/name,poiInfo/relation/detail/4/category,poiInfo/relation/detail/4/xPos,poiInfo/relation/detail/4/yPos,poiInfo/relation/detail/5/type,poiInfo/relation/detail/5/sid,poiInfo/relation/detail/5/fullName,poiInfo/relation/detail/5/name,poiInfo/relation/detail/5/category,poiInfo/relation/detail/5/xPos,poiInfo/relation/detail/5/yPos,poiInfo/relation/detail/6/type,poiInfo/relation/detail/6/sid,poiInfo/relation/detail/6/fullName,poiInfo/relation/detail/6/name,poiInfo/relation/detail/6/category,poiInfo/relation/detail/6/xPos,poiInfo/relation/detail/6/yPos,entranceCoords/car/1/rep,entranceCoords/car/1/x,entranceCoords/car/1/y,entranceCoords/walk/3/rep,entranceCoords/walk/3/x,entranceCoords/walk/3/y,entranceCoords/walk/4/rep,entranceCoords/walk/4/x,entranceCoords/walk/4/y,entranceCoords/walk/5/rep,entranceCoords/walk/5/x,entranceCoords/walk/5/y,poiInfo/relation,entranceCoords,categoryPath/1/0,categoryPath/1/1,categoryPath/1/2,context/0,context/1,context/2,context/3,context/4,skyPanorama,categoryPath/1/3,streetPanorama,categoryPath/1/4,entranceCoords/walk,poiInfo/relation/detail,theme/isWingbus,theme/isWingspoon,theme/isHospital,theme/isMovie,theme/isSubway,theme/isStation,theme/isTerminal,theme/isAirport,theme/isLand,theme/isHotel,theme/themeId,theme/targetUrl,entranceCoords/car,subway/id,subway/lane
0,21,16017489,첨단생활체육공원,,false,,0,지역명소,"도시,테마공원",222117,222122,222170,231762,광주광역시 광산구 쌍암동,,,,첨단생활체육<b>공원</b>,,19,afe99af6bebc1670a7eef7198e6f1175,0,,s,1,1,126.8523154,35.2128221,12,false,r3jot1VbhMP/m3ewXysKdA==,87.99,3.13,126.8517347,35.2126848,53,6WAwDoPJ2kHcpZ4ziG7LsQ==,129.81,-30.00,126.8519440,35.2131310,124,,,,,1,RELA,1.0,16017489,117.9926027,19.6944771,117.9926027,19.6944771,1,32276393,첨단생활체육공원입구,입구,입구(사람+차량),126.8515745,35.2084988,5,21521719,첨단생활체육공원입구,입구,입구(사람),126.8518593,35.2126384,5,21527408,첨단생활체육공원입구,입구,입구(사람),126.8516019,35.2112710,5,21528688,첨단생활체육공원입구,입구,입구(사람),126.8515883,35.2089482,true,1,,,,false,,false,,false,,,true,126.8515745,35.2084988,true,126.8516019,35.211271,false,126.8518593,35.2126384,false,126.8515883,35.2089482,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,4679.94,nres://marker/00045-00079,nres://marker/00045-00203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,16269435,용산생활체육공원,,false,,0,지역명소,"도시,테마공원",222117,222122,222170,231762,광주광역시 동구 용산동 151,광주광역시 동구 화산로 318-26 용산체육공원,용산동 151,,용산생활체육<b>공원</b>,,51,a77a37c696906a3831e079ea8e8816f9,0,,s,1,1,126.9326432,35.1171272,12,false,DLV3fIZNGvEeWSUaIcuINw==,-159.78,3.64,126.9328028,35.1175962,80,RO1/3zUy5y5fJZ8eZhuWkg==,-179.73,-30.00,126.9326477,35.1178284,124,,,,,1,RELA,1.0,16269435,117.9926027,19.6944771,117.9926027,19.6944771,1,1777756994,용산생활체육공원입구,입구,입구(사람+차량),126.9314546,35.1174261,1,1755254215,용산생활체육공원입구,입구,입구(사람+차량),126.9314649,35.1174497,5,1988756615,용산생활체육공원입구,입구,입구(사람),126.9336019,35.1169415,5,1359247515,용산생활체육공원입구,입구,입구(사람),126.9330995,35.1175309,true,1,,,,false,,false,,false,,,true,126.9314546,35.1174261,true,126.9330806,35.1175532,false,126.9314649,35.1174497,false,126.9336019,35.1169415,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,8326.20,nres://marker/00060-00110,nres://marker/00060-00265,,,,,광주 동구,화산로 318-26,용산체육공원,5,1026370265,용산생활체육공원입구,입구,입구(사람),126.9316891,35.1174625,5,1598701361,용산생활체육공원입구,입구,입구(사람),126.9337438,35.1164430,5,1096470885,용산생활체육공원입구,입구,입구(사람),126.9330806,35.1175532,false,126.9314649,35.1174497,false,126.9330995,35.1175309,false,126.9316891,35.1174625,false,126.9337438,35.116443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,23,16015445,응암공원,,false,,0,"여행,명소",근린공원,222117,222122,222170,222195,광주광역시 광산구 월계동,,,,응암<b>공원</b>,,41,8f68d4d7ef41def1486f5f05ce77e0cc,0,,s,1,1,126.8326375,35.2172763,12,false,vtTq2gxQuxRKYZpjW/6nOg==,125.11,1.58,126.8322668,35.2184339,80,mBCvM8UNLqRdqCyfRvfbPQ==,-102.39,-30.00,126.8355560,35.2179146,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,,,,,,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,6061.70,nres://marker/00037-00079,nres://marker/00037-00203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,24,1235738827,촌닭이두마리 광주시민공원점,062-375-2751,false,,1,음식점,"치킨,닭강정",220036,220049,1000757,,광주광역시 서구 치평동  1168-11,광주광역시 서구 상무공원로 92 대주아파트,치평동  1168-11,,촌닭이두마리 <b>광주</b>시민<b>공원</b>점,062-375-2751,0,4dda1c3450c22d4597622931e5a0e754,0,,s,1,1,126.8431909,35.1525712,12,false,Dv1rreTiuqNAC8xsMzZ5/w==,96.88,10.00,126.8430400,35.1525893,120,K9+1aqtksACimIdUwwY5VA==,-83.28,-30.00,126.8438873,35.1524887,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,true,126.843303,35.152351,true,126.843112,35.152359,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,3773.93,nres://marker/00063-00044,nres://marker/00063-00197,,,,,광주 서구,상무공원로 92,대주아파트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222606,222607,1004452,,,,,,,,,,,,,,,,,,,,,,,,,,
4,25,31793865,무등산국립공원사무소,062-227-1187,false,,1,"여행,명소",국립공원,222117,222118,222136,222184,광주광역시 동구 운림동 438,광주광역시 동구 동산길7번길 5 무등산국립공원사무소,운림동 438,,무등산국립<b>공원</b>사무소,062-227-1187,39,3c9684a3db00aff34c0afdcdefeb30df,0,,s,1,1,126.9478272,35.1314250,8,false,YH007y4qq031aVGE0vEROA==,-13.43,2.90,126.9481988,35.1304896,80,5YtO2QvSr54+LDWYG45hog==,101.61,-30.00,126.9460602,35.1317863,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,http://mudeung.knps.or.kr/,,true,126.948129,35.1305406,true,126.948129,35.1305406,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,8242.91,nres://marker/00063-00110,nres://marker/00063-00264,,,,,광주 동구,동산길7번길 5,무등산국립공원사무소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,26,16021192,운남동근린공원,,false,,0,"여행,명소",근린공원,222117,222122,222170,222195,광주광역시 광산구 운남동,,,,운남동근린<b>공원</b>,,27,dd0d7d507b4852286624571ef7b852db,0,,s,1,1,126.8164305,35.1711030,12,false,ap8avxvjy3Z6bWvJUhBQwg==,-123.09,1.23,126.8169688,35.1716800,80,9nk+Z+b4C6SmzOT7jV4a5A==,-91.47,-30.00,126.8169479,35.1711159,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,,,,,,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,5294.78,nres://marker/00037-00079,nres://marker/00037-00203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,27,19609559,금남로공원,,false,,0,"여행,명소",근린공원,222117,222122,222170,222195,광주광역시 동구 금남로3가,,,,금남로<b>공원</b>,,42,eb1158b868039f66a9844dd252e7d254,0,,s,1,1,126.9155359,35.1496521,12,false,pVKHLLNmmUp3+P9PZT0M6A==,-138.58,0.96,126.9157540,35.1497641,80,U+xE3rU3ANabJI9uEgwEHA==,110.25,-30.00,126.9150009,35.1498489,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,,,,,,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,4673.67,nres://marker/00036-00079,nres://marker/00036-00203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,28,38488211,한새봉농업생태공원,,false,,0,"여행,명소","자연,생태공원",222117,222118,222136,222186,광주광역시 북구 일곡동,,,,한새봉농업생태<b>공원</b>,,19,57744b0757b71505806a735d396c0c1d,0,,s,1,1,126.8932921,35.2123941,12,false,lvZ0cfRvWGFLf6AVt/6a2A==,-0.76,6.48,126.8933605,35.2121786,80,nshBP+GEfS5fNzj+Ag/9BA==,-88.78,-30.00,126.8972244,35.2123070,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,,,,,,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,4514.93,nres://marker/00034-00078,nres://marker/00034-00198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,29,21529413,고싸움놀이테마공원,062-650-8382,false,,1,"여행,명소",테마공원,222117,222122,222170,222196,광주광역시 남구 칠석동 619-1,광주광역시 남구 고싸움로 2 고싸움,칠석동 619-1,,고싸움놀이테마<b>공원</b>,062-650-8382,41,2da0900099011d89dfd5ddae1b089786,0,http://blogfiles.naver.net/MjAxNzA1MTZfMTkx/MDAxNDk0OTI1NzY1NDUx.daItjhvP9iCEu2FwoMccScwx9SD_SMlbMpyhWnC4sKMg.-KMlIOwfmMhDMuCScWXBgxWw0eTP4nKsrh-5Ckf4zvkg.JPEG.sulhyang93/IMG_5582.JPG#5184x3456,s,1,1,126.8364811,35.0694609,12,false,PzK42YpsRKrUOodlFRXD0A==,92.52,-2.70,126.8353474,35.0693463,80,,,,,,,,,,,1,RELA,1.0,21529413,117.9926027,19.6944771,117.9926027,19.6944771,5,32016118,고싸움놀이테마공원입구,입구,입구(사람),126.8363948,35.0699373,1,1140535198,고싸움놀이테마공원주차장입구,주차장입구,입구(사람+차량),126.8383221,35.0691154,,,,,,,,,,,,,,,true,1,,,,false,,false,,false,,,true,126.8383221,35.0691154,true,126.8363948,35.0699373,,,,,,,false,,,,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,12228.66,nres://marker/00060-00110,nres://marker/00060-00265,,,,,광주 남구,고싸움로 2,고싸움,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,테마파크,공원,공연,평화로운,체험관,,,,,,,,,,,,,,,,,,,,,
9,30,16291431,푸른길공원,,false,,0,"여행,명소",근린공원,222117,222122,222170,222195,광주광역시 남구 주월동,,,,푸른길<b>공원</b>,,17,fecc67fa9c07ab9afc7effca8f9e2d5f,0,,s,1,1,126.8965699,35.1271203,12,false,kMVXiUzcrbyh77Eabf0BRA==,45.48,-2.73,126.8963365,35.1271411,80,XKOqjqyF6CUTW/VP+5yc3A==,-134.66,-30.00,126.8969421,35.1274872,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,,,,,,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,5681.50,nres://marker/00047-00084,nres://marker/00047-00213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
