index,rank,id,name,tel,isCallLink,virtualTel,ppc,category/0,category/1,categoryPath/0/0,categoryPath/0/1,categoryPath/0/2,address,roadAddress,abbrAddress,shortAddress,display,telDisplay,reviewCount,ktCallMd,coupon,thumUrl,type,isSite,posExact,x,y,itemLevel,isAdultBusiness,streetPanorama/id,streetPanorama/pan,streetPanorama/tilt,streetPanorama/lng,streetPanorama/lat,streetPanorama/fov,skyPanorama/id,skyPanorama/pan,skyPanorama/tilt,skyPanorama/lng,skyPanorama/lat,skyPanorama/fov,insidePanorama,interiorPanorama,indoorPanorama,theme,poiInfo/relation,poiInfo/hasRelation,poiInfo/road/poiShapeType,poiInfo/road/shapeKey,poiInfo/road/boundary,poiInfo/road/detail,poiInfo/hasRoad,poiInfo/land,poiInfo/hasLand,poiInfo/polygon,poiInfo/hasPolygon,homePage,description,entranceCoords,isPollingPlace,bizhourInfo,menuInfo,petrolInfo,couponUrl,couponUrlMobile,hasCardBenefit,menuExist,hasNaverBooking,naverBookingUrl,naverEasyOrderUrl,hasNaverSmartOrder,reservationLabel/standard,reservationLabel/preOrder,reservationLabel/table,reservationLabel/takeout,reservation/benefit,hasBroadcastInfo,broadcastInfo,shopWindowInfo,hasNPay,carWash,parkingPrice,card,distance,marker,markerSelected,michelinGuide,indoor,markerLabel,subway,categoryPath/0/3,shortAddress/0,shortAddress/1,entranceCoords/car/0/rep,entranceCoords/car/0/x,entranceCoords/car/0/y,entranceCoords/walk/0/rep,entranceCoords/walk/0/x,entranceCoords/walk/0/y,streetPanorama,skyPanorama,poiInfo/relation/poiShapeType,poiInfo/relation/shapeKey/typeName,poiInfo/relation/shapeKey/wsid,poiInfo/relation/shapeKey/shapeID,poiInfo/relation/boundary/minX,poiInfo/relation/boundary/minY,poiInfo/relation/boundary/maxX,poiInfo/relation/boundary/maxY,poiInfo/relation/detail/0/type,poiInfo/relation/detail/0/sid,poiInfo/relation/detail/0/fullName,poiInfo/relation/detail/0/name,poiInfo/relation/detail/0/category,poiInfo/relation/detail/0/xPos,poiInfo/relation/detail/0/yPos,poiInfo/relation/detail/1/type,poiInfo/relation/detail/1/sid,poiInfo/relation/detail/1/fullName,poiInfo/relation/detail/1/name,poiInfo/relation/detail/1/category,poiInfo/relation/detail/1/xPos,poiInfo/relation/detail/1/yPos,poiInfo/relation/detail/2/type,poiInfo/relation/detail/2/sid,poiInfo/relation/detail/2/fullName,poiInfo/relation/detail/2/name,poiInfo/relation/detail/2/category,poiInfo/relation/detail/2/xPos,poiInfo/relation/detail/2/yPos,entranceCoords/car/1/rep,entranceCoords/car/1/x,entranceCoords/car/1/y,entranceCoords/walk/1/rep,entranceCoords/walk/1/x,entranceCoords/walk/1/y,entranceCoords/car,shortAddress/2,categoryPath/0/4,entranceCoords/walk/2/rep,entranceCoords/walk/2/x,entranceCoords/walk/2/y,poiInfo/relation/detail/3/type,poiInfo/relation/detail/3/sid,poiInfo/relation/detail/3/fullName,poiInfo/relation/detail/3/name,poiInfo/relation/detail/3/category,poiInfo/relation/detail/3/xPos,poiInfo/relation/detail/3/yPos,entranceCoords/walk/3/rep,entranceCoords/walk/3/x,entranceCoords/walk/3/y
0,31,20118955,광주승마공원,,false,,0,"스포츠,오락",승마장,221986,221987,222020,광주광역시 서구 풍암동,,,,<b>광주</b>승마<b>공원</b>,,1,1b59e40d5467d174b77eb1c9db505ec8,0,,s,1,1,126.8818375,35.1341237,12,false,z75FsTBIfvm68MIDh2k8kQ==,-168.45,10.00,126.8818821,35.1343402,120,HsTeCRRoqkHSjIZmHnSW3Q==,86.68,-30.00,126.8798447,35.1340065,124,,,,,,false,1,,,,false,,false,,false,,<b>광주</b>광역시 서구 풍암동 소재의 승마장.,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,4583.19,nres://marker/00037-00105,nres://marker/00037-00229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,32,36837387,롯데ATM 세븐일레븐 광주산정공원로,1566-9493,false,,1,"금융,보험",현금인출기,222606,222607,229866,광주광역시 광산구 월곡동 509-8,광주광역시 광산구 산정공원로 60,월곡동 509-8,,롯데ATM 세븐일레븐 <b>광주</b>산정<b>공원</b>로,1566-9493,0,76f54022c4155612a6639ddeaab9b6aa,0,,s,1,1,126.8063623,35.1728812,12,false,YUdBViaCQIURLdo1h4YmBg==,108.41,10.00,126.8062511,35.1729181,120,1t2F55nmWtRqeG7rcdKvDw==,-94.57,-30.00,126.8066635,35.1729050,124,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,6198.00,nres://marker/00063-00011,nres://marker/00063-00164,,,,,229867,광주 광산구,산정공원로 60,true,126.80643,35.172831,true,126.80643,35.172831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,33,16310315,두암동체육공원,,false,,0,지역명소,"도시,테마공원",222117,222122,222170,광주광역시 북구 두암동,,,,두암동체육<b>공원</b>,,3,0eb5bf6d57e3e28c1ff3cbc36bc00077,0,,s,1,1,126.9402003,35.1698084,12,false,PK5ufXmf7QEM3aCcVWv0iA==,43.47,9.07,126.9399783,35.1695232,80,cniyvAlHfDxfmboW+xAZNg==,72.77,-30.00,126.9386139,35.1693153,124,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,6007.65,nres://marker/00045-00079,nres://marker/00045-00203,,,,,231762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,34,16021613,안청공원,,false,,0,"여행,명소",근린공원,222117,222122,222170,광주광역시 광산구 안청동,,,,안청<b>공원</b>,,2,6c24bc478ad2df737527f4e0665101e4,0,,s,1,1,126.8026695,35.2122198,12,false,,,,,,,,,,,,,,,,,,true,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,7739.98,nres://marker/00060-00110,nres://marker/00060-00265,,,,,222195,,,true,126.8041071,35.2132575,false,126.801575,35.2107596,,,1,RELA,1.0,16021613,117.9926027,19.6944771,117.9926027,19.6944771,1,21192928,안청공원입구,입구,입구(사람+차량),126.8041071,35.2132575,4,21192929,안청공원입구,입구,입구(사람+차량),126.8043342,35.2107392,5,16022117,안청공원입구,입구,입구(사람),126.8015750,35.2107596,false,126.8043342,35.2107392,,,,,,,,,,,,,,,,,,,
4,35,19615293,신암근린공원,,false,,0,"여행,명소",근린공원,222117,222122,222170,광주광역시 서구 풍암동,,,,신암근린<b>공원</b>,,17,94e542774390c155564351155de1c703,0,,s,1,1,126.8796500,35.1249750,12,false,CZHqu4CMlhHXwTS2i25WyQ==,169.45,-2.26,126.8795200,35.1252204,80,JxUPsFtl6Zt/UMxHQPz9+g==,-98.91,-30.00,126.8801041,35.1250458,124,,,,,,true,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,5571.93,nres://marker/00036-00079,nres://marker/00036-00203,,,,,222195,,,true,126.8806449,35.1249111,true,126.8794687,35.1251224,,,1,RELA,1.0,19615293,117.9926027,19.6944771,117.9926027,19.6944771,5,1032570056,신암근린공원입구,입구,입구(사람),126.8794687,35.1251224,1,19656872,신암근린공원주차장입구,주차장입구,입구(사람+차량),126.8806449,35.1249111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,36,21732562,용봉초록습지,,false,,0,"여행,명소",근린공원,222117,222122,222170,광주광역시 북구 용봉동,,,,용봉초록습지,,15,9f82e5ffc1b45c54c01ec4a0fdb0f051,0,,s,1,1,126.8897518,35.1838871,12,false,,,,,,,OEEGYNIyI2ZI02HbfrktLw==,123.22,-50.64,126.8891677,35.1839699,80,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,1716.44,nres://marker/00036-00079,nres://marker/00036-00203,,,,,222195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,37,19621969,풍암호수공원호수장미원,,false,,0,"도시,테마공원",부속시설,222117,222122,222170,광주광역시 서구 풍암동,,,,풍암호수<b>공원</b>호수장미원,,121,4968fdbbb22fb07f71dc3c80a24075fa,0,,s,1,1,126.8739233,35.1263270,12,false,R3m4VcRWJjjPArZZg7APSA==,4.30,11.28,126.8740410,35.1260516,80,Axb3U5R/z++dm6txx1+hQQ==,84.74,-55.60,126.8713912,35.1262535,80,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,5401.56,nres://marker/00058-00060,nres://marker/00058-00215,,,,,1000101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,38,16305027,중외공원문화산책로,,false,,0,자연공원,부속시설,222117,222118,222136,광주광역시 북구 운암동,,,,중외<b>공원</b>문화산책로,,11,90a76802754776f0f62c4887a65e21e0,0,,s,1,1,126.8827879,35.1813511,12,false,f1iWKplQKkprNB2MU8PogA==,-50.98,10.00,126.8828043,35.1813378,120,TLR88rOQTPPPQPDj/Rf64Q==,92.51,-30.00,126.8788910,35.1815186,124,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,1047.29,nres://marker/00058-00110,nres://marker/00058-00265,,,,,229253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,39,16018353,생태휴양공원,,false,,0,"여행,명소",근린공원,222117,222122,222170,광주광역시 광산구 신창동 1262,광주광역시 광산구 신창로105번길 23-17,신창동 1262,,생태휴양<b>공원</b>,,4,ec0f9483803cc784ce361885db8cb71c,0,,s,1,1,126.8351898,35.1932703,12,false,,,,,,,LkU0Zxk4Xmd1iX7iU0MQNQ==,-176.13,-48.25,126.8355559,35.1953415,80,,,,,,true,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,4117.18,nres://marker/00060-00110,nres://marker/00060-00265,,,,,222195,광주 광산구,신창로105번길 23-17,true,126.8373596,35.1935908,true,126.8373596,35.1935908,,,1,RELA,1.0,16018353,117.9926027,19.6944771,117.9926027,19.6944771,5,16018463,생태휴양공원입구,입구,입구(사람),126.8373596,35.1935908,5,1028029705,생태휴양공원입구,입구,입구(사람),126.8361627,35.1942858,,,,,,,,,,,false,126.8361627,35.1942858,,,,,,,,,,,,,,,,
9,40,16014974,은빛공원,,false,,0,"여행,명소",근린공원,222117,222122,222170,광주광역시 광산구 수완동,,,,은빛<b>공원</b>,,6,7d5d64923f09f265d36441900ee520d6,0,,s,1,1,126.8262657,35.1880666,12,false,gHdE1qF4sKuV42yWkM3UEw==,134.63,0.84,126.8260112,35.1882669,80,42BE0dB6DuJU3EeIkvv5RA==,78.59,-30.00,126.8244476,35.1876984,124,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,4622.91,nres://marker/00060-00110,nres://marker/00060-00265,,,,,222195,,,true,126.8257848,35.1881934,true,126.8260779,35.1881889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
