index,rank,id,name,tel,isCallLink,virtualTel,ppc,category/0,category/1,categoryPath/0/0,categoryPath/0/1,categoryPath/0/2,categoryPath/0/3,address,roadAddress,abbrAddress,shortAddress,display,telDisplay,reviewCount,ktCallMd,coupon,thumUrl,type,isSite,posExact,x,y,itemLevel,isAdultBusiness,streetPanorama/id,streetPanorama/pan,streetPanorama/tilt,streetPanorama/lng,streetPanorama/lat,streetPanorama/fov,skyPanorama,insidePanorama,interiorPanorama,indoorPanorama,theme,poiInfo/relation,poiInfo/hasRelation,poiInfo/road/poiShapeType,poiInfo/road/shapeKey,poiInfo/road/boundary,poiInfo/road/detail,poiInfo/hasRoad,poiInfo/land,poiInfo/hasLand,poiInfo/polygon,poiInfo/hasPolygon,homePage,description,entranceCoords/car/0/rep,entranceCoords/car/0/x,entranceCoords/car/0/y,entranceCoords/walk/0/rep,entranceCoords/walk/0/x,entranceCoords/walk/0/y,isPollingPlace,bizhourInfo,menuInfo,petrolInfo,couponUrl,couponUrlMobile,hasCardBenefit,menuExist,hasNaverBooking,naverBookingUrl,naverEasyOrderUrl,hasNaverSmartOrder,reservationLabel/standard,reservationLabel/preOrder,reservationLabel/table,reservationLabel/takeout,reservation/benefit,hasBroadcastInfo,broadcastInfo,shopWindowInfo,hasNPay,carWash,parkingPrice,card,distance,marker,markerSelected,michelinGuide,indoor,markerLabel,subway,entranceCoords,skyPanorama/id,skyPanorama/pan,skyPanorama/tilt,skyPanorama/lng,skyPanorama/lat,skyPanorama/fov,shortAddress/0,shortAddress/1,poiInfo/relation/poiShapeType,poiInfo/relation/shapeKey/typeName,poiInfo/relation/shapeKey/wsid,poiInfo/relation/shapeKey/shapeID,poiInfo/relation/boundary/minX,poiInfo/relation/boundary/minY,poiInfo/relation/boundary/maxX,poiInfo/relation/boundary/maxY,poiInfo/relation/detail,streetPanorama,entranceCoords/walk,poiInfo/relation/detail/0/type,poiInfo/relation/detail/0/sid,poiInfo/relation/detail/0/fullName,poiInfo/relation/detail/0/name,poiInfo/relation/detail/0/category,poiInfo/relation/detail/0/xPos,poiInfo/relation/detail/0/yPos,poiInfo/relation/detail/1/type,poiInfo/relation/detail/1/sid,poiInfo/relation/detail/1/fullName,poiInfo/relation/detail/1/name,poiInfo/relation/detail/1/category,poiInfo/relation/detail/1/xPos,poiInfo/relation/detail/1/yPos,entranceCoords/walk/1/rep,entranceCoords/walk/1/x,entranceCoords/walk/1/y
0,41,16313399,무등산국립공원관리사무소,,false,,0,자연공원,부속시설,222117,222118,222136,229253,광주광역시 북구 금곡동,,,,무등산국립<b>공원</b>관리사무소,,9,0d9e73d44e8092fc3d4e4100781e94b1,0,,s,1,1,126.9890299,35.1440851,12,false,HbXfry80SPjZuJ/EAW5sow==,-144.43,10.00,126.9891204,35.1442113,120,,,,,,,false,1,,,,false,,false,,false,,,true,126.989133,35.144143,true,126.989133,35.144143,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,10973.25,nres://marker/00060-00110,nres://marker/00060-00265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,42,21693864,팔당물안개공원족구장,,false,,0,"도시,테마공원",부속시설,222117,222122,222170,1000101,경기도 광주시 남종면 귀여리,,,,팔당물안개<b>공원</b>족구장,,0,0dd0991bb883fc2e423fb94750a4b84a,0,,s,1,1,127.3165966,37.5098145,12,false,AytxL7J2XNcS7DtwjRdoFQ==,-21.84,10.00,127.3167845,37.5093457,120,,,,,,,false,1,,,,false,,false,,false,,,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,262863.44,nres://marker/00058-00060,nres://marker/00058-00215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,43,33331505,은빛공원인라인스케이트장,,false,,0,"도시,테마공원",부속시설,222117,222122,222170,1000101,광주광역시 광산구 수완동,,,,은빛<b>공원</b>인라인스케이트장,,1,e5706c780341f824a1e7294a5288106b,0,,s,1,1,126.8264829,35.1879210,12,false,OpTVe5EH6rn5v4Sug7KM4w==,-179.84,10.00,126.8264845,35.1882597,120,,,,,,,false,1,,,,false,,false,,false,,,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,4599.04,nres://marker/00058-00060,nres://marker/00058-00215,,,,,,42BE0dB6DuJU3EeIkvv5RA==,83.80,-30.00,126.8244476,35.1876984,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,44,16314168,일곡제2근린공원,,false,,0,"여행,명소",근린공원,222117,222122,222170,222195,광주광역시 북구 일곡동,,,,일곡제2근린<b>공원</b>,,1,8658a691e05410c46594999081b15be5,0,,s,1,1,126.8983875,35.2062596,12,false,9vnasewozpzVor1A0Xx3ag==,45.38,1.58,126.8976622,35.2056378,80,,,,,,,false,1,,,,false,,false,,false,,,true,126.8977521,35.20586,true,126.8977521,35.20586,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,4117.08,nres://marker/00037-00079,nres://marker/00037-00203,,,,,,b6VMzh6czPDmAXjRcvf12w==,63.58,-30.00,126.8972244,35.2056808,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,45,782630949,곤지암생활체육공원,,false,,0,지역명소,"도시,테마공원",222117,222122,222170,231762,경기도 광주시 곤지암읍 삼리 612-14,경기도 광주시 곤지암읍 평촌길 12-137,삼리 612-14,,곤지암생활체육<b>공원</b>,,10,c7d941f5ee5215b29058f63527189bac,0,,s,1,1,127.3211989,37.3604977,12,false,9k4AWzXvhWktALf8pBR46g==,-126.29,-2.23,127.3215679,37.3609092,80,,,,,,,true,1,,,,false,,false,,false,,,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,246521.54,nres://marker/00060-00110,nres://marker/00060-00265,,,,,,,,,,,,경기 광주시 곤지암읍,평촌길 12-137,1,RELA,1.0,782630949,117.9926027,19.6944771,117.9926027,19.6944771,,,,,,,,,,,,,,,,,,,,
5,46,36251429,사직공원공중화장실,,false,,0,화장실,,227616,227656,227657,227659,광주광역시 남구 사동 177,광주광역시 남구 사직길 49,사동 177,,사직<b>공원</b>공중화장실,,0,aa230658c705da60d7b000db6be801e6,0,,s,1,1,126.9116139,35.1422582,12,false,uUnXhi2UhsCR3/+/ljjzTg==,7.77,10.00,126.9116022,35.1421725,120,,,,,,,false,1,,,,false,,false,,false,,,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,4959.64,nres://marker/00063-00106,nres://marker/00063-00260,,,,,,x4Vhs5151+QR3MTjcWzqHg==,-106.03,-30.00,126.9148102,35.1431732,124,광주 남구,사직길 49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,47,266139933,대상공원,,false,,0,"여행,명소",근린공원,222117,222122,222170,222195,광주광역시 광산구 쌍암동,,,,대상<b>공원</b>,,4,51e32d73c2adc10f12c1e5aff514aada,0,,s,1,1,126.8473920,35.2198886,11,false,WuAM4j10csCZNMnLilfy5A==,9.01,3.52,126.8472287,35.2178470,80,,,,,,,false,1,,,,false,,false,,false,,,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,5582.85,nres://marker/00036-00079,nres://marker/00036-00203,,,,,,dT1ar/xDOsE8x6hiTp2O/A==,92.84,-30.00,126.8426590,35.2201195,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,48,16020336,아름공원,,false,,0,"여행,명소",근린공원,222117,222122,222170,222195,광주광역시 광산구 신가동,,,,아름<b>공원</b>,,3,12c67c902ee4fa5445bb190c6963bc54,0,,s,1,1,126.8263500,35.1848429,12,false,hh/y4I47nZKksMDRVDNdnA==,-105.05,-4.58,126.8264611,35.1849034,80,,,,,,,false,1,,,,false,,false,,false,,,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,4514.31,nres://marker/00037-00079,nres://marker/00037-00203,,,,,,AJG3mvflWqmLfCt6QlD7mQ==,71.99,-30.00,126.8244476,35.1842232,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,49,19617701,효행어린이공원,,false,,0,"여행,명소",근린공원,222117,222122,222170,222195,광주광역시 서구 화정동,,,,효행어린이<b>공원</b>,,1,5437c59b93ecbbdaac5c17e68467b3fb,0,,s,1,1,126.8724639,35.1443000,12,false,Mfj/JjP8TMpMyAeaseAlxg==,101.98,-4.08,126.8722404,35.1443371,80,,,,,,,false,1,,,,false,,false,,false,,,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,3405.92,nres://marker/00036-00079,nres://marker/00036-00203,,,,,,+xV+Az6O0ajqWoiX1S6gNw==,113.04,-30.00,126.8711090,35.1448746,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,50,1236288664,용산생활체육공원축구장,,false,,0,자연공원,부속시설,222117,222118,222136,229253,광주광역시 동구 용산동,,,,용산생활체육<b>공원</b>축구장,,0,e5f068b104b3f2866d4433de7f40e591,0,,s,1,1,126.9331824,35.1168161,12,false,fjzNKfkSc5M+B+9yxbHOKA==,-111.09,10.00,126.9336398,35.1169920,120,,,,,,,false,1,,,,false,,false,,false,,,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,8384.15,nres://marker/00060-00110,nres://marker/00060-00265,,,,,,RO1/3zUy5y5fJZ8eZhuWkg==,152.23,-30.00,126.9326477,35.1178284,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
