index,rank,id,name,tel,isCallLink,virtualTel,ppc,category/0,category/1,categoryPath/0/0,categoryPath/0/1,categoryPath/0/2,categoryPath/0/3,address,roadAddress,abbrAddress,shortAddress,display,telDisplay,reviewCount,ktCallMd,coupon,thumUrl,type,isSite,posExact,x,y,itemLevel,isAdultBusiness,streetPanorama/id,streetPanorama/pan,streetPanorama/tilt,streetPanorama/lng,streetPanorama/lat,streetPanorama/fov,skyPanorama,insidePanorama,interiorPanorama,indoorPanorama,theme,poiInfo/relation,poiInfo/hasRelation,poiInfo/road/poiShapeType,poiInfo/road/shapeKey,poiInfo/road/boundary,poiInfo/road/detail,poiInfo/hasRoad,poiInfo/land,poiInfo/hasLand,poiInfo/polygon,poiInfo/hasPolygon,homePage,description,entranceCoords,isPollingPlace,bizhourInfo,menuInfo,petrolInfo,couponUrl,couponUrlMobile,hasCardBenefit,menuExist,hasNaverBooking,naverBookingUrl,naverEasyOrderUrl,hasNaverSmartOrder,reservationLabel/standard,reservationLabel/preOrder,reservationLabel/table,reservationLabel/takeout,reservation/benefit,hasBroadcastInfo,broadcastInfo,shopWindowInfo,hasNPay,carWash,parkingPrice,card,distance,marker,markerSelected,michelinGuide,indoor,markerLabel,subway,skyPanorama/id,skyPanorama/pan,skyPanorama/tilt,skyPanorama/lng,skyPanorama/lat,skyPanorama/fov,streetPanorama,entranceCoords/car/0/rep,entranceCoords/car/0/x,entranceCoords/car/0/y,entranceCoords/walk/0/rep,entranceCoords/walk/0/x,entranceCoords/walk/0/y,poiInfo/relation/poiShapeType,poiInfo/relation/shapeKey/typeName,poiInfo/relation/shapeKey/wsid,poiInfo/relation/shapeKey/shapeID,poiInfo/relation/boundary/minX,poiInfo/relation/boundary/minY,poiInfo/relation/boundary/maxX,poiInfo/relation/boundary/maxY,poiInfo/relation/detail/0/type,poiInfo/relation/detail/0/sid,poiInfo/relation/detail/0/fullName,poiInfo/relation/detail/0/name,poiInfo/relation/detail/0/category,poiInfo/relation/detail/0/xPos,poiInfo/relation/detail/0/yPos,poiInfo/relation/detail/1/type,poiInfo/relation/detail/1/sid,poiInfo/relation/detail/1/fullName,poiInfo/relation/detail/1/name,poiInfo/relation/detail/1/category,poiInfo/relation/detail/1/xPos,poiInfo/relation/detail/1/yPos,poiInfo/relation/detail/2/type,poiInfo/relation/detail/2/sid,poiInfo/relation/detail/2/fullName,poiInfo/relation/detail/2/name,poiInfo/relation/detail/2/category,poiInfo/relation/detail/2/xPos,poiInfo/relation/detail/2/yPos,entranceCoords/walk/1/rep,entranceCoords/walk/1/x,entranceCoords/walk/1/y,shortAddress/0,shortAddress/1,shortAddress/2
0,51,1349234551,중대물빛공원분수광장,,false,,0,"도시,테마공원",부속시설,222117,222122,222170,1000101,경기도 광주시 중대동,,,,중대물빛<b>공원</b>분수광장,,15,b4e9b9a368fea80ccafcfb1fc45cd6b5,0,,s,1,1,127.2188808,37.4025369,12,false,QMur6efJicps8q8aD1+7WQ==,-136.56,10.00,127.2190436,37.4027084,120,,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,249837.38,nres://marker/00058-00060,nres://marker/00058-00215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,52,38323235,광주영락공원묘지주차장,,false,,0,교통시설,주차장,227616,227675,227677,227684,광주광역시 북구 효령동,,,,<b>광주</b>영락<b>공원</b>묘지주차장,,0,82bd7ee991144d663d062bb17dac1087,0,,s,1,1,126.9159964,35.2306858,12,false,nNltlLm34yx1MpgEzxAN6Q==,-13.42,10.00,126.9160375,35.2305134,120,,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,7271.35,nres://marker/00063-00111,nres://marker/00063-00265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,53,720452657,광주영락공원묘지매장묘지,,false,,0,장례,묘지,223267,223280,223376,229174,광주광역시 북구 효령동,,,,<b>광주</b>영락<b>공원</b>묘지매장묘지,,0,3bcf7d16c052e5623051131827f585f3,0,,s,1,1,126.9221030,35.2258536,12,false,O0XnKLMlVi965VBemBZHeA==,139.75,10.00,126.9219455,35.2260392,120,,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,7140.38,nres://marker/00034-00042,nres://marker/00034-00162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,54,33331504,은빛공원배드민턴장,,false,,0,"도시,테마공원",부속시설,222117,222122,222170,1000101,광주광역시 광산구 수완동,,,,은빛<b>공원</b>배드민턴장,,0,c258deb6b3bca6985daf7bd6551cb4e0,0,,s,1,1,126.8269263,35.1879902,12,false,eA3yxxyN6hSZotEI/BGN6A==,-173.26,10.00,126.8269578,35.1882524,120,,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,4563.25,nres://marker/00060-00060,nres://marker/00060-00215,,,,,42BE0dB6DuJU3EeIkvv5RA==,83.33,-30.00,126.8244476,35.1876984,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,55,359416846,빛고을농촌테마공원화훼유리온실,,false,,0,"도시,테마공원",부속시설,222117,222122,222170,1000101,광주광역시 남구 양과동,,,,빛고을농촌테마<b>공원</b>화훼유리온실,,0,3f997acbd36478f78b00475de357dd45,0,,s,1,1,126.8678701,35.0842474,12,false,XSXwXVK7g+zUIcGuCt48QA==,178.35,10.00,126.8678628,35.0844870,120,,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,10102.20,nres://marker/00058-00060,nres://marker/00058-00215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,56,16301617,근린공원,,false,,0,"여행,명소",근린공원,222117,222122,222170,222195,광주광역시 북구 신안동,,,,근린<b>공원</b>,,0,5fa3a8b34b90ae639b70ca07e59e82dc,0,,s,1,1,126.8929136,35.1732012,12,false,/afMUu2tkh8hG2pZ4Em1cQ==,-0.21,10.00,126.8929167,35.1723388,120,,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,1689.61,nres://marker/00037-00079,nres://marker/00037-00203,,,,,5NVCYGsXAtPz2mPVxN68Tg==,84.42,-30.00,126.8894424,35.1728592,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,57,546367870,빛고을농촌테마공원휴게쉼터,,false,,0,"도시,테마공원",부속시설,222117,222122,222170,1000101,광주광역시 남구 양과동,,,,빛고을농촌테마<b>공원</b>휴게쉼터,,0,e2d34cee32ac7fed0a01fb4384ee6d4b,0,,s,1,1,126.8668531,35.0844021,12,false,RlW8TPMilu8a1oS53Ipswg==,170.88,10.00,126.8667520,35.0850264,120,,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,10090.94,nres://marker/00058-00060,nres://marker/00058-00215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,58,16316542,광주패밀리랜드수영장어린이풀,,false,,0,테마파크,부속건물,222117,222121,1000209,229274,광주광역시 북구 생용동,,,,<b>광주</b>패밀리랜드수영장어린이풀,,0,72f6b68c101f95901f1fa59aa82020e3,0,,s,1,1,126.8906872,35.2252724,12,false,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,5801.40,nres://marker/00045-00075,nres://marker/00045-00199,,,,,DCzM1obrxl2bum5IyjG3tw==,-19.96,-30.00,126.8911896,35.2238884,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,59,16316566,광주패밀리랜드스타워즈,,false,,0,테마파크,부속건물,222117,222121,1000209,229274,광주광역시 북구 생용동,,,,<b>광주</b>패밀리랜드스타워즈,,0,27c5768a1baa0f478b364b82f17efd96,0,,s,1,1,126.8933252,35.2230618,12,false,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,5632.26,nres://marker/00045-00075,nres://marker/00045-00199,,,,,99UchmRC56y5bs9cBnca+Q==,-80.43,-30.00,126.8937378,35.2229919,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,60,16316596,광주패밀리랜드씽씽보트,,false,,0,테마파크,부속건물,222117,222121,1000209,229274,광주광역시 북구 생용동,,,,<b>광주</b>패밀리랜드씽씽보트,,2,2b92ffc189a2169e1bcc7697ed720521,0,,s,1,1,126.8926576,35.2238405,12,false,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,5696.92,nres://marker/00045-00075,nres://marker/00045-00199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
