index,rank,id,name,tel,isCallLink,virtualTel,ppc,category/0,category/1,categoryPath/0/0,categoryPath/0/1,categoryPath/0/2,address,roadAddress,abbrAddress,shortAddress/0,shortAddress/1,display,telDisplay,reviewCount,ktCallMd,coupon,thumUrl,type,isSite,posExact,x,y,itemLevel,isAdultBusiness,streetPanorama/id,streetPanorama/pan,streetPanorama/tilt,streetPanorama/lng,streetPanorama/lat,streetPanorama/fov,skyPanorama/id,skyPanorama/pan,skyPanorama/tilt,skyPanorama/lng,skyPanorama/lat,skyPanorama/fov,insidePanorama,interiorPanorama,indoorPanorama,theme,poiInfo/relation,poiInfo/hasRelation,poiInfo/road/poiShapeType,poiInfo/road/shapeKey,poiInfo/road/boundary,poiInfo/road/detail,poiInfo/hasRoad,poiInfo/land,poiInfo/hasLand,poiInfo/polygon,poiInfo/hasPolygon,homePage,description,entranceCoords/car/0/rep,entranceCoords/car/0/x,entranceCoords/car/0/y,entranceCoords/walk/0/rep,entranceCoords/walk/0/x,entranceCoords/walk/0/y,isPollingPlace,bizhourInfo,menuInfo,petrolInfo,couponUrl,couponUrlMobile,hasCardBenefit,menuExist,hasNaverBooking,naverBookingUrl,naverEasyOrderUrl,hasNaverSmartOrder,reservationLabel/standard,reservationLabel/preOrder,reservationLabel/table,reservationLabel/takeout,reservation/benefit,hasBroadcastInfo,broadcastInfo,shopWindowInfo,hasNPay,carWash,parkingPrice,card,distance,marker,markerSelected,michelinGuide,indoor,markerLabel,subway,entranceCoords/walk,poiInfo/relation/poiShapeType,poiInfo/relation/shapeKey/typeName,poiInfo/relation/shapeKey/wsid,poiInfo/relation/shapeKey/shapeID,poiInfo/relation/boundary/minX,poiInfo/relation/boundary/minY,poiInfo/relation/boundary/maxX,poiInfo/relation/boundary/maxY,poiInfo/relation/detail/0/type,poiInfo/relation/detail/0/sid,poiInfo/relation/detail/0/fullName,poiInfo/relation/detail/0/name,poiInfo/relation/detail/0/category,poiInfo/relation/detail/0/xPos,poiInfo/relation/detail/0/yPos,poiInfo/relation/detail/1/type,poiInfo/relation/detail/1/sid,poiInfo/relation/detail/1/fullName,poiInfo/relation/detail/1/name,poiInfo/relation/detail/1/category,poiInfo/relation/detail/1/xPos,poiInfo/relation/detail/1/yPos,entranceCoords/walk/1/rep,entranceCoords/walk/1/x,entranceCoords/walk/1/y,categoryPath/1/0,categoryPath/1/1,categoryPath/1/2,shortAddress,skyPanorama,entranceCoords,categoryPath/1/3,markerLabel/text,markerLabel/style,markerLabel/meta/type,markerLabel/meta/raw/minPrice,categoryPath/0/3,shortAddress/2,entranceCoords/car/1/rep,entranceCoords/car/1/x,entranceCoords/car/1/y,context/0,context/1,context/2,context/3,context/4,microReview/0,microReview/1,microReview/2,microReview/3,microReview/4,poiInfo/relation/detail,streetPanorama
0,11,37547195,더자라무인텔,062-531-6900,false,0507-1404-6900,1,숙박,호텔,221941,221942,222293,광주광역시 광산구 쌍암동 688-8,광주광역시 광산구 임방울대로825번길 60-27,쌍암동 688-8,광주 광산구,임방울대로825번길 60-27,더자라무인텔,062-531-6900,1,b7928b66074e7aa234864fdf09fa7a65,0,http://ldb.phinf.naver.net/20200812_50/15972131730502j1hv_JPEG/5ea153b1e56b66.48423297.jpg,s,1,1,126.8517252,35.2209402,12,false,huhUA21KdF6MZB5Rvz33Ng==,-14.05,4.50,126.8518340,35.2206177,90,oW2B3DDLKcg5BtVL4lFWGw==,-127.00,-30.00,126.8525009,35.2215233,124,,,,,,false,1,,,,false,,false,,false,http://blog.naver.com/jungmu5,,true,126.851815,35.22072,true,126.851815,35.22072,false,,"숙박 일반실 40,000",,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,5529.07,nres://marker/00063-00088,nres://marker/00063-00242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,31514588,싼타모호텔,062-956-5000,false,,1,숙박,호텔,221941,221942,222293,광주광역시 광산구 우산동 1585-2,광주광역시 광산구 사암로216번길 10-11,우산동 1585-2,광주 광산구,사암로216번길 10-11,싼타모<b>호텔</b>,062-956-5000,3,3190981729555fdab446aeaa00785da9,0,http://ldb.phinf.naver.net/20191114_112/1573664536316B2hKy_JPEG/MNPvkNDxJi7gYWjA6-UNBjDb.jpeg.jpg,s,1,1,126.8094863,35.1626128,12,false,GP+B6AX8D+/cmywu9Gln8Q==,55.00,8.38,126.8094142,35.1624572,70,Z2VGbFszr1TTtZix9MQyvA==,101.51,-30.00,126.8066635,35.1631851,124,,,,,,false,1,,,,false,,false,,false,http://www.hotelsantamo.co.kr/,,true,126.8094869,35.1624922,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,6065.41,nres://marker/00063-00088,nres://marker/00063-00242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,13,13524242,엠지엠관광호텔,062-944-8598,false,,1,숙박,호텔,221941,221942,1003441,광주광역시 광산구 우산동 1607-5,광주광역시 광산구 무진대로212번길 13-33,우산동 1607-5,광주 광산구,무진대로212번길 13-33,엠지엠관광<b>호텔</b>,062-944-8598,2,b9a78850bfef5f7e998b0a3179577256,0,,s,1,1,126.8055534,35.1611255,12,false,aRJ2IzKFtpZogqshXGN9MQ==,-3.24,10.00,126.8055662,35.1608999,120,WNyPvcclsKxQ/Tx0eD+1uQ==,-85.11,-30.00,126.8066635,35.1610298,124,,,,,,true,1,,,,false,,false,,false,,,true,126.8053277,35.1609896,true,126.8053277,35.1609896,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,6451.82,nres://marker/00063-00088,nres://marker/00063-00242,,,,,,1,RELA,1.0,13524242,117.9926027,19.6944771,117.9926027,19.6944771,1,30863693,엠지엠관광호텔입구,입구,입구(사람+차량),126.8053277,35.1609896,5,894368673,엠지엠관광호텔입구,입구,입구(사람),126.8057618,35.1611784,false,126.8057618,35.1611784,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14,1982471306,광주관광호텔,062-261-7777,false,,1,숙박,호텔,221941,221942,1003442,광주광역시 북구 오치동 856-20,,,,,<b>광주</b>관광<b>호텔</b>,062-261-7777,7,8025cddb39d1203b8d455d79ce2b60d9,0,http://ldb.phinf.naver.net/20190429_260/1556537344029sg4jm_JPEG/u4JHBE8sTMJ0e3Ejm6FKoJZR.jpg,s,1,1,126.9013531,35.1923721,12,false,epgJLsQGVhnUHoJ08k39Pg==,86.81,10.00,126.9009216,35.1923478,120,,,,,,,,,,,,false,1,,,,false,,false,,false,http://gwangjuhotel.co.kr,,,,,,,,false,매일 00:00~24:00,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,3128.19,nres://marker/00063-00088,nres://marker/00063-00242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222606,222607,1004452,,,,,,,,,,,,,,,,,,,,,,,,,
4,15,15975980,증심각호텔,062-222-3406,false,,1,숙박,호텔,221941,221942,222293,광주광역시 동구 소태동 763-2,광주광역시 동구 의재로96번길 7,소태동 763-2,광주 동구,의재로96번길 7,증심각<b>호텔</b>,062-222-3406,3,de4e31d90602c0fd3e4ab32b8f17f44e,0,http://ldb.phinf.naver.net/20200429_244/1588093119530JNmF8_JPEG/f5QiCKIi1TMxDAnWKiY9EQBX.jpeg.jpg,s,1,1,126.9385117,35.1316034,12,false,wOqNnpx3T4pNPZW+nlpQPQ==,55.40,10.00,126.9383786,35.1315115,120,WBWeu2uV+2mZru8UAO20oQ==,157.37,-30.00,126.9371643,35.1348228,124,,,,,,false,1,,,,false,,false,,false,http://0622223406.tshome.co.kr/,,true,126.938617,35.13149,true,126.938333,35.131588,false,매일 00:00~24:00,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,7559.99,nres://marker/00063-00088,nres://marker/00063-00242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222606,222607,1004452,,,,,,,,,,,,,,,,,,,,,,,,,
5,16,37663299,세종호텔,062-528-0071,false,,1,숙박,호텔,221941,221942,222293,광주광역시 북구 중흥동 705-9,광주광역시 북구 경양로165번길 30,중흥동 705-9,광주 북구,경양로165번길 30,세종<b>호텔</b>,062-528-0071,58,bfb2fff46ea7d27af981ce7f86abda7b,0,http://ldb.phinf.naver.net/20200813_87/1597310796354OCH9d_JPEG/5ee821646ff4d3.96696391.jpg,s,1,1,126.9093421,35.1618649,12,false,cg6QBNRMNLcK/jyZXD3+5A==,82.28,3.69,126.9092174,35.1617980,90,5GyE0aLeJa2Z3Ivr+LrRvQ==,97.63,-30.00,126.9065018,35.1622429,124,,,,,,false,1,,,,false,,false,,false,https://gwangjusejonghotel.modoo.at,,true,126.909262,35.161802,true,126.909262,35.161802,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,3488.18,nres://marker/00063-00088,nres://marker/00063-00242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,17,15949119,호텔바나나,062-973-0774,false,0507-1406-0774,1,숙박,호텔,221941,221942,222293,광주광역시 광산구 쌍암동 685-8,광주광역시 광산구 임방울대로825번길 22-13,쌍암동 685-8,광주 광산구,임방울대로825번길 22-13,<b>호텔</b>바나나,062-973-0774,13,66d58af7385576ea43feaa05d2371495,0,http://ldb.phinf.naver.net/20200813_192/15972776973782daL6_JPEG/5eb3ea6da6ab54.48698389.jpg,s,1,1,126.8499086,35.2196508,12,false,bIJWw7Oen3W29w40pHvcDw==,86.27,10.00,126.8496345,35.2196328,120,qRI/JWvCnZBylnjizgybPA==,-102.47,-30.00,126.8521576,35.2201462,124,,,,,,false,1,,,,false,,false,,false,http://cafe.naver.com/bananakklim,,true,126.849693,35.219624,true,126.849693,35.219624,false,,"숙박 일반실 40,000",,,,false,1,true,http://booking.naver.com/booking/3/bizes/18746,,false,true,false,false,false,,false,,,true,,-1,,5461.65,nres://marker/00063-00088,nres://marker/00063-00242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222606,222607,1004380,,,,1004431,"￦45,000~",default,LODGING,45000,,,,,,,,,,,,,,,,,
7,18,1786341503,이끌림비지니스호텔,062-944-3322,false,0507-1337-3325,1,숙박,호텔,221941,221942,222293,광주광역시 광산구 우산동 1609-1,광주광역시 광산구 무진대로212번길 14-27,우산동 1609-1,광주 광산구,무진대로212번길 14-27,이끌림비지니스<b>호텔</b>,062-944-3322,0,24368b76801ef49d5b2358202797d472,0,,s,1,1,126.8019582,35.1610302,8,false,4U7MxWcHBu7dVSYk/yf7zA==,112.15,10.00,126.8018244,35.1610845,120,WNyPvcclsKxQ/Tx0eD+1uQ==,-90.04,-30.00,126.8066635,35.1610298,124,,,,,,false,1,,,,false,,false,,false,,,true,126.80206,35.161215,true,126.80206,35.161215,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,6772.44,nres://marker/00063-00088,nres://marker/00063-00242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,19,1254890525,케이크 호텔,010-3127-6576,false,0507-1306-6576,1,"카페,디저트",케이크전문,220036,220052,220565,광주광역시 북구 중흥동 278-26 1층 케이크 호텔,광주광역시 북구 서방로 13 1층 케이크 호텔,중흥동 278-26 1층 케이크 호텔,광주 북구,서방로 13,케이크 <b>호텔</b>,010-3127-6576,44,c597392d4165f48aa9d6cda4a566d86e,0,http://ldb.phinf.naver.net/20180302_102/1519962976210lBmQr_JPEG/ta4sfEDM49CgqcUxp2vtxMAR.jpeg.jpg,s,1,1,126.9145785,35.1735051,12,false,9LY36Nwek1ktq92uioK71Q==,0.24,8.63,126.9145967,35.1733737,80,gAvUR9W0Fpw+jW3OIhU/tQ==,-75.97,-30.00,126.9158020,35.1731987,124,,,,,,false,1,,,,false,,false,,false,https://www.instagram.com/cake_hotel/,,true,126.9145,35.173479,true,126.9145,35.173479,false,매일 12:00~20:00 월요일 휴무,"우유생크림케이크 10,000 | 주문제작케이크 변동가격(업주문의)",,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,3653.45,nres://marker/00063-00013,nres://marker/00063-00166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222606,222607,1004452,,,,,,,,,221177,1층 케이크 호텔,,,,,,,,,,,,,,,
9,20,34582944,무등레지던스,010-3022-8903,false,,1,숙박,호텔,221941,221942,222293,광주광역시 동구 대인동 321-44,광주광역시 동구 동계천로6번길 14-1,대인동 321-44,광주 동구,동계천로6번길 14-1,무등레지던스,010-3022-8903,0,ab802c2dac634f5cf2a951128dcdd40c,0,,s,1,1,126.9136943,35.1554117,12,false,svxQPIlbRr/foRcs8JpRYA==,-105.56,10.00,126.9137848,35.1554368,120,TUlPoNUjp3iqHe0Vs+1Y6w==,-99.23,-30.00,126.9152222,35.1556587,124,,,,,,false,1,,,,false,,false,,false,,,,,,,,,false,,"1일1인 20,000",,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,4175.16,nres://marker/00063-00088,nres://marker/00063-00242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222606,222607,1004452,,,,,,,,,,,,,,,,,,,,,,,,,
