index,rank,id,name,tel,isCallLink,virtualTel,ppc,category/0,category/1,categoryPath/0/0,categoryPath/0/1,categoryPath/0/2,address,roadAddress,abbrAddress,shortAddress/0,shortAddress/1,display,telDisplay,reviewCount,ktCallMd,coupon,thumUrl,type,isSite,posExact,x,y,itemLevel,isAdultBusiness,streetPanorama/id,streetPanorama/pan,streetPanorama/tilt,streetPanorama/lng,streetPanorama/lat,streetPanorama/fov,skyPanorama/id,skyPanorama/pan,skyPanorama/tilt,skyPanorama/lng,skyPanorama/lat,skyPanorama/fov,insidePanorama,interiorPanorama,indoorPanorama,theme,poiInfo/relation/poiShapeType,poiInfo/relation/shapeKey/typeName,poiInfo/relation/shapeKey/wsid,poiInfo/relation/shapeKey/shapeID,poiInfo/relation/boundary/minX,poiInfo/relation/boundary/minY,poiInfo/relation/boundary/maxX,poiInfo/relation/boundary/maxY,poiInfo/relation/detail,poiInfo/hasRelation,poiInfo/road/poiShapeType,poiInfo/road/shapeKey,poiInfo/road/boundary,poiInfo/road/detail,poiInfo/hasRoad,poiInfo/land,poiInfo/hasLand,poiInfo/polygon,poiInfo/hasPolygon,homePage,description,entranceCoords/car/0/rep,entranceCoords/car/0/x,entranceCoords/car/0/y,entranceCoords/walk/0/rep,entranceCoords/walk/0/x,entranceCoords/walk/0/y,isPollingPlace,bizhourInfo,menuInfo,petrolInfo,couponUrl,couponUrlMobile,hasCardBenefit,menuExist,hasNaverBooking,naverBookingUrl,naverEasyOrderUrl,hasNaverSmartOrder,reservationLabel/standard,reservationLabel/preOrder,reservationLabel/table,reservationLabel/takeout,reservation/benefit,hasBroadcastInfo,broadcastInfo,shopWindowInfo,hasNPay,carWash,parkingPrice,card,distance,marker,markerSelected,michelinGuide,indoor,markerLabel,subway,categoryPath/1/0,categoryPath/1/1,categoryPath/1/2,poiInfo/relation,entranceCoords,streetPanorama,shortAddress/2,context/0,context/1,context/2,context/3,context/4,entranceCoords/car/1/rep,entranceCoords/car/1/x,entranceCoords/car/1/y,categoryPath/0/3,markerLabel/text,markerLabel/style,markerLabel/meta/type,markerLabel/meta/raw/minPrice,entranceCoords/walk/1/rep,entranceCoords/walk/1/x,entranceCoords/walk/1/y,entranceCoords/walk,skyPanorama,categoryPath/1/3,shortAddress
0,21,21581986,호텔러브스토리,062-515-4114,false,,1,숙박,모텔,221941,221946,230778,광주광역시 북구 신안동 117-5,광주광역시 북구 무등로218번길 38,신안동 117-5,광주 북구,무등로218번길 38,<b>호텔</b>러브스토리,062-515-4114,1,d3c16b28bb2edb90f0096ae7234a735d,0,http://ldb.phinf.naver.net/20190614_8/1560456916885slPLM_JPEG/5d01cebe9cb899.25199851.jpg,s,1,1,126.9058351,35.1635697,12,false,NZPINYqtX522AeCxh+4LEw==,-5.78,7.13,126.9058981,35.1634235,90,kSSZGxr70Frg2U6dEYwjaQ==,-65.94,-30.00,126.9066696,35.1631966,124,,,,,1,RELA,1.0,21581986,117.9926027,19.6944771,117.9926027,19.6944771,,true,1,,,,false,,false,,false,,,true,126.905923,35.163481,true,126.905923,35.163481,false,,"숙박 일반실 30,000",,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,3119.41,nres://marker/00063-00003,nres://marker/00063-00156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,1913918433,호텔허니25,062-383-6888,false,,1,숙박,모텔,221941,221946,230778,광주광역시 서구 금호동 763-3,광주광역시 서구 금화로85번길 4-14,금호동 763-3,광주 서구,금화로85번길 4-14,<b>호텔</b>허니25,062-383-6888,8,0b4610f49596b903af8668b97198ee2b,0,http://ldb.phinf.naver.net/20190403_168/15542363293174Pn59_JPEG/5ca2f5b60ac795.43293056.jpg,s,1,1,126.8587198,35.1328099,12,false,mOhRz/of+nfgfU0dpbWXeg==,-172.83,10.00,126.8587320,35.1329050,120,fgmkNE17dL/nEH5ql4vHJw==,-104.53,-30.00,126.8609314,35.1333809,124,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,,,,,,false,,숙박 STANDARD(공기청정기)(코로나안심객실-매일소독) 업체문의,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,4893.90,nres://marker/00063-00003,nres://marker/00063-00156,,,,,222606,222607,1004452,,,,,,,,,,,,,,,,,,,,,,,,
2,23,1567433310,호텔 여기어때 광주백운점,062-655-7955,false,,1,숙박,모텔,221941,221946,230778,광주광역시 남구 백운동 639-15,광주광역시 남구 독립로 23-1,백운동 639-15,광주 남구,독립로 23-1,<b>호텔</b> 여기어때 <b>광주</b>백운점,062-655-7955,11,1a4486ddfd477863c74eb035ab58c37f,0,http://ldb.phinf.naver.net/20200226_246/1582647437350AcUjo_JPEG/a2bacb406711d03bd8394d1674999494.jpg,s,1,1,126.9010655,35.1358596,12,false,aXR1v7VNCDOmLXXGyd/V7Q==,-4.50,10.00,126.9010802,35.1356734,120,Usy2uB0Zk+twoFf/zHIqAQ==,87.72,-30.00,126.8966675,35.1356812,124,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,true,126.901002,35.135706,true,126.901002,35.135706,false,,"숙박 VIP 65,000",,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,4970.29,nres://marker/00063-00003,nres://marker/00063-00156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,24,1754057835,뉴욕코인호텔,062-1577-1000,false,,1,숙박,호텔,221941,221942,222293,광주광역시 서구 치평동 1259-5,광주광역시 서구 상무평화로 113,치평동 1259-5,광주 서구,상무평화로 113,뉴욕코인<b>호텔</b>,062-1577-1000,0,4a7133d2db202be8526ac48ffb7dd40b,0,,s,1,1,126.8510184,35.1488648,8,false,leQxCI+kqcuteBuPvPaPCQ==,-34.77,10.00,126.8511622,35.1486575,120,tx/yOAeRA1TyNvuLHilWQw==,-83.45,-30.00,126.8519440,35.1487579,124,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,true,126.851096,35.148751,true,126.851096,35.148751,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,3593.82,nres://marker/00063-00088,nres://marker/00063-00242,,,,,222606,222607,1004452,,,,,,,,,,,,,,,,,,,,,,,,
4,25,37854674,광주맨해튼호텔,,false,,0,숙박,호텔,221941,221942,222293,광주광역시 서구 치평동 1217-1,광주광역시 서구 상무연하로 73,치평동 1217-1,광주 서구,상무연하로 73,<b>광주</b>맨해튼<b>호텔</b>,,1,aaa0675154673f4c8d378482297ca77e,0,,s,1,1,126.8499106,35.1547604,12,false,wx971v18HlmPzX3ZZfnXmg==,-95.80,10.00,126.8501887,35.1547884,120,1lr4prEjAHz579wA7Ziwvw==,-78.10,-30.00,126.8516693,35.1543884,124,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,true,126.850074,35.15475,true,126.850074,35.15475,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,3160.57,nres://marker/00063-00088,nres://marker/00063-00242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,26,714871092,멍스토어,062-366-3939,false,0507-1438-3940,1,반려동물,반려동물호텔,223267,223272,223316,광주광역시 서구 쌍촌동 1356-5,광주광역시 서구 상일로24번길 17-1,쌍촌동 1356-5,광주 서구,상일로24번길 17-1,멍스토어,062-366-3939,36,509296b4af6e35bf7d7113fb515fbf20,0,http://ldb.phinf.naver.net/20170330_243/1490840024295QtibG_JPEG/186280514363330_0.jpeg,s,1,1,126.8651214,35.1576440,8,false,4f3mI7T/XZCuL11NRJPoSg==,2.64,10.00,126.8651141,35.1574856,120,hjiGGBSRDe7WQQeTy+/ovw==,92.62,-30.00,126.8608322,35.1578369,124,,,,,,,,,,,,,,false,1,,,,false,,false,,false,http://www.mungstore.com/,,true,126.865076,35.157558,true,126.865076,35.157558,false,매일 10:00~20:00,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,2095.66,nres://marker/00063-00006,nres://marker/00063-00159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,27,1598958430,골드브라운호텔,062-233-3200,false,0507-1419-3203,1,숙박,모텔,221941,221946,230778,광주광역시 동구 금동 8-1,광주광역시 동구 백서로125번길 32-5,금동 8-1,광주 동구,백서로125번길 32-5,골드브라운<b>호텔</b>,062-233-3200,56,7576bcc13bfbd6ea09fafc1c8fbb2f2e,0,http://ldb.phinf.naver.net/20191101_266/1572552962859mPbHn_PNG/5dbabc07010d31.18382945.png,s,1,1,126.9179251,35.1447762,12,false,,,,,,,RuevAPAtBHwL2DNH5YjSlQ==,101.57,-30.00,126.9148788,35.1453972,124,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,,,,,,false,,"숙박 Standard 45,000",,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,5182.24,nres://marker/00063-00003,nres://marker/00063-00156,,,,,222606,222607,1004452,,,,,,,,,,,,,,,,,,,,,,,,
7,28,37568181,펫챔,062-526-6566,false,,1,반려동물,반려동물호텔,223267,223272,223316,광주광역시 북구 운암동 153-37,광주광역시 북구 금호로 118-1,운암동 153-37,광주 북구,금호로 118-1,펫챔,062-526-6566,2,2da97598c37570ebeeb7a2f608e774f9,0,http://ldb.phinf.naver.net/20160218_122/1455756817096vvCxv_JPEG/176167603475156_0.jpeg,s,1,1,126.8827075,35.1760735,12,false,f8ciOYYh1j6f1HkNqvAUoQ==,-45.23,3.31,126.8827866,35.1760310,75,a0lI94WVpg5vwi1HuuMZTg==,106.38,-30.00,126.8791351,35.1771202,124,,,,,,,,,,,,,,false,1,,,,false,,false,,false,http://blog.naver.com/petcham,,,,,,,,false,매일 10:00~20:00 일요일 휴무,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,763.06,nres://marker/00063-00006,nres://marker/00063-00159,,,,,222606,222607,1004452,,,,,,,,,,,,,,,,,,,,,,,,
8,29,1342948623,어반스테이호텔,062-418-1777,false,0507-1464-1778,1,숙박,모텔,221941,221946,230778,광주광역시 광산구 우산동 1600-2,광주광역시 광산구 무진대로232번길 7,우산동 1600-2,광주 광산구,무진대로232번길 7,어반스테이<b>호텔</b>,062-418-1777,5,e1add4685666241550b2aa1bcfb5c295,0,http://ldb.phinf.naver.net/20200221_158/158221555983971FjS_JPEG/b0245b31ac0fb97d5191d3e21bc94953.jpg,s,1,1,126.8060213,35.1610284,8,false,nGAgdmGlgI2YlOczqntAFQ==,101.19,10.00,126.8058323,35.1610656,120,WNyPvcclsKxQ/Tx0eD+1uQ==,-90.17,-30.00,126.8066635,35.1610298,124,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,true,126.805994,35.160912,true,126.805994,35.160912,false,,"숙박 (단독! 3베드패키지)패밀리스위트 150,000",,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,6413.06,nres://marker/00063-00003,nres://marker/00063-00156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,30,31949333,라마다플라자광주호텔 파라뷰,062-717-8888,false,,1,음식점,양식,220036,220044,220126,광주광역시 서구 치평동 1238-3 라마다프라자광주호텔 17층,광주광역시 서구 상무자유로 149 라마다프라자호텔 17층,치평동 1238-3 라마다프라자광주호텔 17층,광주 서구,상무자유로 149,라마다플라자<b>광주호텔</b> 파라뷰,062-717-8888,106,8d779fb41eca1b60e17ef7887d22bc25,0,http://blogfiles.naver.net/20151220_250/ljeony2_1450614175903ET9Ue_JPEG/DSC_0735.JPG#3872x2592,s,1,1,126.8505364,35.1520007,12,false,ljzgCC7bZkoaC34xAPYlmA==,-2.64,10.00,126.8505508,35.1516883,120,rGUKMNbbRkbwJQFnG/w+lg==,-97.71,-30.00,126.8516693,35.1521530,124,,,,,,,,,,,,,,false,1,,,,false,,false,,false,http://www.ramadagwangju.com/ramada/sub02_04.asp,,true,126.8506944,35.1518558,true,126.8506944,35.1518558,false,평일 06:30~21:30 Break time 있음,"조식뷔페 27,500 | 점심 성인 38,500 | 점심 어린이 24,200 | 저녁 성인 59,400 | 저녁 어린이 38,500",,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,3347.65,nres://marker/00063-00122,nres://marker/00063-00276,,,,,,,,,,,라마다프라자호텔 17층,스테이크,레스토랑,샐러드바,경치,만두,false,126.8503022,35.1520472,,,,,,,,,,,,
