index,rank,id,name,tel,isCallLink,virtualTel,ppc,category/0,category/1,categoryPath/0/0,categoryPath/0/1,categoryPath/0/2,categoryPath/1/0,categoryPath/1/1,categoryPath/1/2,categoryPath/1/3,address,roadAddress,abbrAddress,shortAddress/0,shortAddress/1,display,telDisplay,reviewCount,ktCallMd,coupon,thumUrl,type,isSite,posExact,x,y,itemLevel,isAdultBusiness,streetPanorama/id,streetPanorama/pan,streetPanorama/tilt,streetPanorama/lng,streetPanorama/lat,streetPanorama/fov,skyPanorama/id,skyPanorama/pan,skyPanorama/tilt,skyPanorama/lng,skyPanorama/lat,skyPanorama/fov,insidePanorama,interiorPanorama,indoorPanorama,theme,poiInfo/relation,poiInfo/hasRelation,poiInfo/road/poiShapeType,poiInfo/road/shapeKey,poiInfo/road/boundary,poiInfo/road/detail,poiInfo/hasRoad,poiInfo/land,poiInfo/hasLand,poiInfo/polygon,poiInfo/hasPolygon,homePage,description,entranceCoords,isPollingPlace,bizhourInfo,menuInfo,petrolInfo,couponUrl,couponUrlMobile,hasCardBenefit,menuExist,hasNaverBooking,naverBookingUrl,naverEasyOrderUrl,hasNaverSmartOrder,reservationLabel/standard,reservationLabel/preOrder,reservationLabel/table,reservationLabel/takeout,reservation/benefit,hasBroadcastInfo,broadcastInfo,shopWindowInfo,hasNPay,carWash,parkingPrice,card,distance,marker,markerSelected,michelinGuide,indoor,markerLabel,subway,categoryPath/0/3,categoryPath/0/4,shortAddress,entranceCoords/car/0/rep,entranceCoords/car/0/x,entranceCoords/car/0/y,entranceCoords/walk/0/rep,entranceCoords/walk/0/x,entranceCoords/walk/0/y,entranceCoords/car/1/rep,entranceCoords/car/1/x,entranceCoords/car/1/y,entranceCoords/walk/1/rep,entranceCoords/walk/1/x,entranceCoords/walk/1/y,shortAddress/2,streetPanorama,skyPanorama,entranceCoords/walk
0,31,1285622944,이마트24 R상무유탑호텔점,062-370-8020,false,,1,"생활,편의",편의점,223267,223271,229150,222606,222607,1004380,1002043,광주광역시 서구 치평동 1231-5,광주광역시 서구 시청로 53,치평동 1231-5,광주 서구,시청로 53,이마트24 R상무유탑<b>호텔</b>점,062-370-8020,0,a3bee3e74ce48c50bd291d20a4bc360a,0,http://ldb.phinf.naver.net/20170821_241/1503294727581vbnw2_JPEG/tAagpb4P9SF_vHSk6vQhmpsz.jpg,s,1,1,126.8511560,35.1531842,8,false,ywgmizI2op/bm16M3yGihg==,12.68,10.00,126.8511016,35.1529423,120,MtQ+qKPdzthfpnzHGRtV0A==,-83.55,-30.00,126.8516693,35.1531258,124,,,,,,false,1,,,,false,,false,,false,http://www.emart24.co.kr,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,3211.19,nres://marker/00063-00051,nres://marker/00063-00204,,,,,,,,,,,,,,,,,,,,,,,
1,32,32009435,우리은행365무등파크호텔자동화코너,,false,,0,금융서비스,은행,222606,222607,222613,,,,,광주광역시 동구 지산동,,,,,우리은행365무등파크<b>호텔</b>자동화코너,,0,cdaeaf22c016046a64fe911e29ee9b4e,0,,s,1,1,126.9469160,35.1489500,12,false,WIo0oC6gbxEgd5LYlVGPNA==,-163.27,10.00,126.9469570,35.1490857,120,5Ni2cnTq02dQWfcCoMLvpA==,124.59,-30.00,126.9466019,35.1491661,124,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,7196.09,nres://marker/00063-00011,nres://marker/00063-00164,,,,,222644,222874,,true,126.9468687,35.149075,true,126.9468687,35.149075,,,,,,,,,,
2,33,20035040,샤인호텔,062-374-3651,false,,1,숙박,모텔,221941,221946,230778,,,,,광주광역시 서구 치평동 1238-5,광주광역시 서구 상무연하로 48,치평동 1238-5,광주 서구,상무연하로 48,샤인<b>호텔</b>,062-374-3651,0,fe474bfd1994895fe7912d6302bc7c9f,0,http://ldb.phinf.naver.net/20150831_282/1441029271793ueBIu_JPEG/146665566257353_0.jpeg,s,1,1,126.8504586,35.1524957,12,false,LGwNcS9i7qtjGnM6E64XOg==,91.91,10.00,126.8501813,35.1525048,120,rGUKMNbbRkbwJQFnG/w+lg==,-74.23,-30.00,126.8516693,35.1521530,124,,,,,,false,1,,,,false,,false,,false,,,,false,매일 09:00~18:00,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,3310.63,nres://marker/00063-00003,nres://marker/00063-00156,,,,,,,,true,126.850296,35.152416,true,126.850296,35.152416,,,,,,,,,,
3,34,37509797,소노호텔&리조트호남지사,,false,,0,"서비스,산업",기업,225111,225131,225332,,,,,광주광역시 서구 치평동 1306-4,광주광역시 서구 마륵로 108,치평동 1306-4,광주 서구,마륵로 108,소노<b>호텔</b>&리조트호남지사,,0,879d421ceaa08020732a5708ac71f572,0,,s,1,1,126.8433816,35.1459218,12,false,kkhBWN30sICP4B3RB06V8g==,63.36,10.00,126.8432109,35.1458200,120,7U0GY9MgBANwGJML2qYCjw==,-173.05,-30.00,126.8438492,35.1495171,124,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,4285.30,nres://marker/00063-00035,nres://marker/00063-00188,,,,,,,,true,126.8435301,35.1458848,true,126.8434005,35.146018,,,,,,,,,,
4,35,15950284,신성호텔,062-973-3351,false,,1,숙박,모텔,221941,221946,230778,,,,,광주광역시 광산구 쌍암동 667-11,광주광역시 광산구 첨단중앙로152번길 47,쌍암동 667-11,광주 광산구,첨단중앙로152번길 47,신성<b>호텔</b>,062-973-3351,2,560be6c4586642078bc0ec3218828f4e,0,,s,1,1,126.8449389,35.2192320,12,false,QVrIA3ruBIuygleKx9QIyQ==,-18.83,23.88,126.8449940,35.2189849,60,evsZebyIg5jOM1Cb59zzRg==,86.79,-30.00,126.8424988,35.2190933,124,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,5620.41,nres://marker/00063-00003,nres://marker/00063-00156,,,,,,,,true,126.844925,35.219069,true,126.844925,35.219069,,,,,,,,,,
5,36,1118687745,일번지비즈니스호텔,062-953-5665,false,,1,숙박,모텔,221941,221946,230778,,,,,광주광역시 광산구 우산동 1575-7,광주광역시 광산구 무진대로211번길 7,우산동 1575-7,광주 광산구,무진대로211번길 7,일번지비즈니스<b>호텔</b>,062-953-5665,0,e7afde1521a11b18e5dc764dc25ca17b,0,,s,1,1,126.8035650,35.1626515,12,false,BuoBhZ4hfFUFh6QDL6Fqaw==,-81.04,10.00,126.8038073,35.1626131,120,Z2VGbFszr1TTtZix9MQyvA==,-99.82,-30.00,126.8066635,35.1631851,124,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,6590.55,nres://marker/00063-00003,nres://marker/00063-00156,,,,,,,,true,126.803588,35.162942,true,126.803588,35.162942,false,126.803695,35.162429,false,126.803695,35.162429,,,,
6,37,16270807,뉴서울모텔,,false,,0,숙박,모텔,221941,221946,230778,,,,,광주광역시 서구 농성동 631-6,광주광역시 서구 화정로309번길 14,농성동 631-6,광주 서구,화정로309번길 14,뉴서울모텔,,0,692e1f5217c6ddef8825bf7a1d00affe,0,http://ldb.phinf.naver.net/20200617_223/1592367806685ncqHn_JPEG/RP4EEeyEGHhnQ-gh23Wom1ao.jpg,s,1,1,126.8889033,35.1512668,12,false,h0khwc+Z3F9P/0ban76TVg==,61.30,10.00,126.8888050,35.1512130,120,lVJHckiLLM6ZM/ncobSCUQ==,-103.20,-30.00,126.8897247,35.1514587,124,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,2936.58,nres://marker/00063-00003,nres://marker/00063-00156,,,,,,,,true,126.888823,35.151268,true,126.888823,35.151268,,,,,,,,,,
7,38,1887614955,윈드호텔,062-385-6979,false,,1,숙박,모텔,221941,221946,230778,222606,222607,1004452,,광주광역시 서구 치평동 1238-6,광주광역시 서구 상무연하로 50,치평동 1238-6,광주 서구,상무연하로 50,윈드<b>호텔</b>,062-385-6979,1,98a01d27f0a5d13d78b57a967af54dc2,0,,s,1,1,126.8505133,35.1527255,8,false,nm+jMQcPNkLaQRaNuNcDbA==,84.71,10.00,126.8501831,35.1526947,120,MtQ+qKPdzthfpnzHGRtV0A==,-109.16,-30.00,126.8516693,35.1531258,124,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,3288.15,nres://marker/00063-00003,nres://marker/00063-00156,,,,,,,,true,126.8507072,35.15284,true,126.8502915,35.1527041,,,,,,,,,,
8,39,752922869,하나은행365 홀리데이인 호텔,,false,,0,금융서비스,은행,222606,222607,222613,,,,,광주광역시 서구 치평동 573-1,광주광역시 서구 상무누리로 55,치평동 573-1,광주 서구,상무누리로 55,하나은행365 홀리데이인 <b>호텔</b>,,0,c618d5f3ff39c572da78ddac43dded6c,0,http://ldb.phinf.naver.net/20200203_165/15807053906271zSPQ_JPEG/XL8EQ3grncWIyj2DnSpNqMQ5.jpg,s,1,1,126.8381060,35.1475500,12,false,7kr6MJHcQ/8KbZkBSuKdkg==,-94.79,10.00,126.8387147,35.1476005,120,Smfii8TYzCy/gznjlBUdCQ==,90.95,-30.00,126.8350296,35.1475983,124,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,4491.49,nres://marker/00063-00011,nres://marker/00063-00164,,,,,222647,222883,,true,126.8384721,35.1477019,true,126.8384721,35.1477019,,,,,,,,,,
9,40,20753136,홀리데이인 광주호텔주차장,,false,,0,교통시설,주차장,227616,227675,227677,,,,,광주광역시 서구 치평동,,,,,홀리데이인 <b>광주호텔</b>주차장,,0,d4519b4fc3f9b0343d075c6bd182d575,0,,s,1,1,126.8385516,35.1474408,12,false,uqAkpZ6LZDdLTcaD+M0KBw==,-110.15,10.00,126.8387236,35.1475037,120,Smfii8TYzCy/gznjlBUdCQ==,92.61,-30.00,126.8350296,35.1475983,124,,,,,,false,1,,,,false,,false,,false,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,4470.02,nres://marker/00063-00111,nres://marker/00063-00265,,,,,227684,,,,,,,,,,,,,,,,,,
