index,rank,id,name,tel,isCallLink,virtualTel,ppc,category/0,category/1,categoryPath/0/0,categoryPath/0/1,categoryPath/0/2,address,roadAddress,abbrAddress,shortAddress/0,shortAddress/1,display,telDisplay,reviewCount,ktCallMd,coupon,thumUrl,type,isSite,posExact,x,y,itemLevel,isAdultBusiness,streetPanorama/id,streetPanorama/pan,streetPanorama/tilt,streetPanorama/lng,streetPanorama/lat,streetPanorama/fov,skyPanorama/id,skyPanorama/pan,skyPanorama/tilt,skyPanorama/lng,skyPanorama/lat,skyPanorama/fov,insidePanorama,interiorPanorama,indoorPanorama,theme,poiInfo/relation,poiInfo/hasRelation,poiInfo/road/poiShapeType,poiInfo/road/shapeKey,poiInfo/road/boundary,poiInfo/road/detail,poiInfo/hasRoad,poiInfo/land,poiInfo/hasLand,poiInfo/polygon,poiInfo/hasPolygon,homePage,description,entranceCoords/car/0/rep,entranceCoords/car/0/x,entranceCoords/car/0/y,entranceCoords/walk/0/rep,entranceCoords/walk/0/x,entranceCoords/walk/0/y,isPollingPlace,bizhourInfo,menuInfo,petrolInfo,couponUrl,couponUrlMobile,hasCardBenefit,menuExist,hasNaverBooking,naverBookingUrl,naverEasyOrderUrl,hasNaverSmartOrder,reservationLabel/standard,reservationLabel/preOrder,reservationLabel/table,reservationLabel/takeout,reservation/benefit,hasBroadcastInfo,broadcastInfo,shopWindowInfo,hasNPay,carWash,parkingPrice,card,distance,marker,markerSelected,michelinGuide,indoor,markerLabel,subway,categoryPath/0/3,entranceCoords/car/1/rep,entranceCoords/car/1/x,entranceCoords/car/1/y,entranceCoords/walk/1/rep,entranceCoords/walk/1/x,entranceCoords/walk/1/y,entranceCoords,shortAddress,categoryPath/1/0,categoryPath/1/1,context/0,context/1,context/2,context/3,categoryPath/1/2,context/4,skyPanorama,shortAddress/2,categoryPath/0/4,microReview/0,microReview/1,microReview/2,microReview/3,microReview/4,markerLabel/text,markerLabel/style,markerLabel/meta/type,markerLabel/meta/raw/minPrice
0,41,1955165923,호텔프랑스 전기차충전소,,false,,0,"교통,운수서비스",전기차충전소,226187,226190,226404,광주광역시 서구 치평동 1243-4,광주광역시 서구 시청로20번길 21-6,치평동 1243-4,광주 서구,시청로20번길 21-6,<b>호텔</b>프랑스 전기차충전소,,0,110b3296b7a3c47c2af3e1dbd8890462,0,,s,1,1,126.8544119,35.1507987,12,false,u9oGHS/XyZjwe/X1pB7msg==,98.99,10.00,126.8541640,35.1508377,120,qly5mfjzKOmKT/9CGtsnOQ==,93.27,-30.00,126.8519058,35.1509399,124,,,,,,false,1,,,,false,,false,,false,,,true,126.854218,35.150794,true,126.854218,35.150794,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,3239.64,nres://marker/00063-00059,nres://marker/00063-00213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,42,15945670,엠파이어관광호텔 지하룸싸롱,062-973-6446,false,,1,술집,요리주점,220036,220051,220552,광주광역시 광산구 월계동 878-1,광주광역시 광산구 임방울대로800번길 25,월계동 878-1,광주 광산구,임방울대로800번길 25,엠파이어관광<b>호텔</b> 지하룸싸롱,062-973-6446,0,b7c9c82657c4c8775b361c4e75de7c94,0,,s,1,1,126.8462029,35.2163152,12,true,rtcynM5xTsnmsz6ZIh4dEA==,92.43,10.00,126.8459410,35.2163261,120,vaDnTqHhvTz/z4b7JILnow==,98.50,-30.00,126.8424988,35.2168655,124,,,,,,false,1,,,,false,,false,,false,,,true,126.8460713,35.2161036,true,126.846095,35.2163206,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,5280.61,nres://marker/00063-00119,nres://marker/00063-00273,,,,,221043,false,126.8463594,35.2164127,false,126.8463594,35.2164127,,,,,,,,,,,,,,,,,,,,,,
2,43,1285079055,금수장 호텔 주차장,,false,,0,"교통,운수",민영주차장,226187,226189,226201,광주광역시 동구 계림동 559-1,광주광역시 동구 무등로321번길 2,계림동 559-1,광주 동구,무등로321번길 2,금수장 <b>호텔</b> 주차장,,0,e11cd636a2ca321dc34da93726bc0749,0,,s,1,1,126.9182199,35.1620933,12,false,V8h8mYrCy5ku6B204G5jGA==,101.83,10.00,126.9181820,35.1621012,120,xUPccWWV3HAdP+3hobz9VQ==,89.69,-30.00,126.9152756,35.1620750,124,,,,,,false,1,,,,false,,false,,false,,,,,,,,,false,평일 00:00~24:00 | 토요일 휴무 | 일요일 휴무 | 공휴일 휴무,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,4227.79,nres://marker/00063-00111,nres://marker/00063-00265,,,,,226256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,44,1208625182,맨하탄호텔옆공영주차장입구,,false,,0,도로시설,방면정보,227616,227755,227813,광주광역시 광산구 우산동,,,,,맨하탄<b>호텔</b>옆공영주차장입구,,0,15d8ff3168c5aaa5994982598c2fc5b0,0,,s,1,1,126.8040074,35.1634310,12,false,0/dx57IIFLq3e06uLISBDw==,121.38,10.00,126.8039310,35.1634776,120,Z2VGbFszr1TTtZix9MQyvA==,-84.75,-30.00,126.8066635,35.1631851,124,,,,,,false,1,,,,false,,false,,false,,,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,6533.70,nres://marker/00063-00057,nres://marker/00063-00211,,,,,227815,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,45,1221796414,호텔더메이 전기차충전소,,false,,0,"교통,운수서비스",전기차충전소,226187,226190,226404,광주광역시 서구 치평동 1220-4,광주광역시 서구 상무번영로 51,치평동 1220-4,광주 서구,상무번영로 51,<b>호텔</b>더메이 전기차충전소,,0,9ee290cb3b3fa07585372678214166de,0,,s,1,1,126.8527707,35.1545998,12,false,RynG8Ht+1uA+v22nux4k/Q==,-90.27,10.00,126.8530575,35.1546009,120,1lr4prEjAHz579wA7Ziwvw==,79.18,-30.00,126.8516693,35.1543884,124,,,,,,false,1,,,,false,,false,,false,,,true,126.852917,35.154625,true,126.852917,35.154625,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,2995.87,nres://marker/00063-00059,nres://marker/00063-00213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,46,1208701152,신양파크호텔 주차장,,false,,0,"교통,운수",민영주차장,226187,226189,226201,광주광역시 동구 지산동 20-8,광주광역시 동구 지호로 214-7,지산동 20-8,광주 동구,지호로 214-7,신양파크<b>호텔</b> 주차장,,0,1c7aee4682b1cef47545816092f20f09,0,,s,1,1,126.9433011,35.1533662,12,false,HoD0Cp010/xHOOxYvrdXnA==,-61.14,10.00,126.9433531,35.1533375,120,VOysILx1AVbWNIlCdacOBQ==,2.54,-30.00,126.9431152,35.1491661,124,,,,,,false,1,,,,false,,false,,false,,,,,,,,,false,평일 00:00~24:00 | 토요일 00:00~24:00 | 일요일 00:00~24:00 | 공휴일 00:00~24:00,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,6705.22,nres://marker/00063-00111,nres://marker/00063-00265,,,,,226256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,47,13491613,지산유원지,062-221-2760,false,,1,"여행,명소",유원지,222117,222121,222159,광주광역시 동구 지산동 산56-4,광주광역시 동구 지호로164번길 23,지산동 산56-4,광주 동구,지호로164번길 23,지산유원지,062-221-2760,189,984c9bf741b45e7cb4aa3466be3f52c2,0,http://ldb.phinf.naver.net/20190823_248/1566523658110BMMQB_JPEG/bSgdkwezuHQ1ASUgylpFBXOO.JPG.jpg,s,1,1,126.9474567,35.1488996,12,false,2oJcr+kBb2JmmGiI0ALzVw==,175.79,7.98,126.9493592,35.1491465,80,FAeXqHpNv91BeYSZYaLkLA==,-144.53,-30.00,126.9476471,35.1491661,124,,,,,,false,1,,,,false,,false,,false,http://www.instagram.com/jisanyuwonji_official,,true,126.9468687,35.149075,true,126.9468687,35.149075,false,평일 10:00~18:30 리프트카 | 평일 10:30~18:00 모노레일 | 주말 09:00~18:30 리프트카 | 주말 09:30~18:00 모노레일,"리프트카왕복/대인 10,000 | 리프트카왕복/소인 8,000 | 리프트카편도/대인 7,000 | 리프트카편도/소인 6,000 | 모노레일왕복/성인 8,000 | 모노레일왕복/소인 7,000 | 패키지(리프트+모노)/대인 17,000 | 패키지(리프트+모노)/소인 14,000",,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,7243.42,nres://marker/00063-00005,nres://marker/00063-00158,,,,,,,,,,,,,,223563,1004376,유원지,케이블카,모노레일,등산,,,,,,,,,,,,,,
7,48,764541924,빈티지399,062-943-0668,false,,1,애견카페,,221986,221989,1003665,광주광역시 광산구 용곡동 399-3,광주광역시 광산구 평동로 650,용곡동 399-3,광주 광산구,평동로 650,빈티지399,062-943-0668,149,5fe96670a1e7362a63fd9dd5f3bc758e,0,http://ldb.phinf.naver.net/20170103_88/1483420395757KJoMr_JPEG/186052616734191_0.jpeg,s,1,1,126.7457238,35.1262386,12,false,TEfJ1xs7RDTAuDvzpA5VRg==,148.87,10.00,126.7456508,35.1263591,120,,,,,,,,,,,,false,1,,,,false,,false,,false,http://blog.naver.com/vintage399,,,,,,,,false,매일 11:00~21:00 22:00 에서 21:00 로 영업시간 변경 되었습다 멀리까지 찾아와주셔서 감사합니다 💕,"아메리카노 5,000 | 오리목뼈 100g 4,500 | 오리연골 70g 4,000 | 오리안심 70g 5,000 | 오리날개 100g 4,500 | 닭가슴살 50g 4,000 | 돼지안심 50g 4,500 | 돼지귀 50g 4,500 | 돼지꼬리 100g 4,500 | 돼지콜라겐바 50g 4,000 | 돼지콜라겐칩 50g 4,000",,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,12903.20,nres://marker/00063-00038,nres://marker/00063-00191,,,,,220588,,,,,,,,,221986,221989,애견카페,애견운동장,잔디밭,빈티지한,1003268,나들이,,,,,,,,,,,,
8,49,1584697391,롤링파스타 상무점,062-370-8032,false,0507-1327-8032,1,음식점,양식,220036,220044,220126,광주광역시 서구 치평동 1231-5 2층,광주광역시 서구 시청로 53 2층,치평동 1231-5 2층,광주 서구,시청로 53,롤링파스타 상무점,062-370-8032,18,77f8c95b6a8859c5c6a1d0cb9855e749,0,http://ldb.phinf.naver.net/20200822_89/1598097159302Sja44_PNG/q2TXNalGihqb7BAuEtPgk8zY.png,s,1,1,126.8512459,35.1530926,12,false,b8ZYe/BaoDuJqvSPk3mBtw==,10.56,10.00,126.8512179,35.1529423,120,MtQ+qKPdzthfpnzHGRtV0A==,-94.53,-30.00,126.8516693,35.1531258,124,,,,,,false,1,,,,false,,false,,false,,,,,,,,,false,,토마토 변동가격(업주문의),,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,3213.47,nres://marker/00063-00122,nres://marker/00063-00276,,,,,,,,,,,,,,,,,,,,,,,2층,,,,,,,,,,
9,50,37435048,썸무인텔,062-955-9911,false,,1,숙박,모텔,221941,221946,230778,광주광역시 광산구 하남동 760,광주광역시 광산구 용아로401번길 5,하남동 760,광주 광산구,용아로401번길 5,썸무인텔,062-955-9911,7,08f03a5e44a93ffb6b5e4737c19e79f5,0,http://ldb.phinf.naver.net/20200814_262/1597392579997riomW_JPEG/5e8e77e51fdf45.87559280.jpg,s,1,1,126.8039494,35.1792342,12,false,5ercHbXRvrxia2KcqsPbiw==,-114.70,8.19,126.8041939,35.1791808,103,Qc282ntI5KoHZJlDRkP7lQ==,-81.16,-30.00,126.8066635,35.1788101,124,,,,,,false,1,,,,false,,false,,false,http://blog.naver.com/ktbooks/220582561043,,true,126.804112,35.179194,true,126.804112,35.179194,false,,"숙박 일반실 55,000",,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,6431.78,nres://marker/00063-00003,nres://marker/00063-00156,,,,,,,,,false,126.803695,35.179184,,,,,,,,,,,,,,,,,,,,,,
