index,rank,id,name,tel,isCallLink,virtualTel,ppc,category/0,category/1,categoryPath/0/0,categoryPath/0/1,categoryPath/0/2,address,roadAddress,abbrAddress,shortAddress/0,shortAddress/1,shortAddress/2,display,telDisplay,reviewCount,ktCallMd,coupon,thumUrl,type,isSite,posExact,x,y,itemLevel,isAdultBusiness,streetPanorama/id,streetPanorama/pan,streetPanorama/tilt,streetPanorama/lng,streetPanorama/lat,streetPanorama/fov,skyPanorama/id,skyPanorama/pan,skyPanorama/tilt,skyPanorama/lng,skyPanorama/lat,skyPanorama/fov,insidePanorama,interiorPanorama,indoorPanorama,theme,poiInfo/relation,poiInfo/hasRelation,poiInfo/road/poiShapeType,poiInfo/road/shapeKey,poiInfo/road/boundary,poiInfo/road/detail,poiInfo/hasRoad,poiInfo/land,poiInfo/hasLand,poiInfo/polygon,poiInfo/hasPolygon,homePage,description,entranceCoords/car/0/rep,entranceCoords/car/0/x,entranceCoords/car/0/y,entranceCoords/walk/0/rep,entranceCoords/walk/0/x,entranceCoords/walk/0/y,isPollingPlace,bizhourInfo,menuInfo,petrolInfo,couponUrl,couponUrlMobile,hasCardBenefit,menuExist,hasNaverBooking,naverBookingUrl,naverEasyOrderUrl,hasNaverSmartOrder,reservationLabel/standard,reservationLabel/preOrder,reservationLabel/table,reservationLabel/takeout,reservation/benefit,hasBroadcastInfo,broadcastInfo,shopWindowInfo,hasNPay,carWash,parkingPrice,card,distance,marker,markerSelected,michelinGuide,indoor,markerLabel,subway,categoryPath/0/3,categoryPath/0/4,categoryPath/1/0,categoryPath/1/1,categoryPath/1/2,entranceCoords,context/0,categoryPath/1/3,entranceCoords/walk/1/rep,entranceCoords/walk/1/x,entranceCoords/walk/1/y,markerLabel/text,markerLabel/style,markerLabel/meta/type,markerLabel/meta/raw/minPrice,streetPanorama,entranceCoords/car/1/rep,entranceCoords/car/1/x,entranceCoords/car/1/y,entranceCoords/walk/2/rep,entranceCoords/walk/2/x,entranceCoords/walk/2/y
0,51,158388398,YAJA 광주하남점,062-942-1609,false,,1,숙박,모텔,221941,221946,230778,광주광역시 광산구 우산동 1609-13 YAJA 광주하남점,광주광역시 광산구 사암로171번길 90-24 YAJA 광주하남점,우산동 1609-13 YAJA 광주하남점,광주 광산구,사암로171번길 90-24,YAJA 광주하남점,YAJA <b>광주</b>하남점,062-942-1609,7,792dfa11f5b82fa3ed099d96e4ba4b81,0,,s,1,1,126.8019886,35.1606830,12,false,qCpO31ggLKDfRHI7ICZVrg==,7.92,10.00,126.8019654,35.1605161,120,Dso6pRDOClLSwHWavBSN/w==,52.23,-30.00,126.7986145,35.1580658,124,,,,,,false,1,,,,false,,false,,false,,,true,126.801956,35.160536,true,126.801956,35.160536,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,6778.65,nres://marker/00063-00003,nres://marker/00063-00156,,,,,,,,,,,,,,,,,,,,,,,,,,
1,52,21206906,펫스토리,062-955-0279,false,,1,반려동물,반려동물분양,223267,223272,1003294,광주광역시 광산구 흑석동 524 이지더원상가1동 115호,광주광역시 광산구 풍영로101번길 22 이지더원상가1동 115호,흑석동 524 이지더원상가1동 115호,광주 광산구,풍영로101번길 22,이지더원상가1동 115호,펫스토리,062-955-0279,1,45c538abfc35dc16acdacc2d6effb52b,0,http://ldb.phinf.naver.net/20191003_196/1570080473167R1dnW_JPEG/QWW2dA5NVt6jQlSADH-MeM2Q.jpg,s,1,1,126.8118195,35.1812062,12,false,0aQD3f0PS2a2QAO+8EvZMQ==,35.82,6.44,126.8116860,35.1811880,80,8oqvJWasZg9q56ha+m+EWQ==,88.09,-30.00,126.8066635,35.1810303,124,,,,,,false,1,,,,false,,false,,false,http://펫스토리.kr/,,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,5740.96,nres://marker/00063-00006,nres://marker/00063-00159,,,,,224288,231746,222606,222607,1004452,,,,,,,,,,,,,,,,,
2,53,544145679,개운하개,062-674-3533,false,0507-1426-3534,1,"직업,기술학원",애견미용,222412,222416,222453,광주광역시 남구 주월동 967-14 개운하개,광주광역시 남구 대남대로223번길 38-2,주월동 967-14 개운하개,광주 남구,대남대로223번길 38-2,,개운하개,062-674-3533,0,2f0708e40edd564f027afbc3383bab54,0,http://ldb.phinf.naver.net//20170630_286/1498809339999D0oA4_JPEG/image.jpeg,s,1,1,126.8969019,35.1325655,12,false,l1HIRk4DMe5LIBtppNE7WA==,-13.09,4.00,126.8969451,35.1324478,53,Drx5BxU+/jqZ5HPyxDj3EQ==,-8.32,-30.00,126.8969421,35.1324310,124,,,,,,false,1,,,,false,,false,,false,,,true,126.897005,35.132553,true,126.897005,35.132553,false,매일 10:00~19:00 | 수요일 휴무,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,5131.23,nres://marker/00063-00035,nres://marker/00063-00188,,,,,222568,,222606,222607,1004452,,,,,,,,,,,,,,,,,
3,54,38291285,멍블리,062-365-3555,false,,1,반려동물,반려동물미용,223267,223272,223314,광주광역시 서구 화정동 766-62 1층,광주광역시 서구 화운로 112,화정동 766-62 1층,광주 서구,화운로 112,,멍블리,062-365-3555,26,b056338120587e936492969e8327623c,0,http://ldb.phinf.naver.net/20160901_10/14727075613030dmHj_JPEG/176851545576398_0.jpeg,s,1,1,126.8791460,35.1494695,12,false,AC1RbHIwgoUYZUWn6Jhcmg==,62.87,15.00,126.8789850,35.1493979,58,XSUZjpLyEuhKOmSv97cWXA==,-135.29,-30.00,126.8794479,35.1497879,124,,,,,,false,1,,,,false,,false,,false,http://blog.naver.com/mung-vely,,,,,,,,false,매일 10:00~20:00,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,2857.89,nres://marker/00063-00006,nres://marker/00063-00159,,,,,,,222606,222607,1004452,,산책,,,,,,,,,,,,,,,
4,55,37728808,소다펫,062-400-3553,false,,1,반려동물,반려동물미용,223267,223272,223314,광주광역시 남구 백운동 200-4,광주광역시 남구 독립로 58 소다펫,백운동 200-4,광주 남구,독립로 58,소다펫,소다펫,062-400-3553,4,66f127523f009d9c8b20cb802b6ec8ec,0,http://ldb.phinf.naver.net/20160403_102/1459659324093KKwtL_JPEG/176353538543324_0.jpeg,s,1,1,126.9018654,35.1387932,12,false,DZhdINFjS+Q/B22pFKTrZA==,149.66,4.50,126.9017820,35.1389447,45,E+HgxztQytyeVO+rwzrhUg==,-94.93,-30.00,126.9063873,35.1391792,124,,,,,,false,1,,,,false,,false,,false,http://blog.naver.com/lllrunelll,,,,,,,,false,평일 10:00~07:00 공휴일은쉽니다,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,4725.87,nres://marker/00063-00006,nres://marker/00063-00159,,,,,,,222606,222607,1004452,,,,,,,,,,,,,,,,,
5,56,1210599446,광주애견샵 S펫살롱,010-9831-8979,false,0507-1315-3219,1,반려동물,애견용품,223563,223715,224289,광주광역시 남구 백운동 652-3,광주광역시 남구 대남대로 259-2,백운동 652-3,광주 남구,대남대로 259-2,,<b>광주</b>애견샵 S펫살롱,010-9831-8979,6,a92d0750f51f4305e61aa14fc1657f2a,0,http://ldb.phinf.naver.net/20181116_72/1542340614090lx6E6_JPEG/-i_SmLQHRm8FecU-kXtGNI4I.jpg,s,1,1,126.8977456,35.1359105,12,false,eL/ch2HkFy/Z29UbQ3Tr3w==,-140.70,10.00,126.8978270,35.1360097,120,Usy2uB0Zk+twoFf/zHIqAQ==,78.03,-30.00,126.8966675,35.1356812,124,,,,,,false,1,,,,false,,false,,false,http://www.instagram.com/0715style,,true,126.897773,35.135923,true,126.897773,35.135923,false,매일 10:30~20:00 | 화요일 휴무,"위생목욕미용 20,000 | 전체클리핑미용 30,000 | 이중모추가비용 5,000",,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,4825.23,nres://marker/00063-00006,nres://marker/00063-00159,,,,,,,222606,222607,1004380,,,1004431,,,,,,,,,,,,,,
6,57,1547184737,크리스타일,010-2982-4266,false,0507-1311-4266,1,"직업,기술학원",애견미용,222412,222416,222453,광주광역시 서구 쌍촌동 1346-3,광주광역시 서구 상일로42번길 9-9,쌍촌동 1346-3,광주 서구,상일로42번길 9-9,,크리스타일,010-2982-4266,0,7152edd35f21442c40cc26d3db6dd572,0,http://ldb.phinf.naver.net/20190517_171/15580706129884QD33_JPEG/ZuHEbfLY7MvNG1RWwjWJBZ0Y.jpg,s,1,1,126.8641808,35.1597030,12,false,AWr77OJnw5fW2Qb+AUT5Lw==,-104.76,10.00,126.8643004,35.1597344,120,n5qbWTNDjZKCMKqHeeMBww==,97.24,-30.00,126.8608322,35.1601257,124,,,,,,false,1,,,,false,,false,,false,http://www.instagram.com/crystyle_petsalon,,true,126.864257,35.159764,true,126.864257,35.159764,false,매일 09:30~20:00 매주 목요일 휴무,,,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,1928.41,nres://marker/00063-00035,nres://marker/00063-00188,,,,,222568,,222606,222607,1004452,,,,,,,,,,,,,,,,,
7,58,1373782367,반려식탁,010-5668-5661,false,0507-1329-5661,1,반려동물,애견훈련,223267,223272,223315,광주광역시 서구 풍암동 1157-15,광주광역시 서구 풍암순환로188번길 34,풍암동 1157-15,광주 서구,풍암순환로188번길 34,,반려식탁,010-5668-5661,51,2eab1699bc58ab27d64b5fc145d79221,0,http://ldb.phinf.naver.net/20200630_241/1593487133352WhY5o_JPEG/YwQYn4Otoc7HUBEPq9Ug14wF.jpg,s,1,1,126.8848628,35.1285543,8,false,brbQvefEwqtAMeoHuYPqBQ==,102.40,10.00,126.8847833,35.1285718,120,2V1TQgp0vIjNGjhnRgyggg==,89.79,-30.00,126.8799973,35.1285324,124,,,,,,false,1,,,,false,,false,,false,http://naver.me/FPXTwBpu,,,,,,,,false,매일 11:00~19:00,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,5239.82,nres://marker/00063-00006,nres://marker/00063-00159,,,,,,,222606,222607,1004452,,,,,,,,,,,,,,,,,
8,59,1057032742,보듬펫살롱,010-9245-9897,false,,1,반려동물,반려동물미용,223267,223272,223314,광주광역시 동구 계림동 85-166,광주광역시 동구 중앙로 328,계림동 85-166,광주 동구,중앙로 328,,보듬펫살롱,010-9245-9897,2,e472b4ef64240170ca3a8dba8de4488b,0,http://ldb.phinf.naver.net/20190822_103/15664749914028hIuY_JPEG/NdC6lBb3d-_bYbQAjXkcFPn5.jpeg.jpg,s,1,1,126.9207518,35.1610335,12,false,6dBX4Hb2ldSV5PcYhbW5xg==,-173.25,10.00,126.9207677,35.1611661,120,z9mea/so5mmDZuwf68B6Zg==,-85.85,-30.00,126.9252777,35.1607018,124,,,,,,false,1,,,,false,,false,,false,https://www.instagram.com/bodeum_pet_salon,,true,126.920657,35.161036,true,126.920657,35.161036,false,월요일 휴무 | 화요일 10:00~19:00 | 수요일 10:00~19:00 | 목요일 10:00~19:00 | 금요일 10:00~19:00 | 토요일 10:00~19:00 | 일요일 10:00~19:00,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,4484.52,nres://marker/00063-00006,nres://marker/00063-00159,,,,,,,222606,222607,1004452,,,,,,,,,,,,,,,,,
9,60,36929487,요술펫,070-7578-8562,false,0507-1409-8562,1,반려동물,반려동물분양,223267,223272,1003294,광주광역시 북구 오치동 785-7 1층,광주광역시 북구 설죽로 302,오치동 785-7 1층,광주 북구,설죽로 302,,요술펫,070-7578-8562,6,8c12f5f8f5bfe533649711fe34661d40,0,http://ldb.phinf.naver.net/20161209_60/1481265874354joV3B_JPEG/177159557453392_0.jpeg,s,1,1,126.8985316,35.1865748,12,false,aZn91f8ZhdoEM/4gf7U8vQ==,83.95,10.00,126.8983883,35.1865640,120,ozoC3PW9k4DpoGITeote1Q==,51.89,-30.00,126.8969421,35.1853333,124,,,,,,false,1,,,,false,,false,,false,http://yosulpet.alltheway.kr/,,,,,,,,false,매일 10:00~20:00,"전체미용 30,000",,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,2548.99,nres://marker/00063-00006,nres://marker/00063-00159,,,,,224288,231746,222606,222607,1004452,,,,,,,,,,,,,,,,,
