index,rank,id,name,tel,isCallLink,virtualTel,ppc,category/0,category/1,categoryPath/0/0,categoryPath/0/1,categoryPath/0/2,address,roadAddress,abbrAddress,shortAddress/0,shortAddress/1,shortAddress/2,display,telDisplay,context/0,context/1,context/2,context/3,context/4,reviewCount,ktCallMd,coupon,thumUrl,type,isSite,posExact,x,y,itemLevel,isAdultBusiness,streetPanorama/id,streetPanorama/pan,streetPanorama/tilt,streetPanorama/lng,streetPanorama/lat,streetPanorama/fov,skyPanorama/id,skyPanorama/pan,skyPanorama/tilt,skyPanorama/lng,skyPanorama/lat,skyPanorama/fov,insidePanorama,interiorPanorama,indoorPanorama,theme,poiInfo/relation,poiInfo/hasRelation,poiInfo/road/poiShapeType,poiInfo/road/shapeKey,poiInfo/road/boundary,poiInfo/road/detail,poiInfo/hasRoad,poiInfo/land,poiInfo/hasLand,poiInfo/polygon,poiInfo/hasPolygon,homePage,description,entranceCoords/car/0/rep,entranceCoords/car/0/x,entranceCoords/car/0/y,entranceCoords/walk/0/rep,entranceCoords/walk/0/x,entranceCoords/walk/0/y,isPollingPlace,bizhourInfo,menuInfo,petrolInfo,couponUrl,couponUrlMobile,hasCardBenefit,menuExist,hasNaverBooking,naverBookingUrl,naverEasyOrderUrl,hasNaverSmartOrder,reservationLabel/standard,reservationLabel/preOrder,reservationLabel/table,reservationLabel/takeout,reservation/benefit,hasBroadcastInfo,broadcastInfo,shopWindowInfo,hasNPay,carWash,parkingPrice,card,distance,marker,markerSelected,michelinGuide,indoor,markerLabel,subway,entranceCoords,categoryPath/1/0,categoryPath/1/1,categoryPath/1/2,poiInfo/relation/poiShapeType,poiInfo/relation/shapeKey/typeName,poiInfo/relation/shapeKey/wsid,poiInfo/relation/shapeKey/shapeID,poiInfo/relation/boundary/minX,poiInfo/relation/boundary/minY,poiInfo/relation/boundary/maxX,poiInfo/relation/boundary/maxY,poiInfo/relation/detail/0/type,poiInfo/relation/detail/0/sid,poiInfo/relation/detail/0/fullName,poiInfo/relation/detail/0/name,poiInfo/relation/detail/0/category,poiInfo/relation/detail/0/xPos,poiInfo/relation/detail/0/yPos,poiInfo/relation/detail/1/type,poiInfo/relation/detail/1/sid,poiInfo/relation/detail/1/fullName,poiInfo/relation/detail/1/name,poiInfo/relation/detail/1/category,poiInfo/relation/detail/1/xPos,poiInfo/relation/detail/1/yPos,entranceCoords/car/1/rep,entranceCoords/car/1/x,entranceCoords/car/1/y,markerLabel/text,markerLabel/style,markerLabel/meta/type,markerLabel/meta/raw/minPrice,entranceCoords/walk/1/rep,entranceCoords/walk/1/x,entranceCoords/walk/1/y,poiInfo/relation/detail/2/type,poiInfo/relation/detail/2/sid,poiInfo/relation/detail/2/fullName,poiInfo/relation/detail/2/name,poiInfo/relation/detail/2/category,poiInfo/relation/detail/2/xPos,poiInfo/relation/detail/2/yPos,categoryPath/1/3
0,1,19560475,홀리데이인 광주호텔,062-610-7000,false,,1,숙박,호텔,221941,221942,1003444,광주광역시 서구 치평동 573-1,광주광역시 서구 상무누리로 55 Holiday Inn Gwangju,치평동 573-1,광주 서구,상무누리로 55,Holiday Inn Gwangju,홀리데이인 <b>광주호텔</b>,062-610-7000,실내수영장,레스토랑,디저트,편안한,휴식,513,65412f95162b9aa7411939304f4e467c,0,http://ldb.phinf.naver.net/20171114_3/1510620367577Pfcnf_JPEG/W3L7SzU4pnb0Z8eO8DI5ih75.jpg,s,1,1,126.8381280,35.1476244,12,false,//v4tHQClnLO41KfQnK1uA==,-99.91,5.63,126.8387130,35.1476976,75,Smfii8TYzCy/gznjlBUdCQ==,89.56,-30.00,126.8350296,35.1475983,124,,,,,,false,1,,,,false,,false,,false,http://higwangju.com/,,true,126.8384721,35.1477019,true,126.8384721,35.1477019,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,4484.42,nres://marker/00063-00088,nres://marker/00063-00242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1408331871,유탑부티크호텔&레지던스,062-370-8000,false,,1,숙박,호텔,221941,221942,222293,광주광역시 서구 치평동 1231-5,광주광역시 서구 시청로 53,치평동 1231-5,광주 서구,시청로 53,,유탑부티크<b>호텔</b>&레지던스,062-370-8000,,,,,,48,7cea81c71448b5e6118481223421278e,0,http://ldb.phinf.naver.net/20200710_180/15943560704200NdqT_JPEG/DBS2x3eJNjHgNca71vyv5IJ1.jpg,s,1,1,126.8511559,35.1531841,12,false,ywgmizI2op/bm16M3yGihg==,12.68,10.00,126.8511016,35.1529423,120,MtQ+qKPdzthfpnzHGRtV0A==,-83.55,-30.00,126.8516693,35.1531258,124,,,,,,false,1,,,,false,,false,,false,https://www.utopboutique.com/,,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,3211.20,nres://marker/00063-00088,nres://marker/00063-00242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,12973999,라마다플라자 광주호텔,062-717-7000,false,,1,숙박,호텔,221941,221942,1003444,광주광역시 서구 치평동 1238-3,광주광역시 서구 상무자유로 149 라마다프라자호텔,치평동 1238-3,광주 서구,상무자유로 149,라마다프라자호텔,라마다플라자 <b>광주호텔</b>,062-717-7000,레스토랑,스테이크,치즈케이크,샐러드바,야경,292,bd0a3d64f67b592e6ddccf97e66e0650,0,http://ldb.phinf.naver.net/20150901_173/1441045029172c4r6s_JPEG/106568556228509_1.jpg,s,1,1,126.8505665,35.1520452,12,false,ljzgCC7bZkoaC34xAPYlmA==,-8.96,11.63,126.8505508,35.1516883,45,rGUKMNbbRkbwJQFnG/w+lg==,-95.63,-30.00,126.8516693,35.1521530,124,,,,,,true,1,,,,false,,false,,false,http://www.ramadagwangju.com/,,true,126.8506944,35.1518558,true,126.8506944,35.1518558,false,매일 00:00~24:00,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,3342.10,nres://marker/00063-00088,nres://marker/00063-00242,,,,,,222606,222607,1004452,1,RELA,1.0,12973999,117.9926027,19.6944771,117.9926027,19.6944771,1,16278447,라마다플라자 광주호텔입구,입구,입구(사람+차량),126.8506944,35.1518558,4,1894323238,라마다플라자 광주호텔주차장입출구,주차장입출구,입출구(차량),126.8503022,35.1520472,false,126.8503022,35.1520472,,,,,,,,,,,,,,,
3,4,776106120,acc디자인호텔,062-234-8000,false,,1,숙박,호텔,221941,221942,1003443,광주광역시 동구 금남로2가 28,광주광역시 동구 금남로 226-11,금남로2가 28,광주 동구,금남로 226-11,,acc디자인<b>호텔</b>,062-234-8000,라운지바,레스토랑,칵테일바,고급스러운,데이트,176,2ba6204528cf7081b76d52780f11909d,0,http://ldb.phinf.naver.net/20170222_3/14877558587684JGnw_JPEG/186172586077276_0.jpeg,s,1,1,126.9164449,35.1487475,12,false,84GadoihzbrZ4jwTf69J9A==,120.59,10.00,126.9162849,35.1488419,120,ebKFomOeWt6awXJ9Z+jIXg==,100.63,-30.00,126.9150009,35.1490173,124,,,,,,false,1,,,,false,,false,,false,http://acchotel.kr/,,true,126.916391,35.148885,true,126.916391,35.148885,false,매일 00:00~24:00,"standard double 99,000 | deluxe double 121,000 | deluxe twin 121,000 | passion suite 165,000 | culture suite 193,000 | creation 231,000 | art suite 385,000 | acc suite 495,000",,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,4800.36,nres://marker/00063-00088,nres://marker/00063-00242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,1074046050,노블스테이,062-445-7700,false,0507-1441-7702,1,숙박,호텔,221941,221942,222293,광주광역시 광산구 쌍암동 694-25,광주광역시 광산구 임방울대로826번길 19-7,쌍암동 694-25,광주 광산구,임방울대로826번길 19-7,,노블스테이,062-445-7700,,,,,,19,e2d98f373ca2cfe53ae884a82ae1861b,0,http://ldb.phinf.naver.net/20200915_38/1600136495523eoMbr_JPEG/%B3%EB%BA%ED%BD%BA%C5%D7%C0%CC_%BF%DC%B0%FC2.jpg,s,1,1,126.8493245,35.2168040,8,false,7rbwdLYEnfc2EZrHVcPqww==,-1.00,10.00,126.8493278,35.2166212,120,3f/rEdjBG9xdiaTHnn2GwQ==,-90.21,-30.00,126.8522186,35.2168121,124,,,,,,false,1,,,,false,,false,,false,https://blog.naver.com/ns-hotel,,true,126.849302,35.216672,true,126.849302,35.216672,false,매일 00:00~24:00,,,,,false,0,true,https://booking.naver.com/booking/3/bizes/284556,,false,true,false,false,false,,false,,,false,,-1,,5197.27,nres://marker/00063-00088,nres://marker/00063-00242,,,,,,222606,222607,1004452,,,,,,,,,,,,,,,,,,,,,,,,,,"￦70,000~",default,LODGING,70000,,,,,,,,,,,
5,6,1838270500,탑클라우드호텔 광주점,062-972-3111,false,0507-1320-3111,1,숙박,호텔,221941,221942,222293,광주광역시 광산구 쌍암동 679-1,광주광역시 광산구 임방울대로825번길 57-1,쌍암동 679-1,광주 광산구,임방울대로825번길 57-1,,탑클라우드<b>호텔</b> <b>광주</b>점,062-972-3111,,,,,,55,1dc2f9146e3315b90ce726b7d99706f5,0,http://ldb.phinf.naver.net/20200310_36/1583806886790rO8zJ_JPEG/1EshcRFfIvelVcYFLr6qLABh.jpg,s,1,1,126.8481698,35.2204652,12,false,tGI6wyPDSsaCHojXDW0aaA==,-177.10,10.00,126.8481785,35.2206304,120,qRI/JWvCnZBylnjizgybPA==,-85.47,-30.00,126.8521576,35.2201462,124,,,,,,false,1,,,,false,,false,,false,,,true,126.848205,35.220572,true,126.848205,35.220572,false,매일 00:00~24:00,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,5610.02,nres://marker/00063-00088,nres://marker/00063-00242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,38752861,마드리드비즈니스호텔,062-941-0500,false,,1,숙박,호텔,221941,221942,222293,광주광역시 광산구 송정동 840-2,광주광역시 광산구 광산로19번길 11,송정동 840-2,광주 광산구,광산로19번길 11,,마드리드비즈니스<b>호텔</b>,062-941-0500,깨끗한,야시장,떡갈비,,,55,5c1e7d8e5f661da7899873c530e8b842,0,http://ldb.phinf.naver.net/20200813_59/1597309551614yIleh_JPEG/5de723502ff265.49433579.jpg,s,1,1,126.7934644,35.1386857,12,false,dy5lPXBj4WCh1WQKH1xRlQ==,-129.90,10.00,126.7935937,35.1387936,120,3Vl0e9tb+47+L3yRc2oTKw==,87.83,-30.00,126.7890701,35.1385155,124,,,,,,false,1,,,,false,,false,,false,,,true,126.793369,35.13878,true,126.793369,35.13878,false,,"숙박 스탠다드 더블 74,000",,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,8397.01,nres://marker/00063-00088,nres://marker/00063-00242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,126.793623,35.138711,,,,,false,126.793623,35.138711,,,,,,,,
7,8,11540319,금수장호텔,062-525-2111,false,,1,숙박,호텔,221941,221942,222293,광주광역시 동구 계림동 559-1,광주광역시 동구 무등로321번길 2,계림동 559-1,광주 동구,무등로321번길 2,,금수장<b>호텔</b>,062-525-2111,,,,,,24,65a59758f952e4914c614f052f70b8e5,0,http://ldb.phinf.naver.net/20150831_111/1440994375502oBYUT_JPEG/SUBMIT_1391687712240_11540319.jpg,s,1,1,126.9184221,35.1621871,12,false,fFVC2BnOfKTohKluD3bX6w==,24.03,10.00,126.9182856,35.1618807,120,xUPccWWV3HAdP+3hobz9VQ==,88.00,-30.00,126.9152756,35.1620750,124,,,,,,false,1,,,,false,,false,,false,http://www.geumsoojang.co.kr/,,true,126.918253,35.162035,true,126.918253,35.162035,false,매일 00:00~24:00,"온돌 스탠다드 55,000 | 한정식-A코스 55,000 | 한정식-B코스 43,000 | 300여종의 와인류 변동가격(업주문의)",,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,4241.63,nres://marker/00063-00088,nres://marker/00063-00242,,,,,,222606,222607,1004452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,12908958,엠파이어관광호텔,062-962-2000,false,0507-1453-2000,1,숙박,호텔,221941,221942,222293,광주광역시 광산구 월계동 878-8,광주광역시 광산구 임방울대로800번길 25,월계동 878-8,광주 광산구,임방울대로800번길 25,,엠파이어관광<b>호텔</b>,062-962-2000,삼겹살,냉면,,,,31,51585bcf3b38d3714e0530bdcd271745,0,http://ldb.phinf.naver.net/20180221_130/1519204154643C6mek_JPEG/vCL8mS-cUq0TYcpQirMXO4Lf.jpg,s,1,1,126.8462716,35.2162795,12,false,rtcynM5xTsnmsz6ZIh4dEA==,92.09,10.00,126.8459410,35.2163261,120,vaDnTqHhvTz/z4b7JILnow==,98.88,-30.00,126.8424988,35.2168655,124,,,,,,true,1,,,,false,,false,,false,http://www.empirehotel.co.kr/,,true,126.8460713,35.2161036,true,126.846095,35.2163206,false,매일 00:00~24:00 연중 무휴.,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,5274.10,nres://marker/00063-00088,nres://marker/00063-00242,,,,,,222606,222607,1004452,1,RELA,1.0,12908958,117.9926027,19.6944771,117.9926027,19.6944771,5,374827322,엠파이어관광호텔입구,입구,입구(사람),126.8460950,35.2163206,1,401088109,엠파이어관광호텔주차장입구,주차장입구,입구(사람+차량),126.8463594,35.2164127,false,126.8463594,35.2164127,,,,,false,126.8463594,35.2164127,1,16016476,엠파이어관광호텔주차장입구,주차장입구,입구(사람+차량),126.8460713,35.2161036,
9,10,16167137,ACC비지니스호텔,062-522-5227,false,,1,숙박,호텔,221941,221942,222293,광주광역시 북구 신안동 127-5,광주광역시 북구 자미로6번길 7,신안동 127-5,광주 북구,자미로6번길 7,,ACC비지니스<b>호텔</b>,062-522-5227,,,,,,4,ab993aa32aa29d39ca1878355b42da94,0,http://ldb.phinf.naver.net/20200824_214/1598244158621nM2ys_JPEG/5e01ac8a8a5364.99757887.jpg,s,1,1,126.9035051,35.1665487,12,false,67BSEdpYQPKC119uZpW72Q==,11.00,10.00,126.9034720,35.1663780,120,OPh6d9PiJAVytmouv0OiNQ==,-91.17,-30.00,126.9066696,35.1666107,124,,,,,,false,1,,,,false,,false,,false,,,true,126.903567,35.166442,true,126.903567,35.166442,false,,"숙박 비지니스 더블 45,000",,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,2800.30,nres://marker/00063-00088,nres://marker/00063-00242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
