index,rank,id,name,tel,isCallLink,virtualTel,ppc,category/0,category/1,categoryPath/0/0,categoryPath/0/1,categoryPath/0/2,categoryPath/0/3,categoryPath/1/0,categoryPath/1/1,categoryPath/1/2,address,roadAddress,abbrAddress,shortAddress/0,shortAddress/1,display,telDisplay,context/0,context/1,reviewCount,ktCallMd,coupon,thumUrl,type,isSite,posExact,x,y,itemLevel,isAdultBusiness,streetPanorama/id,streetPanorama/pan,streetPanorama/tilt,streetPanorama/lng,streetPanorama/lat,streetPanorama/fov,skyPanorama/id,skyPanorama/pan,skyPanorama/tilt,skyPanorama/lng,skyPanorama/lat,skyPanorama/fov,insidePanorama,interiorPanorama,indoorPanorama,theme,poiInfo/relation/poiShapeType,poiInfo/relation/shapeKey/typeName,poiInfo/relation/shapeKey/wsid,poiInfo/relation/shapeKey/shapeID,poiInfo/relation/boundary/minX,poiInfo/relation/boundary/minY,poiInfo/relation/boundary/maxX,poiInfo/relation/boundary/maxY,poiInfo/relation/detail/0/type,poiInfo/relation/detail/0/sid,poiInfo/relation/detail/0/fullName,poiInfo/relation/detail/0/name,poiInfo/relation/detail/0/category,poiInfo/relation/detail/0/xPos,poiInfo/relation/detail/0/yPos,poiInfo/relation/detail/1/type,poiInfo/relation/detail/1/sid,poiInfo/relation/detail/1/fullName,poiInfo/relation/detail/1/name,poiInfo/relation/detail/1/category,poiInfo/relation/detail/1/xPos,poiInfo/relation/detail/1/yPos,poiInfo/hasRelation,poiInfo/road/poiShapeType,poiInfo/road/shapeKey,poiInfo/road/boundary,poiInfo/road/detail,poiInfo/hasRoad,poiInfo/land,poiInfo/hasLand,poiInfo/polygon,poiInfo/hasPolygon,homePage,description,entranceCoords/car/0/rep,entranceCoords/car/0/x,entranceCoords/car/0/y,entranceCoords/walk,isPollingPlace,bizhourInfo,menuInfo,petrolInfo,couponUrl,couponUrlMobile,hasCardBenefit,menuExist,hasNaverBooking,naverBookingUrl,naverEasyOrderUrl,hasNaverSmartOrder,reservationLabel/standard,reservationLabel/preOrder,reservationLabel/table,reservationLabel/takeout,reservation/benefit,hasBroadcastInfo,broadcastInfo,shopWindowInfo,hasNPay,carWash,parkingPrice,card,distance,marker,markerSelected,michelinGuide,indoor,markerLabel,subway,shortAddress,context/2,context/3,context/4,poiInfo/relation,entranceCoords,entranceCoords/walk/0/rep,entranceCoords/walk/0/x,entranceCoords/walk/0/y,categoryPath/1/3,entranceCoords/car/1/rep,entranceCoords/car/1/x,entranceCoords/car/1/y,entranceCoords/walk/1/rep,entranceCoords/walk/1/x,entranceCoords/walk/1/y,shortAddress/2,entranceCoords/car
0,1,30811953,맥도날드 광주동림DT점,070-7017-2451,false,,1,양식,햄버거,220036,220044,220138,222362,222606,222607,1004452,광주광역시 북구 동림동 900-41,광주광역시 북구 하남대로 635,동림동 900-41,광주 북구,하남대로 635,맥도날드 <b>광주</b>동림DT점,070-7017-2451,햄버거,불고기,73,df971fae6643c987c3c35ff6c7ee1b6b,0,http://blogfiles.naver.net/20141204_139/sh85park_1417663391339742Af_JPEG/image_%285%29.jpg#900x1200,s,1,1,126.8621049,35.1724545,10,false,JMdHrF0kMypJflWouyhyMg==,-9.48,10.00,126.8622057,35.1721941,120,++qAX6VbuuE2PCTik1Exzg==,101.61,-30.00,126.8608322,35.1726990,124,,,,,1,RELA,1.0,30811953,117.9926027,19.6944771,117.9926027,19.6944771,2,1009098745,맥도날드 광주동림DT점입구,입구,입구(사람+차량),126.8623396,35.1723391,3,1080492355,맥도날드 광주동림DT점출구,출구,출구(차량),126.8620442,35.1722951,true,1,,,,false,,false,,false,http://www.mcdonalds.co.kr/,,true,126.8623396,35.1723391,,false,매일 00:00~24:00,빅맥® 세트 변동가격(업주문의) | 맥스파이시® 상하이 버거 세트 변동가격(업주문의) | 1955 버거™ 세트 변동가격(업주문의) | 불고기 버거 세트 변동가격(업주문의) | 슈슈 버거 세트 변동가격(업주문의) | 베이컨 토마토 디럭스 세트 변동가격(업주문의),,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,1154.66,nres://marker/00063-00076,nres://marker/00063-00230,,,,,,,,,,,,,,,,,,,,,,
1,2,31372077,맥도날드 광주운암DT점,070-7017-6790,false,,1,양식,햄버거,220036,220044,220138,222362,222606,222607,1004452,광주광역시 북구 운암동 1078-2,광주광역시 북구 북문대로187번길 2,운암동 1078-2,광주 북구,북문대로187번길 2,맥도날드 <b>광주</b>운암DT점,070-7017-6790,,,37,65b150c526f691bc84db5a5c389dc62c,0,http://ldb.phinf.naver.net/20190402_135/1554164628801BbKsc_JPEG/4Pxh2-hGTWuAP1znMO2gXQXe.jpg,s,1,1,126.8701381,35.1849773,12,false,Tw52FtY0raSwe9BYjUHLXw==,-36.54,10.00,126.8702278,35.1848290,120,FtT6nZCvTUxF0CtR+Cub4w==,-72.24,-30.00,126.8713913,35.1845970,124,,,,,1,RELA,1.0,31372077,117.9926027,19.6944771,117.9926027,19.6944771,2,1634913142,맥도날드 광주운암DT점입구,입구,입구(사람+차량),126.8702533,35.1848960,3,1446657497,맥도날드 광주운암DT점출구,출구,출구(차량),126.8701097,35.1848120,true,1,,,,false,,false,,false,http://www.mcdonalds.co.kr/,,true,126.8702533,35.184896,,false,매일 07:00~02:00 연중무휴,빅맥® 세트 변동가격(업주문의) | 맥스파이시® 상하이 버거 세트 변동가격(업주문의) | 1955 버거™ 세트 변동가격(업주문의) | 불고기 버거 세트 변동가격(업주문의) | 슈슈 버거 세트 변동가격(업주문의) | 베이컨 토마토 디럭스 세트 변동가격(업주문의),,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,1192.31,nres://marker/00063-00076,nres://marker/00063-00230,,,,,,,,,,,,,,,,,,,,,,
2,3,31372076,맥도날드 광주쌍촌DT점,070-7017-6781,false,,1,양식,햄버거,220036,220044,220138,222362,222606,222607,1004452,광주광역시 서구 쌍촌동 964-20,,,,,맥도날드 <b>광주</b>쌍촌DT점,070-7017-6781,햄버거,드라이브,57,bf93f6ebe22c5a8729b7e7c96a75d69f,0,http://ldb.phinf.naver.net/20190131_251/15488784575412wNFp_JPEG/-ONIbOqNXoVpOGplOvUGXQ3v.jpg,s,1,1,126.8627160,35.1515120,12,false,2Ngg28o6ba81qn0ax1oFMg==,-16.10,10.00,126.8627857,35.1512704,120,4btkNi6UlMm6gkmyEkM2Pw==,81.21,-30.00,126.8605576,35.1511765,124,,,,,1,RELA,1.0,31372076,117.9926027,19.6944771,117.9926027,19.6944771,2,1945518907,맥도날드광주쌍촌DT점입구,입구,입구(사람+차량),126.8627528,35.1513710,3,1500065506,맥도날드광주쌍촌DT점출구,출구,출구(차량),126.8626294,35.1513546,true,1,,,,false,,false,,false,http://www.mcdonalds.co.kr/,,true,126.8627528,35.151371,,false,매일 00:00~24:00 연중무휴,빅맥® 세트 변동가격(업주문의) | 맥스파이시® 상하이 버거 세트 변동가격(업주문의) | 1955 버거™ 세트 변동가격(업주문의) | 불고기 버거 세트 변동가격(업주문의) | 슈슈 버거 세트 변동가격(업주문의) | 베이컨 토마토 디럭스 세트 변동가격(업주문의),,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,2809.30,nres://marker/00063-00076,nres://marker/00063-00230,,,,,,츄러스,아이스크림,치킨,,,,,,,,,,,,,,
3,4,37125799,스타벅스 광주운암DT점,1522-3232,false,,1,"카페,디저트",카페,220036,220052,220576,221275,220036,1003557,,광주광역시 북구 운암동 65-11,광주광역시 북구 북문대로 78,운암동 65-11,광주 북구,북문대로 78,스타벅스 <b>광주</b>운암DT점,1522-3232,카페,케이크,52,637e3c4dbe95a627242f3cedad1201fd,0,http://ldb.phinf.naver.net/20190828_93/1566953601239OT9MQ_PNG/xX7Wv642gXMoTI0DAv0hRymS.png,s,1,1,126.8784132,35.1776306,12,false,CtU5776g2hJ04OFJQFSKWw==,41.43,10.00,126.8782316,35.1774247,120,oQccjW09QsXiI+WBzlOhuw==,-129.23,-30.00,126.8789902,35.1781006,124,,,,,1,RELA,1.0,37125799,117.9926027,19.6944771,117.9926027,19.6944771,2,1196393653,스타벅스광주운암DT점입구,입구,입구(사람+차량),126.8783131,35.1774868,3,1202449908,스타벅스광주운암DT점출구,출구,출구(차량),126.8781906,35.1775782,true,1,,,,false,,false,,false,http://www.starbucks.co.kr/,,true,126.8783131,35.1774868,,false,화요일 07:00~21:00 | 수요일 07:00~21:00 | 목요일 07:00~21:00 | 금요일 07:00~21:00 | 토요일 08:00~21:00 | 일요일 08:00~21:00 | 월요일 07:00~21:00,"블랙 글레이즈드 라떼 6,100 | 헤이즐넛 오트 쇼콜라 5,900 | 애플 쿠키 라떼 5,900 | 애플 쿠키 크림 프라푸치노 6,100 | 카페 아메리카노 4,100 | 카페 라떼 4,600 | 디카페인 카페 라뗴 4,900 | 오늘의 커피 3,800 | 스타벅스 돌체 라떼 5,600 | 카라멜 마키아또 5,600 | 카푸치노 4,600 | 카페 모카 5,100 | 화이트 초콜릿 모카 5,600 | 콜드 브루 4,500 | 자몽 허니 블랙 티 5,300 | 아이스 자몽 허니 블랙 티 5,300 | 망고 바나나 블렌디드 6,300 | 에스프레소 프라푸치노 5,100 | 자바 칩 프라푸치노 6,100",,,,false,1,false,https://booking.naver.com/booking/6/bizes/392511,,true,false,true,false,true,,false,,,true,,-1,,474.24,nres://marker/00063-00038,nres://marker/00063-00191,,,,,,공연,,,,,,,,,,,,,,,,
4,5,1196393653,스타벅스 광주운암DT점입구,,false,,0,도로시설,방면정보,227616,227755,227813,227815,,,,광주광역시 북구 운암동,,,,,스타벅스 <b>광주</b>운암DT점입구,,,,0,0d4ad3739d77ee8be21a41120ff0433a,0,,s,1,1,126.8783130,35.1774867,12,false,CtU5776g2hJ04OFJQFSKWw==,52.72,10.00,126.8782316,35.1774247,120,a0lI94WVpg5vwi1HuuMZTg==,-66.00,-30.00,126.8791351,35.1771202,124,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,456.95,nres://marker/00063-00057,nres://marker/00063-00211,,,,,,,,,,,,,,,,,,,,,,
5,6,1202449908,스타벅스 광주운암DT점출구,,false,,0,도로시설,방면정보,227616,227755,227813,227817,,,,광주광역시 북구 운암동,,,,,스타벅스 <b>광주</b>운암DT점출구,,,,0,19d8e359b081db34963e8cfaca9869c4,0,,s,1,1,126.8781906,35.1775782,12,false,5sZJ6ufGTS1Bl5yYM202SQ==,27.72,10.00,126.8781443,35.1774900,120,oQccjW09QsXiI+WBzlOhuw==,-123.22,-30.00,126.8789902,35.1781006,124,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,455.15,nres://marker/00063-00058,nres://marker/00063-00212,,,,,,,,,,,,,,,,,,,,,,
6,7,1715464607,스타벅스 광주신세계DT점,1522-3232,false,,1,"카페,디저트",카페,220036,220052,220576,221275,220036,1003557,,광주광역시 서구 화정동 177-2,광주광역시 서구 죽봉대로 33,화정동 177-2,광주 서구,죽봉대로 33,스타벅스 <b>광주</b>신세계DT점,1522-3232,,,27,b9c33508769360e827a2f5f063ae7d45,0,http://ldb.phinf.naver.net/20190828_93/1566953601239OT9MQ_PNG/xX7Wv642gXMoTI0DAv0hRymS.png,s,1,1,126.8831000,35.1563000,12,false,dOPyOzn5vcQ8ix3lJEagOw==,-115.83,7.69,126.8830746,35.1564056,80,ncaQ6/PQ6oxoN9sxWcCIWg==,88.15,-30.00,126.8791656,35.1561699,124,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,http://www.starbucks.co.kr/,,true,126.8829023,35.1564249,,false,목요일 07:00~22:00 | 금요일 07:00~22:00 | 토요일 08:00~22:00 | 일요일 08:00~22:00 | 월요일 07:00~22:00 | 화요일 07:00~22:00 | 수요일 08:00~21:00,"블랙 글레이즈드 라떼 6,100 | 헤이즐넛 오트 쇼콜라 5,900 | 애플 쿠키 라떼 5,900 | 애플 쿠키 크림 프라푸치노 6,100 | 카페 아메리카노 4,100 | 카페 라떼 4,600 | 디카페인 카페 라뗴 4,900 | 오늘의 커피 3,800 | 스타벅스 돌체 라떼 5,600 | 카라멜 마키아또 5,600 | 카푸치노 4,600 | 카페 모카 5,100 | 화이트 초콜릿 모카 5,600 | 콜드 브루 4,500 | 자몽 허니 블랙 티 5,300 | 아이스 자몽 허니 블랙 티 5,300 | 망고 바나나 블렌디드 6,300 | 에스프레소 프라푸치노 5,100 | 자바 칩 프라푸치노 6,100",,,,false,1,false,https://booking.naver.com/booking/6/bizes/391689,,true,false,true,false,true,,false,,,true,,-1,,2210.41,nres://marker/00063-00038,nres://marker/00063-00191,,,,,,,,,,,true,126.8829023,35.1564249,,,,,,,,,
7,8,32624768,롯데리아 광주운암DI점,062-523-0708,false,,1,양식,햄버거,220036,220044,220138,222365,222606,222607,1004380,광주광역시 북구 운암동 1059-18,광주광역시 북구 북문대로 177,운암동 1059-18,광주 북구,북문대로 177,롯데리아 <b>광주</b>운암DI점,062-523-0708,,,6,d80273b17312f48bb07ba88301469a0d,0,,s,1,1,126.8707400,35.1841007,12,false,H68hM+6Gt/tPggLuggKhlA==,-107.07,5.63,126.8709386,35.1841717,73,FtT6nZCvTUxF0CtR+Cub4w==,-127.37,-30.00,126.8713913,35.1845970,124,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,http://www.lotteria.com/,,true,126.870931,35.183957,,false,매일 09:00~22:00 홈서비스 10:00~22:00,"NEW한우불고기(단품/세트) 6,500~8,200 | NEW모짜렐라인더버거 해쉬 4,500~6,100 | NEW모짜렐라인더버거 더블 5,300~6,900 | 트위스트감자 2,000 | AZ버거오리지널 6,200~7,200",,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,1082.34,nres://marker/00063-00076,nres://marker/00063-00230,,,,,,,,,,,true,126.870931,35.183957,1002043,false,126.870807,35.184212,false,126.870807,35.184212,,
8,9,31895812,엔제리너스 광주운암DT점,062-514-8827,false,,1,"카페,디저트",카페,220036,220052,220576,221285,222606,222607,1004380,광주광역시 북구 운암동 1059-18,광주광역시 북구 북문대로 177,운암동 1059-18,광주 북구,북문대로 177,엔제리너스 <b>광주</b>운암DT점,062-514-8827,,,15,779a38eb2f96bce5dedbedaa760585dd,0,http://ldb.phinf.naver.net/20150831_63/1441013041362yuH0r_JPEG/SUBMIT_1365026041527_31895812.jpg,s,1,1,126.8707272,35.1840529,12,false,H68hM+6Gt/tPggLuggKhlA==,-114.88,10.00,126.8709386,35.1841717,120,FtT6nZCvTUxF0CtR+Cub4w==,-128.18,-30.00,126.8713913,35.1845970,124,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,http://www.angelinus.co.kr/,,true,126.870931,35.183957,,false,매일 09:00~00:00,"아메리카노 4,800 | 카페라떼 5,300 | 카푸치노 5,800 | 콜드브루 커피 5,000 | 아메리치노 5,600",,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,1077.66,nres://marker/00063-00038,nres://marker/00063-00191,,,,,,,,,,,true,126.870931,35.183957,1002043,false,126.870807,35.184212,false,126.870807,35.184212,,
9,10,33253057,엔제리너스커피 광주광천DT점,062-368-6004,false,,1,"카페,디저트",카페,220036,220052,220576,221285,,,,광주광역시 서구 광천동 41-1,광주광역시 서구 무진대로 933,광천동 41-1,광주 서구,무진대로 933,엔제리너스커피 <b>광주</b>광천DT점,062-368-6004,,,19,4054de85e6a88384058cc0aa36c6a274,0,http://ldb.phinf.naver.net/20200105_173/1578228590015YDJG3_JPEG/G6sN5poI_QmXc4tTkbcGOXud.jpeg.jpg,s,1,1,126.8825096,35.1617884,10,false,7wxi5gscotcuHdoEZSoARQ==,-18.62,19.88,126.8826206,35.1615385,28,XI1zYUaJ1UnRMqK2qAqRog==,90.19,-30.00,126.8791656,35.1617966,124,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,http://www.angelinus.co.kr/,,,,,,false,매일 10:00~22:00,"아메리카노 4,800 | 카페라떼 5,300 | 카푸치노 5,800 | 콜드브루 커피 5,000 | 아메리치노 5,600",,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,1629.08,nres://marker/00063-00038,nres://marker/00063-00191,,,,,,,,,,,,,,,,,,,,,,
