index,rank,id,name,tel,isCallLink,virtualTel,ppc,category/0,category/1,categoryPath/0/0,categoryPath/0/1,categoryPath/0/2,categoryPath/0/3,categoryPath/1/0,categoryPath/1/1,categoryPath/1/2,categoryPath/1/3,address,roadAddress,abbrAddress,shortAddress/0,shortAddress/1,display,telDisplay,context/0,context/1,context/2,context/3,context/4,reviewCount,ktCallMd,coupon,thumUrl,type,isSite,posExact,x,y,itemLevel,isAdultBusiness,streetPanorama/id,streetPanorama/pan,streetPanorama/tilt,streetPanorama/lng,streetPanorama/lat,streetPanorama/fov,skyPanorama/id,skyPanorama/pan,skyPanorama/tilt,skyPanorama/lng,skyPanorama/lat,skyPanorama/fov,insidePanorama,interiorPanorama,indoorPanorama,theme,poiInfo/relation/poiShapeType,poiInfo/relation/shapeKey/typeName,poiInfo/relation/shapeKey/wsid,poiInfo/relation/shapeKey/shapeID,poiInfo/relation/boundary/minX,poiInfo/relation/boundary/minY,poiInfo/relation/boundary/maxX,poiInfo/relation/boundary/maxY,poiInfo/relation/detail/0/type,poiInfo/relation/detail/0/sid,poiInfo/relation/detail/0/fullName,poiInfo/relation/detail/0/name,poiInfo/relation/detail/0/category,poiInfo/relation/detail/0/xPos,poiInfo/relation/detail/0/yPos,poiInfo/relation/detail/1/type,poiInfo/relation/detail/1/sid,poiInfo/relation/detail/1/fullName,poiInfo/relation/detail/1/name,poiInfo/relation/detail/1/category,poiInfo/relation/detail/1/xPos,poiInfo/relation/detail/1/yPos,poiInfo/relation/detail/2/type,poiInfo/relation/detail/2/sid,poiInfo/relation/detail/2/fullName,poiInfo/relation/detail/2/name,poiInfo/relation/detail/2/category,poiInfo/relation/detail/2/xPos,poiInfo/relation/detail/2/yPos,poiInfo/hasRelation,poiInfo/road/poiShapeType,poiInfo/road/shapeKey,poiInfo/road/boundary,poiInfo/road/detail,poiInfo/hasRoad,poiInfo/land,poiInfo/hasLand,poiInfo/polygon,poiInfo/hasPolygon,homePage,description,entranceCoords/car/0/rep,entranceCoords/car/0/x,entranceCoords/car/0/y,entranceCoords/walk,isPollingPlace,bizhourInfo,menuInfo,petrolInfo,couponUrl,couponUrlMobile,hasCardBenefit,menuExist,hasNaverBooking,naverBookingUrl,naverEasyOrderUrl,hasNaverSmartOrder,reservationLabel/standard,reservationLabel/preOrder,reservationLabel/table,reservationLabel/takeout,reservation/benefit,hasBroadcastInfo,broadcastInfo,shopWindowInfo,hasNPay,carWash,parkingPrice,card,distance,marker,markerSelected,michelinGuide,indoor,markerLabel,subway,categoryPath/1/4,skyPanorama,poiInfo/relation,entranceCoords/walk/0/rep,entranceCoords/walk/0/x,entranceCoords/walk/0/y,shortAddress,streetPanorama,poiInfo/relation/detail/3/type,poiInfo/relation/detail/3/sid,poiInfo/relation/detail/3/fullName,poiInfo/relation/detail/3/name,poiInfo/relation/detail/3/category,poiInfo/relation/detail/3/xPos,poiInfo/relation/detail/3/yPos,entranceCoords/car/1/rep,entranceCoords/car/1/x,entranceCoords/car/1/y,entranceCoords/car/2/rep,entranceCoords/car/2/x,entranceCoords/car/2/y,entranceCoords/walk/1/rep,entranceCoords/walk/1/x,entranceCoords/walk/1/y,entranceCoords/walk/2/rep,entranceCoords/walk/2/x,entranceCoords/walk/2/y,shortAddress/2,entranceCoords,poiInfo/relation/detail/4/type,poiInfo/relation/detail/4/sid,poiInfo/relation/detail/4/fullName,poiInfo/relation/detail/4/name,poiInfo/relation/detail/4/category,poiInfo/relation/detail/4/xPos,poiInfo/relation/detail/4/yPos,poiInfo/relation/detail/5/type,poiInfo/relation/detail/5/sid,poiInfo/relation/detail/5/fullName,poiInfo/relation/detail/5/name,poiInfo/relation/detail/5/category,poiInfo/relation/detail/5/xPos,poiInfo/relation/detail/5/yPos,poiInfo/relation/detail/6/type,poiInfo/relation/detail/6/sid,poiInfo/relation/detail/6/fullName,poiInfo/relation/detail/6/name,poiInfo/relation/detail/6/category,poiInfo/relation/detail/6/xPos,poiInfo/relation/detail/6/yPos,poiInfo/relation/detail/7/type,poiInfo/relation/detail/7/sid,poiInfo/relation/detail/7/fullName,poiInfo/relation/detail/7/name,poiInfo/relation/detail/7/category,poiInfo/relation/detail/7/xPos,poiInfo/relation/detail/7/yPos,poiInfo/relation/detail/8/type,poiInfo/relation/detail/8/sid,poiInfo/relation/detail/8/fullName,poiInfo/relation/detail/8/name,poiInfo/relation/detail/8/category,poiInfo/relation/detail/8/xPos,poiInfo/relation/detail/8/yPos,poiInfo/relation/detail/9/type,poiInfo/relation/detail/9/sid,poiInfo/relation/detail/9/fullName,poiInfo/relation/detail/9/name,poiInfo/relation/detail/9/category,poiInfo/relation/detail/9/xPos,poiInfo/relation/detail/9/yPos,poiInfo/relation/detail
0,1,19713203,광주공원,062-672-0660,false,,1,"여행,명소","도시,테마공원",222117,222122,222170,222194,222117,222118,222136,222183,광주광역시 남구 구동 21-1,광주광역시 남구 중앙로107번길 15,구동 21-1,광주 남구,중앙로107번길 15,<b>광주공원</b>,062-672-0660,포장마차,공원,닭발,아늑한,데이트,227,d0156b659a94ad5a0987addf9d277b67,0,http://blogfiles.naver.net/20150414_35/smilewhj_1429007426580x4p9U_JPEG/IMG_4509.JPG#5472x3648,s,1,1,126.9088250,35.1469571,12,false,ecVRUUB+HPdnguKKEGkkBQ==,176.63,-0.07,126.9098704,35.1477663,80,DvHlgYM17oAIl5yODdbYEg==,96.39,-30.00,126.9063873,35.1472282,124,,,,,1,RELA,1.0,19713203,117.9926027,19.6944771,117.9926027,19.6944771,1,16284055,광주시민회관입구,광주시민회관입구,입구(사람+차량),126.9100896,35.1467870,5,965735684,광주공원입구,입구,입구(사람),126.9081670,35.1474508,5,137828599,광주공원입구,입구,입구(사람),126.9099202,35.1476905,true,1,,,,false,,false,,false,,,true,126.9100896,35.146787,,false,매일 00:00~24:00,입장료 0,,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,4407.32,nres://marker/00063-00110,nres://marker/00063-00264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,18006397,광주공원,031-768-5245,false,,1,음식점,한식,220036,220037,220053,,222606,222607,1004380,1004381,경기도 광주시 직동 6,경기도 광주시 고불로 309,직동 6,경기 광주시,고불로 309,<b>광주공원</b>,031-768-5245,,,,,,0,a8e1a364a32bfc2888bf7f3f3d488f35,0,,s,1,1,127.2056866,37.3995611,12,false,eWaSqfjaw8v+rIinsMbCSA==,-161.46,3.44,127.2058155,37.3997137,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,true,127.205733,37.399673,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,249365.07,nres://marker/00063-00122,nres://marker/00063-00276,,,,,1004390,,,true,127.205805,37.399516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,20027727,광주호호수생태원,062-613-7891,false,,1,"여행,명소","자연,생태공원",222117,222118,222136,222186,,,,,광주광역시 북구 충효동 442-6,,,,,<b>광주</b>호호수생태원,062-613-7891,생태공원,호수,수변공원,고즈넉한,등산,629,5d4ea23cb6a64bd900ad368d891aef3b,0,http://ldb.phinf.naver.net/20150206_222/1423211783225bQTWi_JPEG/%B1%A4%C1%D6_%B1%A4%C1%D6%C8%A3%C8%A3%BC%F6%BB%FD%C5%C2%BF%F8_1.JPG?type=m500_500,s,1,1,126.9990979,35.1844930,12,false,,,,,,,,,,,,,,,,,1,RELA,1.0,20027727,117.9926027,19.6944771,117.9926027,19.6944771,5,32407735,광주호호수생태원입구,입구,"자연,생태공원",127.0007897,35.1850620,1,84412089,광주호호수생태원주차장입구,주차장입구,"자연,생태공원",127.0013034,35.1845700,,,,,,,,true,1,,,,false,,false,,false,,,true,127.0013034,35.18457,,false,매일 09:00~18:00,이용요금 0,,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,11388.83,nres://marker/00063-00110,nres://marker/00063-00264,,,,,,,,true,127.0007897,35.185062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,34581403,광주패밀리랜드,062-607-8000,false,,1,"여행,명소",테마공원,222117,222122,222170,222196,222606,222607,1004380,1004431,광주광역시 북구 생용동 산127-2,광주광역시 북구 우치로 677,생용동 산127-2,광주 북구,우치로 677,<b>광주</b>패밀리랜드,062-607-8000,놀이동산,동물원,공원,화려한,데이트,523,c6c8e9d2c99424e078aaa49ef35894f4,0,http://ldb.phinf.naver.net/20150206_140/14232125041875PVlV_JPEG/%B1%A4%C1%D6_%B1%DD%C8%A3%C6%D0%B9%D0%B8%AE%B7%A3%B5%E5_1.JPG?type=m500_500,s,1,1,126.8940666,35.2235333,8,false,kU1M5VQh+AJwkrRpwpSH6g==,-47.78,10.00,126.9004330,35.2252350,120,99UchmRC56y5bs9cBnca+Q==,45.85,-61.68,126.8937378,35.2229913,80,,,,,1,RELA,1.0,34581403,117.9926027,19.6944771,117.9926027,19.6944771,5,1626906733,광주패밀리랜드입구,입구,입구(사람),126.8919013,35.2248105,1,21041166,광주패밀리랜드정문,정문,입구(사람+차량),126.9003330,35.2253258,4,21041167,광주패밀리랜드주차장입구,주차장입구,입구(사람+차량),126.9016007,35.2219535,true,1,,,,false,,false,,false,http://광주패밀리랜드.com,,true,126.900333,35.2253258,,false,매일 휴무 코로나19로 임시 휴장,"성인 자유이용권 32,000 | 청소년 자유이용권 28,000 | 어린이 자유이용권 22,000 | 성인 보보 5 20,000 | 청소년 보보 5 18,000 | 어린이 보보 5 14,000 | 성인 입장권 6,000 | 청소년 입장권 5,000 | 어린이 입장권 4,000 | 성인 썰매장 12,000 | 청소년 썰매장 11,000 | 어린이 썰매장 10,000",,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,5702.99,nres://marker/00063-00110,nres://marker/00063-00264,,,,,,,,,,,,,3,21041168,광주패밀리랜드주차장출구,주차장출구,출구(차량),126.9015955,35.2221212,false,126.9016007,35.2219535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,11622392,광주사직공원,,false,,0,"여행,명소",근린공원,222117,222122,222170,222195,222117,222118,222136,222183,광주광역시 남구 사동 177,광주광역시 남구 사직길 49-1,사동 177,광주 남구,사직길 49-1,<b>광주</b>사직<b>공원</b>,,전망대,야경,공원,화려한,드라이브,180,20af67a1f4a760fe78af99fa047d10d9,0,http://blogfiles.naver.net/MjAxNzEwMDlfMTE2/MDAxNTA3NTE3NzIwODUz.VPgfz7KSEm_-aUX5Fh08d5BVH7NnGNyql6Vv4QawoLIg.VbgH7sos3w1oEjUyZyBzDNPyRDPMPVbww8RuEgW0_BYg.JPEG.thsdlatjd2/IMG_9303.JPG#900x1350,s,1,1,126.9115500,35.1418987,12,false,dvfG0vCtCHdSYZQ13YrASQ==,-53.79,8.65,126.9118269,35.1412672,80,wSnGk8b+TQh53ZK2qzqZhA==,-94.23,-30.00,126.9150009,35.1421509,124,,,,,1,RELA,1.0,11622392,117.9926027,19.6944771,117.9926027,19.6944771,1,37595141,광주사직공원입구,입구,입구(사람+차량),126.9122929,35.1418048,1,689322487,광주사직공원입구,입구,입구(사람+차량),126.9116241,35.1409936,1,666933168,광주사직공원입구,입구,입구(사람+차량),126.9105343,35.1432843,true,1,,,,false,,false,,false,,,false,126.9122929,35.1418048,,false,매일 09:00~22:00,입장료 0,,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,4985.06,nres://marker/00061-00110,nres://marker/00061-00265,,,,,,,,false,126.9122929,35.1418048,,,,,,,,,,false,126.9116241,35.1409936,false,126.9105343,35.1432843,false,126.9116241,35.1409936,false,126.9105343,35.1432843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,11817137,우치공원,062-613-5860,false,,1,"여행,명소",자연공원,222117,222118,222136,222183,222117,222121,1000209,1000210,광주광역시 북구 생용동 산139,광주광역시 북구 우치로 677 우치공원 금호패밀리랜드,생용동 산139,광주 북구,우치로 677,우치<b>공원</b>,062-613-5860,동물원,공원,놀이동산,화려한,나들이,103,a63b8694aa2b53bc845264d07c3470f9,0,http://ldb.phinf.naver.net/20150901_234/14410457415232AS8G_JPEG/116554486554722_0.jpg,s,1,1,126.8932200,35.2216860,10,false,,,,,,,99UchmRC56y5bs9cBnca+Q==,-158.45,-30.00,126.8937378,35.2229913,80,,,,,1,RELA,1.0,11817137,117.9926027,19.6944771,117.9926027,19.6944771,5,21041165,우치공원 동물원정문,동물원정문,입구(사람),126.8916946,35.2240316,1,16316626,우치공원정문,정문,입구(사람+차량),126.9003335,35.2253256,4,32407741,우치공원주차장입구,주차장입구,입구(사람+차량),126.9003085,35.2252490,true,1,,,,false,,false,,false,http://uchipark.gwangju.go.kr/,,true,126.9003335,35.2253256,,false,"매일 09:00~18:00 17시까지 입장가능, 연중무휴",입장료 0,,,,false,1,false,,,false,false,false,false,false,,false,,,false,,-1,,5483.65,nres://marker/00060-00110,nres://marker/00060-00265,,,,,,,,,,,,,,,,,,,,false,126.9003085,35.225249,,,,,,,,,,우치공원 금호패밀리랜드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,36184433,광주시민의숲,,false,,0,"여행,명소","도시,테마공원",222117,222122,222170,231763,,,,,광주광역시 북구 월출동,,,,,<b>광주</b>시민의숲,,,,,,,86,b6bb76b277a22fab5653fa7ecc36ec44,0,,s,1,1,126.8656587,35.2311424,10,false,9ZgThCuAj0yT6Z7XwklTKg==,120.56,2.33,126.8653728,35.2317548,80,1FEzSJWqGJZpvgx15A32FA==,-103.29,-30.00,126.8676758,35.2316170,124,,,,,1,RELA,1.0,36184433,117.9926027,19.6944771,117.9926027,19.6944771,1,1015985254,광주시민의숲물놀이장입구,물놀이장입구,입구(사람+차량),126.8573300,35.2184717,5,1281006437,광주시민의숲입구,입구,입구(사람),126.8663408,35.2333941,1,1601804205,광주시민의숲주차장입구,주차장입구,입구(사람+차량),126.8657477,35.2321860,true,1,,,,false,,false,,false,,,true,126.8657477,35.232186,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,6314.48,nres://marker/00060-00110,nres://marker/00060-00265,,,,,,,,true,126.8663408,35.2333941,,,,,,,,,,false,126.85733,35.2184717,,,,false,126.85733,35.2184717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,35637846,광주사직공원전망타워,,false,,0,"도시,테마공원",부속시설,222117,222122,222170,1000101,,,,,광주광역시 남구 양림동,,,,,<b>광주</b>사직<b>공원</b>전망타워,,,,,,,217,475280a76fef8f4c991b783a557925bd,0,,s,1,1,126.9114487,35.1415991,12,false,675QeuchVnpFvb2NNUounw==,-148.41,6.21,126.9118649,35.1415592,80,wSnGk8b+TQh53ZK2qzqZhA==,-98.88,-30.00,126.9150009,35.1421509,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,5003.44,nres://marker/00058-00060,nres://marker/00058-00215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,18287638,곤지암도자공원광주왕실도자기판매관,,false,,0,"도시,테마공원",부속시설,222117,222122,222170,1000101,,,,,경기도 광주시 곤지암읍 삼리,,,,,곤지암도자<b>공원</b><b>광주</b>왕실도자기판매관,,,,,,,19,29b97952f25754d7285ef09fd4eab027,0,,s,1,1,127.3277604,37.3511407,12,false,pC2k7pVByQV7E1UAWMMuCw==,19.01,12.08,127.3275828,37.3509119,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,245591.31,nres://marker/00058-00060,nres://marker/00058-00215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,36739859,보라매축구공원,,false,,0,지역명소,"도시,테마공원",222117,222122,222170,231762,,,,,광주광역시 광산구 신촌동,,,,,보라매축구<b>공원</b>,,,,,,,7,ad8ce318188d96dd61730d0cbd88d8f3,0,,s,1,1,126.8231917,35.1397010,11,false,v3NkrvWADyShTsTSKdgwFw==,168.26,-1.49,126.8244137,35.1419682,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,,,,false,,false,,false,,,,,,,false,,,,,,false,0,false,,,false,false,false,false,false,,false,,,false,,-1,,6088.07,nres://marker/00045-00079,nres://marker/00045-00203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
